timestep_superordinate_dispatch,region_dispatch,technology,carrier,id,variable,value,objName
10th < 2020,EU < BE,none,jetFuel,none,demand,-51.67286102052,TheModel
10th < 2020,EU < BE < be,none,electricity,none,demand,-73.57110149036123,TheModel
10th < 2020,EU < BE < be < 28BE,none,processHeat_high,none,demand,-28.833046449928432,TheModel
10th < 2020,EU < BE < be < 28BE,none,processHeat_low,none,demand,-17.08193103626496,TheModel
10th < 2020,EU < BE < be,none,frtRail,none,missCapa,-6.275972755247495e-17,TheModel
10th < 2020,EU < BE < be,none,frtRoadHeavy,none,missCapa,0.0,TheModel
10th < 2020,EU < BE < be,none,frtRoadLight,none,missCapa,0.0,TheModel
10th < 2020,EU < BE < be,none,psngRail,none,missCapa,0.0,TheModel
10th < 2020,EU < BE < be,none,psngRoadPrvt,none,missCapa,0.0,TheModel
10th < 2020,EU < BE < be,none,psngRoadPub,none,missCapa,0.0,TheModel
10th < 2020,EU < BE < be < 28BE,none,processHeat_high,none,missCapa,0.14699999999999175,TheModel
10th < 2020,EU < BE < be < 28BE,none,processHeat_low,none,missCapa,0.03199999999956774,TheModel
10th < 2020,EU < BE < be < 28BE,none,processHeat_medium,none,missCapa,2.9417809334911364e-18,TheModel
10th < 2020,EU < BE < be < 28BE,none,spaceHeat,none,missCapa,0.0,TheModel
10th < 2020,EU < BE,powerToX < refinery,none,none,capaConv,52.03455833,TheModel
10th < 2020,EU < BE < be < 28BE,stock < heat < coalBoilerProLowStock,none,none,capaConv,0.0249,TheModel
10th < 2020,EU < BE < be < 28BE,stock < heat < coalBoilerProLowStock,none,none,mustCapaConv,0.024899999999999218,TheModel
10th < 2020,EU < BE < be < 28BE,wind < offshore < offshore_b,none,none,capaConv,1.155,TheModel
10th < 2020,EU < BE < be,transport < bev < bevPsngRoadPub,none,none,capaConv,0.00375,TheModel
10th < 2020,EU < BE < be,transport < dieselPsngRoadPub,none,none,capaConv,0.76741,TheModel
10th < 2020,EU < BE < be < 28BE,stock < heat < oilBoilerProLowStock,none,none,capaConv,0.1326,TheModel
10th < 2020,EU < BE < be < 28BE,stock < heat < oilBoilerProLowStock,none,none,mustCapaConv,0.08059182909899222,TheModel
10th < 2020,EU < BE < be < 28BE,stock < power < gasPlantStock_chp_b,none,none,insCapaConv,0.08507,TheModel
10th < 2020,EU < BE < be < 28BE,stock < power < gasPlantStock_chp_b,none,none,capaConv,0.0850699999999977,TheModel
10th < 2020,EU < BE < be < 28BE,heatpump < heatpumpAir < heatpumpAirSpace,none,none,capaConv,0.05701,TheModel
10th < 2020,EU < BE < be,transport < ottoPsngRoadPrvt,none,none,capaConv,6.11691,TheModel
10th < 2020,EU < BE < be < 28BE,stock < heat < bioBoilerProMedStock,none,none,capaConv,0.51842,TheModel
10th < 2020,EU < BE < be < 28BE,miscProHeat < electricHeatPro < eBoilerProLow,none,none,capaConv,0.03315,TheModel
10th < 2020,EU < BE < be < 28BE,miscProHeat < electricHeatPro < eBoilerProLow,none,none,mustCapaConv,0.03314999999999862,TheModel
10th < 2020,EU < BE < be < 28BE,transport < cngPsngRoadPrvt,none,none,capaConv,0.01432,TheModel
10th < 2020,EU < BE < be < 28BE,engine < engineMed < gasEngineProMed,none,none,capaConv,1.0652,TheModel
10th < 2020,EU < BE < be < 28BE,engine < engineMed < gasEngineProMed,none,none,mustCapaConv,1.0652,TheModel
10th < 2020,EU < BE < be < 28BE,stock < heat < bioBoilerSpaceStock,none,none,capaConv,3.23703,TheModel
10th < 2020,EU < BE < be,transport < ottoFrtRoadHeavy,none,none,capaConv,0.00814,TheModel
10th < 2020,EU < BE < be,transport < dieselFrtRail,none,none,capaConv,0.01548,TheModel
10th < 2020,EU < BE < be < 28BE,stock < heat < gasBoilerProHighStock,none,none,capaConv,2.24032,TheModel
10th < 2020,EU < BE < be < 28BE,stock < heat < gasBoilerProHighStock,none,none,mustCapaConv,2.2403199999999996,TheModel
10th < 2020,EU < BE < be < 28BE,stock < heat < gasBoilerProLowStock,none,none,capaConv,1.01669,TheModel
10th < 2020,EU < BE < be < 28BE,stock < heat < gasBoilerProLowStock,none,none,mustCapaConv,1.0166899999999996,TheModel
10th < 2020,EU < BE < be,stock < power < nuclearPlantStock,none,none,insCapaConv,17.93637,TheModel
10th < 2020,EU < BE < be,stock < power < nuclearPlantStock,none,none,capaConv,17.93637,TheModel
10th < 2020,EU < BE < be < 28BE,stock < power < hardcoalPlantProLowStock,none,none,capaConv,0.02187,TheModel
10th < 2020,EU < BE < be < 28BE,stock < power < hardcoalPlantProLowStock,none,none,mustCapaConv,0.021869999999999973,TheModel
10th < 2020,EU < BE < be < 28BE,ccgt < ccgtProMed < ccgtGasBackProMed,none,none,capaConv,0.04382,TheModel
10th < 2020,EU < BE < be < 28BE,ccgt < ccgtProMed < ccgtGasBackProMed,none,none,mustCapaConv,0.04381999999999997,TheModel
10th < 2020,EU < BE < be < 28BE,wind < onshore < onshore_c,none,none,capaConv,0.76525,TheModel
10th < 2020,EU < BE < be,stock < power < bioPlantStock,none,none,insCapaConv,1.44272,TheModel
10th < 2020,EU < BE < be,stock < power < bioPlantStock,none,none,capaConv,1.4427199999999987,TheModel
10th < 2020,EU < BE < be,transport < eFrtRail,none,none,capaConv,0.02146,TheModel
10th < 2020,EU < BE < be < 28BE,stock < power < gasPlantStock_chp_a,none,none,insCapaConv,0.70349,TheModel
10th < 2020,EU < BE < be < 28BE,stock < power < gasPlantStock_chp_a,none,none,capaConv,0.7034899999999991,TheModel
10th < 2020,EU < BE,bioConversion < biogasPlant,none,none,capaConv,0.331937911,TheModel
10th < 2020,EU < BE < be < 28BE,solar < rooftopResi_a < pvResi_a,none,none,capaConv,0.64378,TheModel
10th < 2020,EU < BE < be,transport < dieselPsngRail,none,none,capaConv,0.08894,TheModel
10th < 2020,EU < BE < be < 28BE,stock < heat < coalBoilerProHighStock,none,none,capaConv,1.80295,TheModel
10th < 2020,EU < BE < be < 28BE,stock < heat < coalBoilerProHighStock,none,none,mustCapaConv,1.8029499999999983,TheModel
10th < 2020,EU < BE < be < 28BE,wind < onshore < onshore_b,none,none,capaConv,0.21771,TheModel
10th < 2020,EU < BE < be < 28BE,stock < heat < gasBoilerProMedStock,none,none,capaConv,1.10927,TheModel
10th < 2020,EU < BE < be < 28BE,solar < rooftopInd_a < pvInd_a,none,none,capaConv,1.4669,TheModel
