timestep,region,variable,value
2020,AT,oil;CHP,0.38917423871633317
2020,BE,oil;CHP,0.7380931109517327
2020,CZ,oil;CHP,0.03500405315165167
2020,DE,oil;CHP,2.4671870904654805
2020,DK,oil;CHP,0.36515287871405566
2020,ES,oil;CHP,0.9787748188419141
2020,FI,oil;CHP,0.6598810435154631
2020,FR,oil;CHP,0.6016282552743826
2020,GR,oil;CHP,0.02258093763441427
2020,HR,oil;CHP,0.17957486060738725
2020,IE,oil;CHP,0.254639248988407
2020,IT,oil;CHP,0.4168281063676774
2020,NL,oil;CHP,1.0671404182127144
2020,PL,oil;CHP,0.3411978085069755
2020,PT,oil;CHP,0.3146353452455243
2020,RO,oil;CHP,0.1449792191902484
2020,SE,oil;CHP,0.21228425794207578
2020,SI,oil;CHP,0.07317037369152815
2020,SK,oil;CHP,0.00884748128490537
2020,AL,oil;CHP,0.10668017856482319
2020,BA,oil;CHP,0.01094178909528928
2020,CH,oil;CHP,0.6937888593146886
2020,NO,oil;CHP,0.1921291199440711
2020,RS,oil;CHP,0.1732969576436591
2020,UK,oil;CHP,2.5841306150499865
2020,CZ,lignite;elecOnly,0.012670000000002981
2020,DE,lignite;elecOnly,1.0921002504639103
2020,RO,lignite;elecOnly,0.012216343942763667
2020,SK,lignite;elecOnly,0.0009300000000029861
2020,BA,lignite;elecOnly,0.3188300000000031
2020,AT,biomass;CHP,2.1186273499693327
2020,BE,biomass;CHP,1.4778028897686744
2020,BG,biomass;CHP,0.07127809506080926
2020,DE,biomass;CHP,3.4089191514419803
2020,DK,biomass;CHP,0.8385209700355868
2020,EE,biomass;CHP,0.0761400442850549
2020,ES,biomass;CHP,3.431052577764958
2020,FI,biomass;CHP,9.9423857808917
2020,FR,biomass;CHP,1.2476344253388945
2020,GR,biomass;CHP,0.22524556052518804
2020,HR,biomass;CHP,0.12491921601284395
2020,HU,biomass;CHP,0.13341490957324992
2020,IE,biomass;CHP,0.512949131150786
2020,IT,biomass;CHP,0.20745210958866683
2020,LT,biomass;CHP,0.14335950103591882
2020,LV,biomass;CHP,0.09655484359506017
2020,NL,biomass;CHP,0.5425163817919998
2020,PL,biomass;CHP,3.1352508629583613
2020,PT,biomass;CHP,1.8032393216885692
2020,RO,biomass;CHP,0.05704160582461421
2020,SE,biomass;CHP,9.32621904877455
2020,SK,biomass;CHP,0.4851536494523194
2020,CH,biomass;CHP,4.614620859569592
2020,NO,biomass;CHP,6.970745220146121
2020,UK,biomass;CHP,0.9852966714873539
2020,AT,biomass;elecOnly,1.5285799999999998
2020,BE,biomass;elecOnly,0.005600000000001491
2020,BG,biomass;elecOnly,0.016470000000001494
2020,CZ,biomass;elecOnly,0.005540000000001494
2020,DE,biomass;elecOnly,1.8072000000000012
2020,DK,biomass;elecOnly,0.000200000000002986
2020,EE,biomass;elecOnly,0.015120000000001492
2020,ES,biomass;elecOnly,0.1199400000000015
2020,FI,biomass;elecOnly,0.8011800000000006
2020,FR,biomass;elecOnly,0.9042500000000018
2020,GR,biomass;elecOnly,0.000260000000001493
2020,HU,biomass;elecOnly,0.016650000000001493
2020,IT,biomass;elecOnly,0.0023300000000089577
2020,NL,biomass;elecOnly,0.0028100000000014927
2020,PT,biomass;elecOnly,0.24592000000000153
2020,RO,biomass;elecOnly,0.18503000000000147
2020,SI,biomass;elecOnly,0.00024000000000149287
2020,SK,biomass;elecOnly,0.0519000000000015
2020,CH,biomass;elecOnly,2.42054
2020,UK,biomass;elecOnly,0.15960666162451878
2020,AT,gas;elecOnly,1.085200000000003
2020,BE,gas;elecOnly,0.03561000000000299
2020,BG,gas;elecOnly,0.023650000000003
2020,CZ,gas;elecOnly,0.0015100000000029855
2020,DE,gas;elecOnly,11.185999999999996
2020,DK,gas;elecOnly,0.000490000000005972
2020,EE,gas;elecOnly,0.00647000000000299
2020,ES,gas;elecOnly,2.687480000000001
2020,FI,gas;elecOnly,0.04483000000000301
2020,FR,gas;elecOnly,2.491474442818834
2020,GR,gas;elecOnly,0.02128000000000298
2020,HU,gas;elecOnly,0.07920000000000302
2020,IT,gas;elecOnly,0.2476900000000179
2020,NL,gas;elecOnly,0.11182000000000303
2020,PT,gas;elecOnly,0.7047300000000033
2020,RO,gas;elecOnly,4.0998300000000025
2020,SK,gas;elecOnly,0.02274000000000299
2020,CH,gas;elecOnly,1.4369000000000058
2020,UK,gas;elecOnly,11.724152611593066
2020,AT,oil;elecOnly,0.35015000000000307
2020,BE,oil;elecOnly,6.571572214230027e-5
2020,DE,oil;elecOnly,0.33259000000000133
2020,DK,oil;elecOnly,3.000000000597202e-5
2020,FI,oil;elecOnly,0.0063000000000029855
2020,FR,oil;elecOnly,0.0007000000000014929
2020,IT,oil;elecOnly,0.0003442836467674579
2020,SK,oil;elecOnly,0.03330000000000297
2020,BA,oil;elecOnly,0.01292000000000299
2020,UK,oil;elecOnly,0.04298000000000598
2020,CZ,lignite;CHP,2.858355258718314
2020,DE,lignite;CHP,1.7018036325746226
2020,HR,lignite;CHP,0.006818271682668184
2020,RO,lignite;CHP,0.0006823453974127701
2020,SK,lignite;CHP,0.01145995466781353
2020,RS,lignite;CHP,0.03180912189088486
2020,AT,hardcoal;elecOnly,0.14744000000000299
2020,BE,hardcoal;elecOnly,0.00047000000000298593
2020,BG,hardcoal;elecOnly,0.005420000000002985
2020,CZ,hardcoal;elecOnly,0.0001900000000029861
2020,DE,hardcoal;elecOnly,0.1027995012327413
2020,ES,hardcoal;elecOnly,0.010076668745530972
2020,FI,hardcoal;elecOnly,0.010670000000002988
2020,FR,hardcoal;elecOnly,0.028593145551405325
2020,HU,hardcoal;elecOnly,0.035130000000002985
2020,IT,hardcoal;elecOnly,0.0008307933646709226
2020,SI,hardcoal;elecOnly,0.0007007768661736686
