timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,gen; ocgtH2Chp,gen; offshore_b,gen; ccgtGasBackProLow,stExtOut; lithiumBattery,gen; gasEngineProMed,gen; pvOpenspace_b,gen; bioGasEngineProLow,gen; ccgtH2BackProLow,gen; ocgtGasChpH2Rdy,gen; ccgtH2BackDh,gen; onshore_c,gen; pvResi_a,gen; ocgtGasChp,gen; onshore_b,gen; ocgtH2,gen; pvInd_a,gen; runOfRiver,gen; onshore_a,stExtOut; reservoir,gen; pvOpenspace_c,gen; pvOpenspace_a,stExtOut; pumpedStorage,gen; pvInd_b,gen; offshore_a,gen; gasEngineDh,gen; gasEngineProLow,gen; pvResi_b,gen; bioGasEngineDh,gen; bioGasEngineProMed,import,demand,use; heatpumpGroundSpace,use; bevPsngRoadPub,use; heatpumpPro,use; heatpumpAirSpace,use; directAirCapture,use; eBoilerProLow,stExtIn; lithiumBattery,use; oberFrtRoadHeavy,use; alkElectrolysis,use; eFrtRail,use; bevFrtRoadLight,use; liquifaction,use; eBoilerDh,use; eBoilerProHigh,use; pemElectrolysis,use; soElectrolysis,use; bevFrtRoadHeavy,use; resistiveHeatSpace,use; eBoilerProMed,stExtIn; pumpedStorage,use; ePsngRail,use; heatpumpAirDh,use; bevPsngRoadPrvt,export
30th < 2040,30th < 2040 < d001 < hh0001 < h0001,EU < BE < be,0.0010570140888190365,28.480958386826273,,,,,,,,,,,,,,,4.7445775459102615,,,,,7.876809921662904,,28.48095854978954,,,,,,941.2677639765199,-638.2679981940103,,,-38.093962868217986,,,,,,,-0.383653986408076,,,,-0.8054832710986344,,,-6.3654139287880644,,-149.1325438259793,,-1.8055462923402594,,,-175.99919341317693
30th < 2040,30th < 2040 < d001 < hh0001 < h0001,EU < CZ < cz,0.0016816299782498423,,,,,,,,,,,,,122.00762736127925,,,13.173811090606852,362.4368540830645,14.613107614701322,,,6.383706073271038,,,,,,,,440.366243781314,-396.430932061733,,,-36.15793617196712,,,,,,,-1.3020218321697317,,,,,,,-9.591901780998114,,-109.44159741462214,,-1.546846598930816,,,-404.5145164270223
30th < 2040,30th < 2040 < d001 < hh0001 < h0001,EU < DE < de,0.0034958335830431527,0.573653577724954,,,,,,,,,63.59335975453844,,,369.7954651881649,,,94.34360805977998,355.6695497831321,78.18649798056761,,,71.65354794774329,,809.3513513519426,,,,,,2786.9717863990104,-3011.5053843291244,,,-191.63739688022807,,,,,,,-5.757901668651066,,,,-4.89797358759088,,,-62.502047623460065,,-755.8982929823945,,-15.701467963573238,,,-582.2478041394239
30th < 2040,30th < 2040 < d001 < hh0001 < h0001,EU < EE < ee,46.31465455515449,,,,,,,,,,,,,31.141005858716866,,,,,,,,,,,,,,,,276.7949461691107,-56.48387365827344,,,-1.9384613601157965,,,,,-1.910142887729371,,-0.279450232525471,,,,,,,,,-11.389888153211851,,-0.054266874304408935,,,-282.19716725126716
30th < 2040,30th < 2040 < d001 < hh0001 < h0001,EU < ES < es,0.001367717285908308,,,,,,,,,,1312.7665387147113,,,63.08796152987399,,,55.73796671669786,11.328310739955908,986.2409449703506,,,817.8977691092791,,,,,,,,481.8179198363798,-2071.8958192833747,,,-82.01219496688455,,,,,-86.20885386706344,,-0.7752430583019223,,,,-16.94166546253049,,,,,-348.7757482297929,,-4.791089471067996,-58.98146619952837,,-1058.5008000723801
30th < 2040,30th < 2040 < d001 < hh0001 < h0001,EU < FI < fi,0.0016129426434655526,,,,,,,,,,1542.9103010579556,,,,,,,,,,,,,,,,,,,85.29384919273029,-665.4730024956069,,,-69.01446190352196,,,,,,,-0.8032350033766739,,,,,,,-5.846939288144282,,-317.7983854167665,,-0.7092394367403627,-62.91408160111417,,-505.6485084796269
30th < 2040,30th < 2040 < d001 < hh0001 < h0001,EU < FR < fr,0.004431961294964983,,,,,,,0.0010691208366320065,,0.0011116194135225193,1160.1070923046402,,,630.3862714101974,,,224.7028531967356,436.12267178177194,769.60245819045,,,329.49445456554696,,12.284973885626538,,,,,,2260.0920224424553,-3892.2628056084513,,,-127.00232247445517,,,,,,,-1.326825223999753,,,,-0.5850042634277213,,,-34.741084714833484,,-336.4041794769082,,-14.635925592772,-345.7689974994511,,-1070.078224905456
30th < 2040,30th < 2040 < d001 < hh0001 < h0001,EU < LT < lt,0.003493911188821136,,,,,,,,,,,,,20.705505074994882,,,3.8719240708287455,,,,,55.553397403348626,,,,,,,,273.8657585200556,-91.12378910163282,,,-4.664182998455562,,,,,,,-7.626917758696941,,,,,,,-10.775641699530464,,-13.831675943656805,,-0.057039887640900434,,,-225.92372199834784
30th < 2040,30th < 2040 < d001 < hh0001 < h0001,EU < LU < lu,0.0014102608554399476,,,,,,,,,,,,,,,,1.7625705761398511,,,,,6.191109038662005,,,,,,,,61.694570313163034,-40.36005175299817,,,-2.801815490132198,,,,,,,-0.048733936982236034,,,,-0.6126582166546891,,,-1.5004317163849687,,-6.924223555680246,,-0.06332835127794438,,,-17.340114760283313
30th < 2040,30th < 2040 < d001 < hh0001 < h0001,EU < LV < lv,9.845221940775666,,,,,,,,,,,,,,,,15.282630327608382,57.15873868899886,,,,,,,,,,,,279.3190259387116,-48.45880778554368,,,-5.489827595179968,,,,,,,-3.181860392276991,,,,,,,-3.0523695212708555,,-24.64050446095434,,-0.09674295638184781,,,-276.68787930951606
