timestep_superordinate_dispatch,region_dispatch,technology,carrier,scenario,id,variable,value,objName
2030,FR,none,electricity,s2014,none,demand,-528.188839445796,TheModel
2040,FR,none,electricity,s2014,none,demand,-528.188839445796,TheModel
2030,DE,none,electricity,s2014,none,demand,-511.70802993825004,TheModel
2040,DE,none,electricity,s2014,none,demand,-511.70802993825004,TheModel
2030,LU,none,electricity,s2014,none,demand,-4.4900379814124705,TheModel
2040,LU,none,electricity,s2014,none,demand,-4.4900379814124705,TheModel
2030,LU,none,electricity,s2016,none,demand,-4.259283067669291,TheModel
2040,LU,none,electricity,s2016,none,demand,-4.259283067669291,TheModel
2030,AT,none,electricity,s2016,none,demand,-69.00113134644779,TheModel
2040,AT,none,electricity,s2016,none,demand,-69.00113134644779,TheModel
2030,NL,none,electricity,s2016,none,demand,-114.84867473348103,TheModel
2040,NL,none,electricity,s2016,none,demand,-114.84867473348103,TheModel
2030,BE,none,electricity,s2016,none,demand,-88.63551301913763,TheModel
2040,BE,none,electricity,s2016,none,demand,-88.63551301913763,TheModel
2030,CH,none,electricity,s2014,none,demand,-64.9760932626084,TheModel
2040,CH,none,electricity,s2014,none,demand,-64.9760932626084,TheModel
2030,FR,none,electricity,s2016,none,demand,-529.289954436285,TheModel
2040,FR,none,electricity,s2016,none,demand,-529.289954436285,TheModel
2030,AT,none,electricity,s2014,none,demand,-69.35249045068439,TheModel
2040,AT,none,electricity,s2014,none,demand,-69.35249045068439,TheModel
2030,DE,none,electricity,s2016,none,demand,-488.956841547849,TheModel
2040,DE,none,electricity,s2016,none,demand,-488.956841547849,TheModel
2030,NL,none,electricity,s2014,none,demand,-118.42828049658597,TheModel
2040,NL,none,electricity,s2014,none,demand,-118.42828049658597,TheModel
2030,CH,none,electricity,s2016,none,demand,-62.47264245857462,TheModel
2040,CH,none,electricity,s2016,none,demand,-62.47264245857462,TheModel
2030,BE,none,electricity,s2014,none,demand,-90.59133144266465,TheModel
2040,BE,none,electricity,s2014,none,demand,-90.59133144266465,TheModel
2030,AT,stock < power < pumpedStorage,none,none,1,capaStOut,6.056,TheModel
2040,AT,stock < power < pumpedStorage,none,none,1,capaStOut,6.056,TheModel
2030,BE,stock < power < pumpedStorage,none,none,1,capaStOut,1.908,TheModel
2040,BE,stock < power < pumpedStorage,none,none,1,capaStOut,1.908,TheModel
2030,CH,stock < power < pumpedStorage,none,none,1,capaStOut,6.722,TheModel
2040,CH,stock < power < pumpedStorage,none,none,1,capaStOut,6.722,TheModel
2030,DE,stock < power < pumpedStorage,none,none,1,capaStOut,10.23,TheModel
2040,DE,stock < power < pumpedStorage,none,none,1,capaStOut,10.23,TheModel
2030,FR,stock < power < pumpedStorage,none,none,1,capaStOut,5.499,TheModel
2040,FR,stock < power < pumpedStorage,none,none,1,capaStOut,5.499,TheModel
2030,LU,stock < power < pumpedStorage,none,none,1,capaStOut,1.026,TheModel
2040,LU,stock < power < pumpedStorage,none,none,1,capaStOut,1.026,TheModel
2030,NL,stock < power < pumpedStorage,none,none,1,capaStOut,2.5,TheModel
2040,NL,stock < power < pumpedStorage,none,none,1,capaStOut,2.5,TheModel
2030,AT,stock < power < pumpedStorage,none,none,1,capaStSize,1455.849,TheModel
2040,AT,stock < power < pumpedStorage,none,none,1,capaStSize,1455.849,TheModel
2030,BE,stock < power < pumpedStorage,none,none,1,capaStSize,8.752,TheModel
2040,BE,stock < power < pumpedStorage,none,none,1,capaStSize,8.752,TheModel
2030,CH,stock < power < pumpedStorage,none,none,1,capaStSize,802.737,TheModel
2040,CH,stock < power < pumpedStorage,none,none,1,capaStSize,802.737,TheModel
2030,DE,stock < power < pumpedStorage,none,none,1,capaStSize,79.61504491,TheModel
2040,DE,stock < power < pumpedStorage,none,none,1,capaStSize,79.61504491,TheModel
2030,FR,stock < power < pumpedStorage,none,none,1,capaStSize,366.105,TheModel
2040,FR,stock < power < pumpedStorage,none,none,1,capaStSize,366.105,TheModel
2030,LU,stock < power < pumpedStorage,none,none,1,capaStSize,6.879,TheModel
2040,LU,stock < power < pumpedStorage,none,none,1,capaStSize,6.879,TheModel
2030,NL,stock < power < pumpedStorage,none,none,1,capaStSize,25.0,TheModel
2040,NL,stock < power < pumpedStorage,none,none,1,capaStSize,25.0,TheModel
2030,AT,stock < power < pumpedStorage,none,none,1,capaStIn,6.056,TheModel
2040,AT,stock < power < pumpedStorage,none,none,1,capaStIn,6.056,TheModel
2030,BE,stock < power < pumpedStorage,none,none,1,capaStIn,1.908,TheModel
2040,BE,stock < power < pumpedStorage,none,none,1,capaStIn,1.908,TheModel
2030,CH,stock < power < pumpedStorage,none,none,1,capaStIn,6.722,TheModel
2040,CH,stock < power < pumpedStorage,none,none,1,capaStIn,6.722,TheModel
2030,DE,stock < power < pumpedStorage,none,none,1,capaStIn,10.23,TheModel
2040,DE,stock < power < pumpedStorage,none,none,1,capaStIn,10.23,TheModel
2030,FR,stock < power < pumpedStorage,none,none,1,capaStIn,5.499,TheModel
2040,FR,stock < power < pumpedStorage,none,none,1,capaStIn,5.499,TheModel
2030,LU,stock < power < pumpedStorage,none,none,1,capaStIn,1.026,TheModel
2040,LU,stock < power < pumpedStorage,none,none,1,capaStIn,1.026,TheModel
2030,NL,stock < power < pumpedStorage,none,none,1,capaStIn,2.5,TheModel
2040,NL,stock < power < pumpedStorage,none,none,1,capaStIn,2.5,TheModel
2030,FR,powerToX < electrolysis < alkElectrolysis,none,none,none,expConv,4.313838122764474,TheModel
2040,DE,powerToX < electrolysis < alkElectrolysis,none,none,none,expConv,42.06582423257633,TheModel
2040,FR,powerToX < electrolysis < alkElectrolysis,none,none,none,expConv,26.34144361047381,TheModel
2040,NL,powerToX < electrolysis < alkElectrolysis,none,none,none,expConv,22.611518136803923,TheModel
2040,DE,powerToX < electrolysis < alkElectrolysis,none,none,none,capaConv,42.06582618932292,TheModel
2030,FR,powerToX < electrolysis < alkElectrolysis,none,none,none,capaConv,4.313838122764474,TheModel
2040,FR,powerToX < electrolysis < alkElectrolysis,none,none,none,capaConv,30.65528173303894,TheModel
2040,NL,powerToX < electrolysis < alkElectrolysis,none,none,none,capaConv,22.61152050532507,TheModel
2030,AT,engine < enginePeak < gasEngine,none,none,none,expConv,8.649751151562892,TheModel
2030,BE,engine < enginePeak < gasEngine,none,none,none,expConv,22.323410270677368,TheModel
2030,CH,engine < enginePeak < gasEngine,none,none,none,expConv,3.517300203174626,TheModel
2030,DE,engine < enginePeak < gasEngine,none,none,none,expConv,105.3837272161233,TheModel
2030,FR,engine < enginePeak < gasEngine,none,none,none,expConv,45.73454606601512,TheModel
2030,LU,engine < enginePeak < gasEngine,none,none,none,expConv,1.7341545379267822,TheModel
2030,NL,engine < enginePeak < gasEngine,none,none,none,expConv,27.876448920589624,TheModel
2030,AT,engine < enginePeak < gasEngine,none,none,none,capaConv,8.649751151562892,TheModel
2040,AT,engine < enginePeak < gasEngine,none,none,none,capaConv,8.649751151562892,TheModel
2030,BE,engine < enginePeak < gasEngine,none,none,none,capaConv,22.323410270677368,TheModel
2040,BE,engine < enginePeak < gasEngine,none,none,none,capaConv,22.323410270677368,TheModel
2030,CH,engine < enginePeak < gasEngine,none,none,none,capaConv,3.517300203174626,TheModel
2040,CH,engine < enginePeak < gasEngine,none,none,none,capaConv,3.517300203174626,TheModel
2030,DE,engine < enginePeak < gasEngine,none,none,none,capaConv,105.3837272161233,TheModel
2040,DE,engine < enginePeak < gasEngine,none,none,none,capaConv,105.3837272161233,TheModel
