timestep_superordinate_dispatch,region_dispatch,technology,carrier,id,variable,value,objName
30th < 2040,nonEU < NO,none,avaAndNavi,none,demand,-21.387711993840004,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_m,none,electricity,none,demand,-11.713079891400005,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_n,none,electricity,none,demand,-11.478395480514985,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s,none,electricity,none,demand,-83.44510872978505,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_m < 83NO,none,processHeat_high,none,demand,-0.7248462225680357,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_m < 83NO,none,processHeat_low,none,demand,-0.872699704247856,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_n < 84NO,none,processHeat_high,none,demand,-0.6054597859097708,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_n < 84NO,none,processHeat_low,none,demand,-0.7286618889836476,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_n < 85NO,none,processHeat_high,none,demand,-0.05116561571068489,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_n < 85NO,none,processHeat_low,none,demand,-0.06778250130080445,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s < 79NO,none,processHeat_high,none,demand,-0.3069936942641092,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s < 79NO,none,processHeat_low,none,demand,-0.3643309444918238,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s < 80NO,none,processHeat_high,none,demand,-0.707791017331141,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s < 80NO,none,processHeat_low,none,demand,-0.8557540789226571,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s < 81NO,none,processHeat_high,none,demand,-1.4496924451360713,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s < 81NO,none,processHeat_low,none,demand,-1.745399408495712,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s < 82NO,none,processHeat_high,none,demand,-2.7458880431400887,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s < 82NO,none,processHeat_low,none,demand,-3.312869751076816,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_m,none,frtRail,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_m,none,frtRoadHeavy,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_m,none,frtRoadLight,none,missCapa,2.1010463051897621e-16,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_m,none,psngRail,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_m,none,psngRoadPrvt,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_m,none,psngRoadPub,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_n,none,frtRail,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_n,none,frtRoadHeavy,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_n,none,frtRoadLight,none,missCapa,2.1008016962283813e-16,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_n,none,psngRail,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_n,none,psngRoadPrvt,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_n,none,psngRoadPub,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s,none,frtRail,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s,none,frtRoadHeavy,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s,none,frtRoadLight,none,missCapa,2.1011547684248476e-16,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s,none,psngRail,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s,none,psngRoadPrvt,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
30th < 2040,nonEU < NO < no_s,none,psngRoadPub,none,missCapa,0.0,1752hours_1752hoursHeu_gridExp_noExp30_ep2050
