timestep_superordinate_expansion,timestep_superordinate_dispatch,region_from,region_to,carrier,exchange,directed,variable,value,objName
none,30th < 2040,EU < BE < be,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,1.40000007787204,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < DE < de,EU < DK < dk_e,none,powerGrid < hvdc,no,expExc,0.018439379462522817,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < DE < de,nonEU < NO < no_s,none,powerGrid < hvdc,no,expExc,1.9999998325319621,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < DE < de,EU < SE < se_4,none,powerGrid < hvdc,no,expExc,1.3999997664383956,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < DK < dk_e,EU < PL < pl,none,powerGrid < hvdc,no,expExc,0.5999996277901614,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < DK < dk_w,nonEU < NO < no_s,none,powerGrid < hvdc,no,expExc,4.500000421026833,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < EE < ee,EU < FI < fi,none,powerGrid < hvdc,no,expExc,2.0431038621128192,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < FI < fi,EU < SE < se_1,none,powerGrid < hvdc,no,expExc,2.9999998924034887,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < FI < fi,EU < SE < se_2,none,powerGrid < hvdc,no,expExc,0.7999999712104912,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < FR < fr,EU < IE < ie,none,powerGrid < hvdc,no,expExc,1.3999998749331746,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < FR < fr,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,6.199999831323191,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < GR < gr,EU < IT < it_s,none,powerGrid < hvdc,no,expExc,0.9999999866505789,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < IT < it_cs,EU < IT < it_sic,none,powerGrid < hvdc,no,expExc,0.14143533192918067,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < IT < it_cs,nonEU < ME < me,none,powerGrid < hvdc,no,expExc,1.5999999768233688,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < NL < nl,nonEU < NO < no_s,none,powerGrid < hvdc,no,expExc,0.24394029107299886,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < NL < nl,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,2.0000000859222777,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,nonEU < NO < no_s,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,4.499999874683692,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < PL < pl,EU < SE < se_4,none,powerGrid < hvdc,no,expExc,0.36966726743380596,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,nonEU < UK < ni,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,2.2839550585490196,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < SI < si < 57SI,EU < AT < at < 50AT,none,h2Grid,yes,expExc,0.9832151082804634,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
none,30th < 2040,EU < FR < fr < 26FR,EU < BE < be < 28BE,none,h2Grid,yes,expExc,1.1846622930961057,96hours_96hoursHeu_nucChp_allTec_FOAKnuCost_40nuYear
