timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,gen; ocgtH2Chp,gen; pvOpenspace_b,gen; onshore_c,gen; onshore_b,gen; pvInd_a,gen; runOfRiver,gen; nuclearPowerFlexChp_HTR,gen; onshore_a,stExtOut; reservoir,gen; pvOpenspace_c,gen; pvOpenspace_a,stExtOut; pumpedStorage,gen; pvInd_b,gen; nuclearPowerFlexChp_SFR,gen; offshore_a,gen; nuclearPowerFlexChp_LWR,gen; nuclearPowerFlexChp_SMR,import,demand,use; heatpumpGroundSpace,use; bevPsngRoadPub,use; heatpumpPro,use; heatpumpAirSpace,use; directAirCapture,use; eBoilerProLow,use; oberFrtRoadHeavy,use; alkElectrolysis,use; eFrtRail,use; bevFrtRoadLight,use; liquifaction,use; eBoilerDh,use; eBoilerProHigh,use; bevFrtRoadHeavy,use; resistiveHeatSpace,stExtIn; pumpedStorage,use; ePsngRail,use; heatpumpAirDh,use; bevPsngRoadPrvt,export
30th < 2040,30th < 2040 < d004 < hh0022 < h0086,EU < FI < fi,0.0013800664377197974,,106.87696893654355,,,,39.03840040062649,,291.99999808737084,,,0.8987972813866182,,74.53426386593233,,70.42488772706083,,459.7733583997235,-873.585641815706,,,-101.35990337056386,,,,-60.590560035639044,,-4.2565273400272075,,,,,,,,-3.758422990255436,,,
30th < 2040,30th < 2040 < d004 < hh0022 < h0086,EU < LV < lv,0.002371676428549666,,,,,34.734874920034244,3.164916582091584,39.24957840466049,,,,,,39.137746626448674,,40.96432951192503,,62.873175002280426,-84.17744523092797,,,-6.3679550366575715,,,,-31.631001041986725,,-16.86140654185641,,,,,,,,-0.5126631269962822,,,-80.57967466031613
30th < 2040,30th < 2040 < d004 < hh0022 < h0087,EU < FI < fi,0.001379637856465213,,100.6921052941809,,,,50.0797134536818,,291.99999811194436,,,0.9012088616960898,,117.44591981822168,,70.49053210360245,,439.3166421879364,-882.026696257914,,,-101.22451570900066,,,,-77.43596022439506,,-5.4399279624173,,,,,,,,-4.803340537019055,,,
30th < 2040,30th < 2040 < d004 < hh0022 < h0087,EU < LV < lv,0.0023708194816714568,,,,,35.904132010287434,10.72508562450594,45.49996839451213,,,,,,39.83461427876709,,41.0109078914892,,66.23372989156508,-88.03880864914177,,,-6.355815245775323,,,,-40.425058575203344,,-21.54921831939751,,,,,,,,-0.6551938369153152,,,-82.18993840131687
30th < 2040,30th < 2040 < d004 < hh0023 < h0089,EU < LV < lv,0.0011541749557696867,,,,,36.4943150454202,4.8875188327185795,120.20631242389143,,,,,,28.564236783967228,,8.436720318630082,,97.96546099056461,-93.0818941790351,-24.671916655922345,-0.14171534471919336,-6.204529143676455,,,,-36.01758635473586,,-19.199745381990507,-0.126543091864238,,,,,-0.0010977950449371158,,-0.583759218463158,-6.873861573758503,-0.15466677043639945,-109.49885667988192
30th < 2040,30th < 2040 < d004 < hh0023 < h0090,EU < LV < lv,0.001170533473753884,,,,,38.401351455424745,6.504128766168698,74.18555865135936,,,,,,33.03393194252412,,13.370793144840343,,97.96545774883369,-85.23816773922346,-10.848343743995672,-0.13518908346993794,-6.198195577840684,,,,-28.65454088708603,,-15.274757271389142,-0.12176070176891529,,,,,-0.001134113513253805,,-0.4644218029747713,-6.873861497281957,-0.15354062608595498,-109.49887608074083
30th < 2040,30th < 2040 < d004 < hh0023 < h0091,EU < LV < lv,0.0011217924827038915,,,,,38.308588262645294,3.9354726809067473,115.14348027472546,,,,,,19.051878758149073,,6.24457347801132,,97.96545474221482,-83.72968950753666,-32.97956650181233,-0.14836104571968306,-6.210795534769055,,,,-26.414123640213507,,-14.080467341305678,-0.1306020957544346,,,,,-0.0010797302009238345,,-0.42810997996185246,-6.873861635976064,-0.15548094449726904,-109.49888424316306
30th < 2040,30th < 2040 < d004 < hh0023 < h0092,EU < LV < lv,0.0012888346347434364,,,,,36.61084557810346,0.3748085134389625,158.6474013466913,,,,,,0.39094069871179,,0.3907526600910991,,97.96547179514997,-80.45704755441113,-40.18498505946971,-1.4232441497551842,-6.360206176857929,,,,-20.698710625898524,,-11.033775829359495,-0.6897677029780359,,,,,-0.0012723870145148588,,-0.3354767590244374,-6.873861553924069,-16.824897780632263,-109.49880078128176
30th < 2040,30th < 2040 < d001 < hh0002 < h0007,EU < HR < hr,,2.8019914673463004,,,,25.164982244410716,,372.52345390707336,106.9083882899381,1.607016374685742,1.5410727912932194,,,,,,,422.8579514402598,-144.3636327117929,,,-6.289443043397082,,,,-22.10021039479251,,-1.1004281293871228,,,,,,,,-0.5537177194416315,-24.99921484760359,,-733.9941674893142
30th < 2040,30th < 2040 < d001 < hh0002 < h0007,EU < IT < it_cs,,2.264832956656635,731.409384858064,,,10.561905609473268,20.774035096437522,,12.534369638624195,3.2739305389007187,11.588926588058873,,,,,37.842289001368385,,368.34086618430206,-429.7163059467938,-100.68705950008871,-24.143174135404482,-40.93973931343436,,,,-33.77554330450043,-49.00311690430649,-1.004444552664662,-35.31399489947665,,,-13.325108484886591,,-190.67097846440348,,-8.851474128369727,-24.871160279822483,-77.64925310298311,-168.63943369868863
30th < 2040,30th < 2040 < d001 < hh0002 < h0007,nonEU < BA < ba,,2.282180688917593,,,,36.94851118157405,0.37786629362482177,474.2638310090313,3.901678304253611,,,,,,,,,0.0010748814892269352,-82.96674029194968,,-4.203968752986278,-11.915113282585185,,,,-9.217242365746733,-20.00511600886586,-1.032923659387192,-0.9048751936075897,,-1.4178829975468041,,,-1.369035359271507,,-0.08686918670268903,-11.186449335424852,-7.754979234823683,-365.7136984071171
30th < 2040,30th < 2040 < d001 < hh0002 < h0007,nonEU < ME < me,,1.7199830039514554,,172.6060282138406,,2.3050344764431823,2.0317456201990294,,,,,,,,,,,153.74102655804268,-24.6051391675803,-0.0012324451662770737,-0.14053346964396482,-1.8291191235852478,,,,-2.5164167533968858,-6.87040043673435,-0.28199233195743567,-0.24797458672482148,,-1.2365919670085566,,,-3.5808182377927675,,-0.038739833148798655,-2.2800411538480545,-10.038195167655287,-278.737074030205
30th < 2040,30th < 2040 < d001 < hh0002 < h0007,nonEU < MK < mk,,3.836077495638873,,,,11.288857149678046,22.673085773608204,,,,,,,,,,,67.52853006232154,-45.2613062171311,,-0.4349188248035802,-6.812979860159235,,,,-5.792786981586678,-11.267029208351815,-0.6491623831971552,-0.27280372504069295,,-25.802708633789987,,,-1.72843707998895,,-0.04084094789042011,-6.78992332765241,-0.4558213510418124,-0.01830399540294621
30th < 2040,30th < 2040 < d001 < hh0002 < h0008,EU < AT < at,,8.233040438341014,1176.096059002069,987.2330752585306,,276.29562230235615,,,,13.025416287850218,29.991266698999567,,,,,,,130.9362442090321,-692.086873418647,-171.96529604491025,-28.568199336474525,-65.40631208719782,,,,-41.59840608744169,-72.7527255747797,-3.440260016818238,-21.501207602451316,,-0.028008473815902657,,,-27.516388719310875,,-8.734738382214674,-82.35698114236278,-371.3602429721679,-1034.4961562585847
30th < 2040,30th < 2040 < d001 < hh0002 < h0008,EU < DE < de,,14.721649677606619,755.464703625915,2713.494485311617,,127.08200793028462,280.17130577250987,1028.0366150918535,0.013356106210725971,31.004707808931915,18.70917663756388,0.013006524625362026,,285.12331213016637,,3784.189691688836,,1606.2932231775974,-4920.694176700371,-521.4402849142244,-123.48205349195925,-419.68819052115816,-76.48078722755224,,,-493.0330851191083,-300.4808524565365,-23.226488052539562,-158.01162917936676,,,-64.3268190290488,,,,-63.33729641654051,-383.14184049636543,-1857.7176549570895,-1239.2566125124058
30th < 2040,30th < 2040 < d001 < hh0002 < h0008,EU < ES < es,,29.26299379478553,2260.145858926026,136.91144928581696,,82.18051950711089,53.928966186765635,17.00993960500899,186.37861275987842,21.464413822974894,26.529746142869286,,,15.240765646790862,,,,1434.0994413192252,-2185.9083870049635,-143.6338733480866,,-95.08447152564733,,,,-347.7531947679883,,-3.127217160689519,,,-928.2482682393315,-18.22070287292249,,-463.61879167699215,,-19.326519436888937,-58.231422286171885,,
30th < 2040,30th < 2040 < d001 < hh0002 < h0008,EU < FR < fr,,24.417363761334364,916.7855146543566,987.8176540070892,,582.1378066378398,329.6146593137572,391.61834867529126,450.8705353403686,40.23699452254066,26.579898888915473,,,463.7982543610156,,445.20980766234453,,1435.7123058495145,-4269.9167827414985,-30.876557908746783,-20.253844277076716,-146.77118249749202,-26.189527596959866,,,-274.047301598302,-61.25756815148535,-5.352215966867467,-18.239474109068198,,,-11.614145186229525,,,,-59.03906513728463,-428.3214768916699,-28.14356804957953,-714.7760807671718
30th < 2040,30th < 2040 < d001 < hh0002 < h0008,EU < FR < fr_co,,1.1146147362263465,20.567889873762443,,,,0.05708824519927342,,,1.275734185769674,0.7015940943404413,,,0.08125270623475127,,,,27.126175649007234,-20.357539989023326,-0.9883847113334652,,-0.3114808541634087,,,,-1.1196328139771958,,-0.021855609123221195,,,,,,,,-0.31270777054226184,,,-27.81244399536242
30th < 2040,30th < 2040 < d001 < hh0002 < h0008,EU < HR < hr,,15.57775232844701,,,,24.85413301995046,26.432576417329823,177.68743039588833,155.12489833089583,7.443404831329165,5.510473621693247,29.684586271316746,,7.837959728593092,,,,422.858779600706,-152.14444396606416,,,-5.367017980168772,,,,-19.763706937769722,,-0.9840874211953141,,,,,,,,-0.49517694799291284,-24.999213877297308,,-669.2575835013155
30th < 2040,30th < 2040 < d001 < hh0002 < h0008,EU < IT < it_cn,,28.652877289895397,134.11720119078115,,,5.837325174160953,12.88871025339763,92.82620054443053,41.348112701408105,,19.625017480098354,,,,,10.802316863743318,,217.4798761244576,-255.36467174531873,-55.894382828886016,,-21.820645394761065,,,,-16.117045243011386,,-0.47930310919969615,,,-178.2005520345277,-7.114007247259045,,,,-3.7389593202005855,-24.84751237431918,,
