errStatus,section,location,message
yellow,parameter read-in,_basis/biomass/par_biomassPotential.csv,values provided for undefined set '2025 (lvl 2)'
yellow,parameter read-in,_basis/biomass/par_biomassPotential.csv,values provided for undefined set '2030 (lvl 2)'
yellow,parameter read-in,_basis/biomass/par_biomassPotential.csv,values provided for undefined set '2035 (lvl 2)'
yellow,parameter read-in,_basis/biomass/par_biomassPotential.csv,values provided for undefined set '2040 (lvl 2)'
yellow,parameter read-in,_basis/biomass/par_biomassPotential.csv,values provided for undefined set '2045 (lvl 2)'
yellow,parameter read-in,_basis/biomass/par_biomassPotential.csv,values provided for undefined set '2050 (lvl 2)'
yellow,parameter read-in,_basis/biomass/par_biomassStock.csv,values provided for undefined set '2025 (lvl 2)'
yellow,parameter read-in,_basis/biomass/par_biomassStock.csv,values provided for undefined set '2030 (lvl 2)'
yellow,parameter read-in,_basis/biomass/par_biomassStock.csv,values provided for undefined set '2035 (lvl 2)'
yellow,parameter read-in,_basis/biomass/par_biomassStock.csv,values provided for undefined set '2040 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_eu27Limits.csv,values provided for undefined set '2025 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_eu27Limits.csv,values provided for undefined set '2030 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_eu27Limits.csv,values provided for undefined set '2035 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_eu27Limits.csv,values provided for undefined set '2040 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_eu27Limits.csv,values provided for undefined set '2045 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_eu27Limits.csv,values provided for undefined set '2050 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_fuelData.csv,values provided for undefined set '2025 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_fuelData.csv,values provided for undefined set '2030 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_fuelData.csv,values provided for undefined set '2035 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_fuelData.csv,values provided for undefined set '2040 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_fuelData.csv,values provided for undefined set '2045 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_fuelData.csv,values provided for undefined set '2050 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_nationalLimits.csv,values provided for undefined set '2030 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_nationalLimits.csv,values provided for undefined set '2025 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_nationalLimits.csv,values provided for undefined set '2035 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_nationalLimits.csv,values provided for undefined set '2040 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_nationalLimits.csv,values provided for undefined set '2045 (lvl 2)'
yellow,parameter read-in,_basis/fuelsAndEmissions/par_nationalLimits.csv,values provided for undefined set '2050 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '2025 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '2030 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '2035 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '2040 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '2045 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '2050 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Storage.csv,values provided for undefined set '2030 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Storage.csv,values provided for undefined set '2040 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Storage.csv,values provided for undefined set '2050 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Storage.csv,values provided for undefined set '2025 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Storage.csv,values provided for undefined set '2035 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Storage.csv,values provided for undefined set '2045 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_power2xTech.csv,values provided for undefined set '2030 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_power2xTech.csv,values provided for undefined set '2050 (lvl 2)'
