i,low,best,gap,solCur,time
1,6413.656724256513,1.446132506813484e6,0.9955649591624292,1.446132506813484e6,0.06666666666666667
2,6511.406085282793,1.446132506813484e6,0.9954973655217595,1.4462302561633352e6,0.06666666666666667
3,6511.406101148249,1.446132506813484e6,0.9954973655107885,1.446230258980914e6,0.08333333333333333
4,6511.406082968105,1.446132506813484e6,0.9954973655233601,1.4462302533638005e6,0.08333333333333333
5,6534.234284696219,1.446132506813484e6,0.9954815798317858,1.4462530813009301e6,0.08333333333333333
6,6568.908455717401,1.446132506813484e6,0.9954576026575934,1.446287756370497e6,0.08333333333333333
7,6734.939406529438,1.446132506813484e6,0.9953427923272608,1.4463474959796332e6,0.08333333333333333
8,6735.248184897444,1.446132506813484e6,0.9953425788071535,1.4463417121643103e6,0.08333333333333333
9,6735.365678812992,1.446132506813484e6,0.9953424975601619,1.4463431416030147e6,0.1
10,6832.68102747212,1.446132506813484e6,0.9952752040388555,1.4464452444294852e6,0.1
11,6832.98959416953,1.446132506813484e6,0.9952749906651184,1.4464394530327574e6,0.1
12,6833.1071178229395,1.446132506813484e6,0.995274909397563,1.4464428857526586e6,0.1
13,6833.132238929597,1.446132506813484e6,0.9952748920263288,1.4464442917264684e6,0.1
14,7154.36454608581,1.446132506813484e6,0.9950527600255317,1.446656127227255e6,0.1
15,7154.666262617397,1.446132506813484e6,0.9950525513886812,1.4466540003712196e6,0.11666666666666667
16,7154.786278719963,1.446132506813484e6,0.9950524683975984,1.4466585275475988e6,0.11666666666666667
17,7451.222030476024,1.2608866567239834e6,0.9940904902191322,1.2608866567239834e6,0.11666666666666667
18,7452.354419010536,1.099940510640525e6,0.9932247659333223,1.099940510640525e6,0.11666666666666667
19,7476.074579862271,1.0277728204869723e6,0.9927259464048485,1.0277728204869723e6,0.11666666666666667
20,9056.706305358628,1.0034650006200139e6,0.9909745668261846,1.0034650006200139e6,0.13333333333333333
21,9306.701613250714,902769.2254279449,0.9896909405514582,902769.2254279449,0.13333333333333333
22,9449.149739798888,759132.7798394447,0.9875527048880732,759132.7798394447,0.13333333333333333
23,9456.052821151738,759132.7798394447,0.987543611510029,762548.6448985811,0.13333333333333333
24,9471.066860865922,759132.7798394447,0.9875238336264849,759276.4013316779,0.13333333333333333
25,9489.216699736779,700031.0767942539,0.9864445779418937,700031.0767942539,0.15
26,9497.049971930966,700031.0767942539,0.9864333880498247,702626.3226529368,0.15
27,9509.524976251114,697028.8675967602,0.9863570571918515,697028.8675967602,0.15
28,9545.437800405225,697028.8675967602,0.9863055344704498,720125.096495761,0.15
29,9559.222144640536,697028.8675967602,0.9862857586119795,733521.2442306271,0.16666666666666666
30,9585.249409343307,697028.8675967602,0.9862484183153107,750482.0872401493,0.16666666666666666
31,9603.540497217524,697028.8675967602,0.9862221768083596,726475.2450411844,0.16666666666666666
32,9639.965753197695,697028.8675967602,0.9861699189210991,697664.5476341463,0.16666666666666666
33,9656.562181411724,697028.8675967602,0.9861461086759492,702866.2189938171,0.16666666666666666
34,9698.1210045516,697028.8675967602,0.9860864858610675,712829.1201701515,0.18333333333333332
35,9747.817420481177,697028.8675967602,0.9860151883607202,707094.3915568449,0.18333333333333332
36,9784.006183124557,694920.0639318312,0.9859206739149723,694920.0639318312,0.18333333333333332
37,9793.991883040928,691304.7427686588,0.98583259845171,691304.7427686588,0.18333333333333332
38,10090.838218205034,663178.6127248824,0.9847841320202659,663178.6127248824,0.2
