technology_3,time
lithiumBattery,0.5
redoxBattery,0.5
biogasPlant,0.5
biogasUpgrading,0.5
gasification,0.5
hydropyrolysis,0.5
liquifaction,0.5
nonSolidBioPlantDh,1
nonSolidBioPlantProLow,1
solidBioPlantDh,1
solidBioPlantProLow,1
ccgtGasBackDh,2.5
ccgtGasBackDhH2Rdy,2.5
ccgtGasBackProLow,2.5
ccgtGasExtract,2.5
ccgtGasExtractH2Rdy,2.5
ccgtH2BackDh,2.5
ccgtH2BackProLow,2.5
ccgtH2Extract,2.5
ccgtGasBackProMed,2.5
ccgtH2BackProMed,2.5
bioGasEngineDh,1
gasEngineDh,1
bioGasEngineProLow,1
bioGasEngineProMed,1
gasEngineProLow,1
gasEngineProMed,1
dieselEngine,1
gasEngine,1
heatpumpAirSpace,0.5
heatpumpGroundSpace,0.5
heatpumpAirDh,0.5
heatpumpPro,0.5
bioBoilerProLow,0.5
bioBoilerProMed,0.5
eBoilerProHigh,0.5
eBoilerProLow,0.5
eBoilerProMed,0.5
gasBoilerProHigh,0.5
gasBoilerProLow,0.5
gasBoilerProMed,0.5
h2BoilerProHigh,0.5
h2BoilerProLow,0.5
h2BoilerProMed,0.5
oilBoilerProHigh,0.5
oilBoilerProLow,0.5
oilBoilerProMed,0.5
bioBoilerSpace,0.5
gasBoilerSpace,0.5
resistiveHeatSpace,0.5
districtHeatPro,0.5
districtHeatSpace,0.5
eBoilerDh,0.5
gasBoilerDh,0.5
h2BoilerDh,0.5
largeWaterTank,0.5
nonSolidBioBoilerDh,0.5
oilBoilerDh,0.5
pitThermalStorage,0.5
solidBioBoilerDh,0.5
ocgtGas,2.5
ocgtGasChp,2.5
ocgtGasChpH2Rdy,2.5
ocgtGasH2Rdy,2.5
ocgtH2,2.5
ocgtH2Chp,2.5
alkElectrolysis,0.5
pemElectrolysis,0.5
soElectrolysis,0.5
h2StorageCavern,0.5
h2StorageTank,0.5
bioMethanation,0.5
methanePyrolysis,0.5
directAirCapture,0.5
h2ToCrudeOil,0.5
pefc,0.5
refinery,0.5
sofc,0.5
pvOpenspace_a,0.5
pvOpenspace_b,0.5
pvOpenspace_c,0.5
cspOpenspace_a,0.5
cspOpenspace_b,0.5
cspOpenspace_c,0.5
pvInd_a,0.5
pvInd_b,0.5
pvResi_a,0.5
solarThermalResi_a,0.5
pvResi_b,0.5
solarThermalResi_b,0.5
bioBoilerSpaceStock,0.5
gasBoilerSpaceStock,0.5
oilLiquidBoilerSpaceStock,0.5
resistiveHeatSpaceStock,0.5
bioPlantStock,0.5
bioPlantStock_chp,0.5
gasPlantStock_a,0.5
gasPlantStock_b,0.5
gasPlantStock_chp_a,0.5
gasPlantStock_chp_b,0.5
nuclearPlantStock,0.5
oilLiquidPlantStock,0.5
oilLiquidPlantStock_chp,0.5
oilPlantProLowStock,0.5
oilPlantProMedStock,0.5
pumpedStorage,0.5
reservoir,0.5
runOfRiver,0.5
bevFrtRoadHeavy,0.5
bevFrtRoadLight,0.5
bevPsngRoadPrvt,0.5
bevPsngRoadPub,0.5
cngPsngRoadPrvt,0.5
dieselFrtRail,0.5
dieselFrtRoadHeavy,0.5
dieselFrtRoadLight,0.5
dieselPsngRail,0.5
dieselPsngRoadPub,0.5
eFrtRail,0.5
ePsngRail,0.5
fcevPsngRoadPrvt,0.5
fcFrtRail,0.5
fcFrtRoadHeavy,0.5
fcFrtRoadLight,0.5
fcPsngRail,0.5
fcPsngRoadPub,0.5
oberFrtRoadHeavy,0.5
ottoPsngRoadPrvt,0.5
offshore_a,2
offshore_b,2
onshore,0.5
gasStorage,0.5
nuclearPower,0
