parameter,value
expConvInf,25000
expStInInf,25000
expStOutInf,25000
expStSizeInf,25000
expExcInf,25000
capaConvInf,25000
capaStInInf,25000
capaStOutInf,25000
capaStSizeInf,25000
capaExcInf,25000
shareExpOutInf,25000
stInToConvCapaInf,25000
stOutToStInCapaInf,25000
sizeToStOutCapaInf,25000
stInToConvExpInf,25000
stOutToStInExpInf,25000
sizeToStOutExpInf,25000
emissionInf,5000
costStLvlLss,20000
