parameter,value
expConvInf,12500
expStInInf,12500
expStOutInf,12500
expStSizeInf,12500
expExcInf,12500
capaConvInf,12500
capaStInInf,12500
capaStOutInf,12500
capaStSizeInf,12500
capaExcInf,12500
shareExpOutInf,12500
stInToConvCapaInf,12500
stOutToStInCapaInf,12500
sizeToStOutCapaInf,12500
stInToConvExpInf,12500
stOutToStInExpInf,12500
sizeToStOutExpInf,12500
emissionInf,2500
costStLvlLss,20000
