region_1,region_2,region_3,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,AT,at,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,AT,at,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,BE,be,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,BE,be,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,BG,bg,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,BG,bg,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,CZ,cz,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,CZ,cz,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,DE,de,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,DE,de,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,DK,dk_e,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,DK,dk_e,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,DK,dk_w,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,DK,dk_w,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,EE,ee,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,EE,ee,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,ES,es,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,ES,es,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,FI,fi,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,FI,fi,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,FR,fr,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,FR,fr,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,FR,fr_co,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,FR,fr_co,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,GR,gr,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,GR,gr,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,HR,hr,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,HR,hr,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,HU,hu,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,HU,hu,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,IE,ie,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,IE,ie,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,IT,it_cn,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,IT,it_cn,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,IT,it_cs,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,IT,it_cs,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,IT,it_n,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,IT,it_n,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,IT,it_s,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,IT,it_s,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,IT,it_sar,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,IT,it_sar,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,IT,it_sic,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,IT,it_sic,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,LT,lt,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,LT,lt,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,LU,lu,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,LU,lu,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,LV,lv,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,LV,lv,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,NL,nl,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,NL,nl,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,PL,pl,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,PL,pl,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,PT,pt,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,PT,pt,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,RO,ro,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
EU,RO,ro,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,1,desFac,0.886424124
EU,SE,se_1,psngRoadPrvt,transport,bev,bevPsngRoadPrvt,,desFac,0.886424124
