region_1,region_2,region_3,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,AT,at,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,BE,be,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,BG,bg,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,CZ,cz,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,DE,de,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,DK,dk_e,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,DK,dk_w,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,EE,ee,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,ES,es,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,FI,fi,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,FR,fr,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,FR,fr_co,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,GR,gr,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,HR,hr,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,HU,hu,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,IE,ie,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,IT,it_cn,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,IT,it_cs,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,IT,it_n,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,IT,it_s,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,IT,it_sar,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,IT,it_sic,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,LT,lt,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,LU,lu,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,LV,lv,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,NL,nl,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,PL,pl,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,PT,pt,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,RO,ro,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,SE,se_1,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,SE,se_2,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,SE,se_3,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,SE,se_4,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,SI,si,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
EU,SK,sk,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
nonEU,AL,al,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
nonEU,BA,ba,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
nonEU,CH,ch,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
nonEU,ME,me,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
nonEU,MK,mk,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
nonEU,NO,no_m,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
nonEU,NO,no_n,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
nonEU,NO,no_s,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
nonEU,RS,rs,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
nonEU,UK,ni,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
nonEU,UK,uk,psngRoadPub,transport,,fcPsngRoadPub,,desFac,4.295
