region_1,region_2,region_3,region_4,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,AT,at,49AT,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9
EU,AT,at,50AT,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9
EU,AT,at,51AT,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9
EU,BE,be,28BE,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9
EU,BG,bg,66BG,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9000000000000001
EU,CZ,cz,39CZ,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9000000000000001
EU,CZ,cz,40CZ,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9
EU,DE,de,31DE,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9
EU,DE,de,32DE,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.8999999999999999
EU,DE,de,33DE,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9000000000000001
EU,DE,de,34DE,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9
EU,DE,de,35DE,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.8999999999999999
EU,DE,de,36DE,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.8999999999999999
EU,DE,de,37DE,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9
EU,DK,dk_e,72DK,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.8999999999999999
EU,DK,dk_w,38DK,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.8999999999999999
EU,EE,ee,73EE,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9000000000000001
EU,ES,es,01ES,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9000000000000001
EU,ES,es,02ES,spaceHeat,networkHeat,heatGrid,districtHeatSpace,,desFac,0.9000000000000001
