region_1,region_2,region_3,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,AT,at,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,BE,be,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,BG,bg,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,CZ,cz,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,DE,de,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,DK,dk_e,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,DK,dk_w,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,EE,ee,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,ES,es,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,FI,fi,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,FR,fr,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,FR,fr_co,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,GR,gr,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,HR,hr,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,HU,hu,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,IE,ie,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,IT,it_cn,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,IT,it_cs,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,IT,it_n,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,IT,it_s,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,IT,it_sar,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,IT,it_sic,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,LT,lt,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,LU,lu,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,LV,lv,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,NL,nl,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,PL,pl,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,PT,pt,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,RO,ro,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,SE,se_1,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,SE,se_2,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,SE,se_3,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,SE,se_4,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,SI,si,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
EU,SK,sk,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
nonEU,AL,al,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
nonEU,BA,ba,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
nonEU,CH,ch,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
nonEU,ME,me,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
nonEU,MK,mk,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
nonEU,NO,no_m,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
nonEU,NO,no_n,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
nonEU,NO,no_s,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
nonEU,RS,rs,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
nonEU,UK,ni,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
nonEU,UK,uk,frtRoadHeavy,transport,,dieselFrtRoadHeavy,,desFac,4.998
