timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,FR,s1986,wind,avaConv,0.210004810292798
h0002,FR,s1986,wind,avaConv,0.190208162591582
h0003,FR,s1986,wind,avaConv,0.179740615696334
h0004,FR,s1986,wind,avaConv,0.171589105416617
h0005,FR,s1986,wind,avaConv,0.173231867045391
h0006,FR,s1986,wind,avaConv,0.169962311216306
h0007,FR,s1986,wind,avaConv,0.167986816446954
h0008,FR,s1986,wind,avaConv,0.187807598935794
h0009,FR,s1986,wind,avaConv,0.231494593045001
h0010,FR,s1986,wind,avaConv,0.351098743601463
h0011,FR,s1986,wind,avaConv,0.383797081231935
h0012,FR,s1986,wind,avaConv,0.430551886929536
h0013,FR,s1986,wind,avaConv,0.498567236544718
h0014,FR,s1986,wind,avaConv,0.562057746979797
h0015,FR,s1986,wind,avaConv,0.549904242312222
h0016,FR,s1986,wind,avaConv,0.506272360444331
h0017,FR,s1986,wind,avaConv,0.542613299683899
h0018,FR,s1986,wind,avaConv,0.643493165633786
h0019,FR,s1986,wind,avaConv,0.736169853751937
h0020,FR,s1986,wind,avaConv,0.812061682417957
h0021,FR,s1986,wind,avaConv,0.84229304651544
h0022,FR,s1986,wind,avaConv,0.856910431002275
h0023,FR,s1986,wind,avaConv,0.852981939236542
h0024,FR,s1986,wind,avaConv,0.861710033548974
h0025,FR,s1986,wind,avaConv,0.853812712505069
h0026,FR,s1986,wind,avaConv,0.83373009486649
h0027,FR,s1986,wind,avaConv,0.813754330140842
h0028,FR,s1986,wind,avaConv,0.802834111009447
h0029,FR,s1986,wind,avaConv,0.809101747062474
h0030,FR,s1986,wind,avaConv,0.831217661628455
h0031,FR,s1986,wind,avaConv,0.846990679752993
h0032,FR,s1986,wind,avaConv,0.848833372529671
h0033,FR,s1986,wind,avaConv,0.850565301707736
h0034,FR,s1986,wind,avaConv,0.856067269333129
h0035,FR,s1986,wind,avaConv,0.862124398937961
h0036,FR,s1986,wind,avaConv,0.861498054217022
h0037,FR,s1986,wind,avaConv,0.869604182619147
h0038,FR,s1986,wind,avaConv,0.870354784818707
h0039,FR,s1986,wind,avaConv,0.883626129790962
h0040,FR,s1986,wind,avaConv,0.88577653941307
h0041,FR,s1986,wind,avaConv,0.877619795549241
h0042,FR,s1986,wind,avaConv,0.877274608391731
h0043,FR,s1986,wind,avaConv,0.870363371508581
h0044,FR,s1986,wind,avaConv,0.87084849564629
h0045,FR,s1986,wind,avaConv,0.871171101721859
h0046,FR,s1986,wind,avaConv,0.86761090714315
h0047,FR,s1986,wind,avaConv,0.862682529879798
h0048,FR,s1986,wind,avaConv,0.84863649600365
h0049,FR,s1986,wind,avaConv,0.817680061111762
h0050,FR,s1986,wind,avaConv,0.776784653978863
h0051,FR,s1986,wind,avaConv,0.753269366091825
h0052,FR,s1986,wind,avaConv,0.72419333031104
h0053,FR,s1986,wind,avaConv,0.69551220318192
h0054,FR,s1986,wind,avaConv,0.663855220455253
h0055,FR,s1986,wind,avaConv,0.621448645943084
h0056,FR,s1986,wind,avaConv,0.609687957381642
h0057,FR,s1986,wind,avaConv,0.537369681069659
h0058,FR,s1986,wind,avaConv,0.506092484107824
h0059,FR,s1986,wind,avaConv,0.48438736177952
h0060,FR,s1986,wind,avaConv,0.484781974415364
h0061,FR,s1986,wind,avaConv,0.52981491916611
h0062,FR,s1986,wind,avaConv,0.586269392091523
h0063,FR,s1986,wind,avaConv,0.595522094924426
h0064,FR,s1986,wind,avaConv,0.605967988960721
h0065,FR,s1986,wind,avaConv,0.590662170984987
h0066,FR,s1986,wind,avaConv,0.629755891840489
h0067,FR,s1986,wind,avaConv,0.616321382540097
h0068,FR,s1986,wind,avaConv,0.637621516359377
h0069,FR,s1986,wind,avaConv,0.642664870849375
h0070,FR,s1986,wind,avaConv,0.592399931528381
h0071,FR,s1986,wind,avaConv,0.539127484769648
h0072,FR,s1986,wind,avaConv,0.463164444030836
h0073,FR,s1986,wind,avaConv,0.388322054846601
h0074,FR,s1986,wind,avaConv,0.338218991381146
h0075,FR,s1986,wind,avaConv,0.307837662831947
h0076,FR,s1986,wind,avaConv,0.26864665788074
h0077,FR,s1986,wind,avaConv,0.24120367480346
h0078,FR,s1986,wind,avaConv,0.199026418217388
h0079,FR,s1986,wind,avaConv,0.167763000462571
h0080,FR,s1986,wind,avaConv,0.14858320088955
h0081,FR,s1986,wind,avaConv,0.14554474094566
h0082,FR,s1986,wind,avaConv,0.17179697891772
h0083,FR,s1986,wind,avaConv,0.203492882359391
h0084,FR,s1986,wind,avaConv,0.255941657132789
h0085,FR,s1986,wind,avaConv,0.306037996202262
h0086,FR,s1986,wind,avaConv,0.341621576644665
h0087,FR,s1986,wind,avaConv,0.340308068069796
h0088,FR,s1986,wind,avaConv,0.283108232533482
h0089,FR,s1986,wind,avaConv,0.264110638014985
h0090,FR,s1986,wind,avaConv,0.339669727811035
h0091,FR,s1986,wind,avaConv,0.40959473199395
h0092,FR,s1986,wind,avaConv,0.461455904207865
h0093,FR,s1986,wind,avaConv,0.531667488209522
h0094,FR,s1986,wind,avaConv,0.588587389553852
h0095,FR,s1986,wind,avaConv,0.610569447539699
h0096,FR,s1986,wind,avaConv,0.655134889407861
h0097,FR,s1986,wind,avaConv,0.704953454269213
h0098,FR,s1986,wind,avaConv,0.758263718419878
h0099,FR,s1986,wind,avaConv,0.788613181384436
