timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,NL,s1986,solar,avaConv,0.0
h0002,NL,s1986,solar,avaConv,0.0
h0003,NL,s1986,solar,avaConv,0.0
h0004,NL,s1986,solar,avaConv,0.0
h0005,NL,s1986,solar,avaConv,0.0
h0006,NL,s1986,solar,avaConv,0.0
h0007,NL,s1986,solar,avaConv,0.0
h0008,NL,s1986,solar,avaConv,3.31108335937952e-5
h0009,NL,s1986,solar,avaConv,0.0114193702946318
h0010,NL,s1986,solar,avaConv,0.0389724054312324
h0011,NL,s1986,solar,avaConv,0.0790187583474304
h0012,NL,s1986,solar,avaConv,0.102350368113139
h0013,NL,s1986,solar,avaConv,0.0986822412981083
h0014,NL,s1986,solar,avaConv,0.0703749616211165
h0015,NL,s1986,solar,avaConv,0.0295426476420102
h0016,NL,s1986,solar,avaConv,0.00141447848272359
h0017,NL,s1986,solar,avaConv,0.0
h0018,NL,s1986,solar,avaConv,0.0
h0019,NL,s1986,solar,avaConv,0.0
h0020,NL,s1986,solar,avaConv,0.0
h0021,NL,s1986,solar,avaConv,0.0
h0022,NL,s1986,solar,avaConv,0.0
h0023,NL,s1986,solar,avaConv,0.0
h0024,NL,s1986,solar,avaConv,0.0
h0025,NL,s1986,solar,avaConv,0.0
h0026,NL,s1986,solar,avaConv,0.0
h0027,NL,s1986,solar,avaConv,0.0
h0028,NL,s1986,solar,avaConv,0.0
h0029,NL,s1986,solar,avaConv,0.0
h0030,NL,s1986,solar,avaConv,0.0
h0031,NL,s1986,solar,avaConv,0.0
h0032,NL,s1986,solar,avaConv,2.70658783142693e-5
h0033,NL,s1986,solar,avaConv,0.0108704207852319
h0034,NL,s1986,solar,avaConv,0.0314404577226173
h0035,NL,s1986,solar,avaConv,0.035243371451655
h0036,NL,s1986,solar,avaConv,0.0401754552165703
h0037,NL,s1986,solar,avaConv,0.0408919137520389
h0038,NL,s1986,solar,avaConv,0.0292810197113317
h0039,NL,s1986,solar,avaConv,0.0117123950433766
h0040,NL,s1986,solar,avaConv,0.000478234781596477
h0041,NL,s1986,solar,avaConv,0.0
h0042,NL,s1986,solar,avaConv,0.0
h0043,NL,s1986,solar,avaConv,0.0
h0044,NL,s1986,solar,avaConv,0.0
h0045,NL,s1986,solar,avaConv,0.0
h0046,NL,s1986,solar,avaConv,0.0
h0047,NL,s1986,solar,avaConv,0.0
h0048,NL,s1986,solar,avaConv,0.0
h0049,NL,s1986,solar,avaConv,0.0
h0050,NL,s1986,solar,avaConv,0.0
h0051,NL,s1986,solar,avaConv,0.0
h0052,NL,s1986,solar,avaConv,0.0
h0053,NL,s1986,solar,avaConv,0.0
h0054,NL,s1986,solar,avaConv,0.0
h0055,NL,s1986,solar,avaConv,0.0
h0056,NL,s1986,solar,avaConv,-4.18284483690087e-7
h0057,NL,s1986,solar,avaConv,0.00703423496881994
h0058,NL,s1986,solar,avaConv,0.0325302567046723
h0059,NL,s1986,solar,avaConv,0.0571574804024713
h0060,NL,s1986,solar,avaConv,0.077571494397576
h0061,NL,s1986,solar,avaConv,0.0791671208191595
h0062,NL,s1986,solar,avaConv,0.053356620260664
h0063,NL,s1986,solar,avaConv,0.0221089332014847
h0064,NL,s1986,solar,avaConv,0.00150236459263411
h0065,NL,s1986,solar,avaConv,0.0
h0066,NL,s1986,solar,avaConv,0.0
h0067,NL,s1986,solar,avaConv,0.0
h0068,NL,s1986,solar,avaConv,0.0
h0069,NL,s1986,solar,avaConv,0.0
h0070,NL,s1986,solar,avaConv,0.0
h0071,NL,s1986,solar,avaConv,0.0
h0072,NL,s1986,solar,avaConv,0.0
h0073,NL,s1986,solar,avaConv,0.0
h0074,NL,s1986,solar,avaConv,0.0
h0075,NL,s1986,solar,avaConv,0.0
h0076,NL,s1986,solar,avaConv,0.0
h0077,NL,s1986,solar,avaConv,0.0
h0078,NL,s1986,solar,avaConv,0.0
h0079,NL,s1986,solar,avaConv,0.0
h0080,NL,s1986,solar,avaConv,0.000116949567260152
h0081,NL,s1986,solar,avaConv,0.025155237117741
h0082,NL,s1986,solar,avaConv,0.0745848093177429
h0083,NL,s1986,solar,avaConv,0.103551464237707
