technology_3,region_4,mode,parameter,value
impH2Ship,32DE,,capaConvFix,0
impH2Ship,33DE,,capaConvFix,0
impH2Ship,34DE,,capaConvFix,0
impH2Ship,35DE,,capaConvFix,0
impH2Ship,36DE,,capaConvFix,0
impH2Ship,37DE,,capaConvFix,0
impH2Ship,38DK,,capaConvFix,0
impH2Ship,39CZ,,capaConvFix,0
impH2Ship,40CZ,,capaConvFix,0
impH2Ship,41PL,,capaConvFix,0
impH2Ship,42PL,,capaConvFix,0
impH2Ship,43PL,,capaConvFix,0
impH2Ship,44PL,,capaConvFix,0
impH2Ship,45PL,,capaConvFix,0
impH2Ship,46SK,,capaConvFix,0
impH2Ship,47CH,,capaConvFix,0
impH2Ship,48CH,,capaConvFix,0
impH2Ship,49AT,,capaConvFix,0
impH2Ship,50AT,,capaConvFix,0
impH2Ship,51AT,,capaConvFix,0
impH2Ship,52IT,,capaConvFix,0
impH2Ship,53IT,,capaConvFix,0
impH2Ship,54IT,,capaConvFix,0
impH2Ship,55IT,,capaConvFix,0
impH2Ship,56IT,,capaConvFix,0
impH2Ship,57SI,,capaConvFix,0
impH2Ship,58HU,,capaConvFix,0
impH2Ship,59RO,,capaConvFix,0
impH2Ship,60RO,,capaConvFix,0
impH2Ship,61RO,,capaConvFix,0
impH2Ship,62HR,,capaConvFix,0
impH2Ship,63BA,,capaConvFix,0
impH2Ship,64ME,,capaConvFix,0
impH2Ship,65RS,,capaConvFix,0
impH2Ship,66BG,,capaConvFix,0
impH2Ship,67MK,,capaConvFix,0
impH2Ship,68GR,,capaConvFix,0
impH2Ship,70AL,,capaConvFix,0
impH2Ship,72DK,,capaConvFix,0
impH2Ship,73EE,,capaConvFix,0
impH2Ship,74FI,,capaConvFix,0
impH2Ship,75FI,,capaConvFix,0
impH2Ship,77LT,,capaConvFix,0
impH2Ship,78LV,,capaConvFix,0
impH2Ship,79NO,,capaConvFix,0
impH2Ship,80NO,,capaConvFix,0
impH2Ship,81NO,,capaConvFix,0
impH2Ship,82NO,,capaConvFix,0
impH2Ship,83NO,,capaConvFix,0
impH2Ship,84NO,,capaConvFix,0
impH2Ship,85NO,,capaConvFix,0
impH2Ship,86SE,,capaConvFix,0
impH2Ship,87SE,,capaConvFix,0
impH2Ship,88SE,,capaConvFix,0
impH2Ship,89SE,,capaConvFix,0
impH2Ship,91UK,,capaConvFix,0
impH2Ship,92UK,,capaConvFix,0
impH2Ship,93UK,,capaConvFix,0
impH2Ship,94UK,,capaConvFix,0
impH2Ship,95UK,,capaConvFix,0
impH2Ship,96IE,,capaConvFix,0
impH2Ship,98IT,,capaConvFix,0
impH2Ship,99FR,,capaConvFix,0
methaneToGas,all,,capaConvResi,1
methanolToOil,all,,capaConvResi,1
