timestep_superordinate_expansion,timestep_superordinate_dispatch,region_from,region_to,carrier,exchange,scenario,directed,variable,value,objName
none,30th < 2040,Benelux < BE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.399998046408339,inter_all_total32_ext8_noFossil
none,30th < 2040,DE_ < DE,Scan < DK,none,powerGrid < hvdc,none,no,expExc,1.0999978917736475,inter_all_total32_ext8_noFossil
none,30th < 2040,DE_ < DE,Scan < NO,none,powerGrid < hvdc,none,no,expExc,2.9999917164015395,inter_all_total32_ext8_noFossil
none,30th < 2040,DE_ < DE,Scan < SE,none,powerGrid < hvdc,none,no,expExc,2.899999321384791,inter_all_total32_ext8_noFossil
none,30th < 2040,DE_ < DE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,2.0008095395546954,inter_all_total32_ext8_noFossil
none,30th < 2040,East < PL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,4.100991814326472,inter_all_total32_ext8_noFossil
none,30th < 2040,Benelux < NL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,2.9807278105816346,inter_all_total32_ext8_noFossil
none,30th < 2040,Scan < DK,Scan < NO,none,powerGrid < hvdc,none,no,expExc,4.999996618086275,inter_all_total32_ext8_noFossil
none,30th < 2040,Scan < DK,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.499997801212142,inter_all_total32_ext8_noFossil
none,30th < 2040,Balt < EE,Scan < FI,none,powerGrid < hvdc,none,no,expExc,4.9926875054699185,inter_all_total32_ext8_noFossil
none,30th < 2040,Scan < FI,Scan < SE,none,powerGrid < hvdc,none,no,expExc,1.6277730323742963,inter_all_total32_ext8_noFossil
none,30th < 2040,FR_ < FR,UkPlus < IE,none,powerGrid < hvdc,none,no,expExc,1.3999993645684254,inter_all_total32_ext8_noFossil
none,30th < 2040,FR_ < FR,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,6.199999187137106,inter_all_total32_ext8_noFossil
none,30th < 2040,IT_ < IT,SouthEast < GR,none,powerGrid < hvdc,none,no,expExc,0.9953687593864863,inter_all_total32_ext8_noFossil
none,30th < 2040,IT_ < IT,SouthEast < ME,none,powerGrid < hvdc,none,no,expExc,1.599997792238562,inter_all_total32_ext8_noFossil
none,30th < 2040,Balt < LT,Scan < SE,none,powerGrid < hvdc,none,no,expExc,1.8043524388897056,inter_all_total32_ext8_noFossil
none,30th < 2040,Benelux < NL,Scan < NO,none,powerGrid < hvdc,none,no,expExc,9.994245897270767,inter_all_total32_ext8_noFossil
none,30th < 2040,Benelux < NL,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.999998870469479,inter_all_total32_ext8_noFossil
none,30th < 2040,Scan < NO,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.999998074481654,inter_all_total32_ext8_noFossil
none,30th < 2040,East < PL,Scan < SE,none,powerGrid < hvdc,none,no,expExc,2.9963650932933925,inter_all_total32_ext8_noFossil
