region_2,technology_3,parameter,value,source
,firmCapacity,costVarGen,5.5,
AL,firmCapacity,capaConvResi,1.39,
AT,firmCapacity,capaConvResi,3.21,
BA,firmCapacity,capaConvResi,0.39,
BE,firmCapacity,capaConvResi,2.61,
BG,firmCapacity,capaConvResi,0.69,
CH,firmCapacity,capaConvResi,1.47,
CZ,firmCapacity,capaConvResi,2.7,
DE,firmCapacity,capaConvResi,16.59,
DK,firmCapacity,capaConvResi,2.01,
EE,firmCapacity,capaConvResi,0.08,
ES,firmCapacity,capaConvResi,12.05,
FI,firmCapacity,capaConvResi,7.6,
FR,firmCapacity,capaConvResi,21.27,
GR,firmCapacity,capaConvResi,3.24,
HR,firmCapacity,capaConvResi,0.27,
HU,firmCapacity,capaConvResi,0.77,
IE,firmCapacity,capaConvResi,2.35,
IT,firmCapacity,capaConvResi,11.23,
LT,firmCapacity,capaConvResi,1.96,
LU,firmCapacity,capaConvResi,0.22,
LV,firmCapacity,capaConvResi,0.18,
ME,firmCapacity,capaConvResi,0.12,
MK,firmCapacity,capaConvResi,0.28,
NL,firmCapacity,capaConvResi,1.93,
NO,firmCapacity,capaConvResi,4.51,
PL,firmCapacity,capaConvResi,9.16,
PT,firmCapacity,capaConvResi,2.49,
RO,firmCapacity,capaConvResi,3.25,
RS,firmCapacity,capaConvResi,1.07,
SE,firmCapacity,capaConvResi,3.76,
SI,firmCapacity,capaConvResi,0.19,
SK,firmCapacity,capaConvResi,0.51,
UK,firmCapacity,capaConvResi,11.18,
