scenario,timestep_3,parameter,value
scr1983,ini1,scrProb,0.542857143
scr1983,ini2,scrProb,0
scr1983,ini3,scrProb,0
scr1983,ini4,scrProb,0
scr1987,ini1,scrProb,0
scr1987,ini2,scrProb,0
scr1987,ini3,scrProb,0
scr1987,ini4,scrProb,0.6
scr2005,ini1,scrProb,0
scr2005,ini2,scrProb,0.685714286
scr2005,ini3,scrProb,0
scr2005,ini4,scrProb,0.4
scr2012,ini1,scrProb,0
scr2012,ini2,scrProb,0
scr2012,ini3,scrProb,0.571428571
scr2012,ini4,scrProb,0
scr2013,ini1,scrProb,0.457142857
scr2013,ini2,scrProb,0
scr2013,ini3,scrProb,0.428571429
scr2013,ini4,scrProb,0
scr2015,ini1,scrProb,0
scr2015,ini2,scrProb,0.314285714
scr2015,ini3,scrProb,0
scr2015,ini4,scrProb,0
