timestep_superordinate_expansion,timestep_superordinate_dispatch,region_from,region_to,carrier,exchange,scenario,directed,variable,value,objName
none,30th < 2040,Benelux < BE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.39999829551387,noInter_all_total32_ext8_reference
none,30th < 2040,DE_ < DE,Scan < DK,none,powerGrid < hvdc,none,no,expExc,1.0999920789272304,noInter_all_total32_ext8_reference
none,30th < 2040,DE_ < DE,Scan < NO,none,powerGrid < hvdc,none,no,expExc,2.9999928979159276,noInter_all_total32_ext8_reference
none,30th < 2040,DE_ < DE,Scan < SE,none,powerGrid < hvdc,none,no,expExc,2.8999967256065986,noInter_all_total32_ext8_reference
none,30th < 2040,DE_ < DE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,2.000916550034154,noInter_all_total32_ext8_reference
none,30th < 2040,East < PL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,3.910662339405173,noInter_all_total32_ext8_reference
none,30th < 2040,Benelux < NL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,2.994135217899175,noInter_all_total32_ext8_reference
none,30th < 2040,Scan < DK,Scan < NO,none,powerGrid < hvdc,none,no,expExc,4.9999977180127075,noInter_all_total32_ext8_reference
none,30th < 2040,Scan < DK,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.499998203792449,noInter_all_total32_ext8_reference
none,30th < 2040,Balt < EE,Scan < FI,none,powerGrid < hvdc,none,no,expExc,4.998480754945992,noInter_all_total32_ext8_reference
none,30th < 2040,Scan < FI,Scan < SE,none,powerGrid < hvdc,none,no,expExc,1.786731067094563,noInter_all_total32_ext8_reference
none,30th < 2040,FR_ < FR,UkPlus < IE,none,powerGrid < hvdc,none,no,expExc,1.3999984530281329,noInter_all_total32_ext8_reference
none,30th < 2040,FR_ < FR,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,6.199999084265739,noInter_all_total32_ext8_reference
none,30th < 2040,IT_ < IT,SouthEast < GR,none,powerGrid < hvdc,none,no,expExc,0.9992687639593111,noInter_all_total32_ext8_reference
