technology_3,timestep_2,timestep_2,carrier_1,parameter,value
ottoPsngRoadPrvt,2020,,,costExpConv,11784.75238
cngPsngRoadPrvt,2020,,,costExpConv,11679.59121
dieselPsngRoadPrvt,2020,,,costExpConv,13599.22285
fcevPsngRoadPrvt,2020,,,costExpConv,39459.57253
bevPsngRoadPrvt,2020,,,costExpConv,4765.554151
ottoPsngRoadPub,2020,,,costExpConv,5372.921994
dieselPsngRoadPub,2020,,,costExpConv,5832.494523
fcPsngRoadPub,2020,,,costExpConv,11551.40061
bevPsngRoadPub,2020,,,costExpConv,2182.930986
ottoFrtRoadLight,2020,,,costExpConv,7367.081929
dieselFrtRoadLight,2020,,,costExpConv,8835.029378
fcFrtRoadLight,2020,,,costExpConv,27438.93987
bevFrtRoadLight,2020,,,costExpConv,3413.063953
ottoFrtRoadHeavy,2020,,,costExpConv,1837.064284
dieselFrtRoadHeavy,2020,,,costExpConv,1626.586198
fcFrtRoadHeavy,2020,,,costExpConv,7655.817575
oberFrtRoadHeavy,2020,,,costExpConv,3623.676748
bevFrtRoadHeavy,2020,,,costExpConv,884.4700865
fcPsngRail,2020,,,costExpConv,2548.995701
dieselPsngRail,2020,,,costExpConv,1935.632617
ePsngRail,2020,,,costExpConv,5209.716634
fcFrtRail,2020,,,costExpConv,2872.942552
dieselFrtRail,2020,,,costExpConv,2181.809742
eFrtRail,2020,,,costExpConv,4808.565302
ottoPsngRoadPrvt,2025,,,costExpConv,11372.58369
cngPsngRoadPrvt,2025,,,costExpConv,11216.18106
dieselPsngRoadPrvt,2025,,,costExpConv,13074.81655
fcevPsngRoadPrvt,2025,,,costExpConv,35440.98891
bevPsngRoadPrvt,2025,,,costExpConv,4500.215458
ottoPsngRoadPub,2025,,,costExpConv,5379.184141
dieselPsngRoadPub,2025,,,costExpConv,5871.377819
fcPsngRoadPub,2025,,,costExpConv,10711.67113
bevPsngRoadPub,2025,,,costExpConv,2098.972101
ottoFrtRoadLight,2025,,,costExpConv,7258.197179
dieselFrtRoadLight,2025,,,costExpConv,8768.035883
fcFrtRoadLight,2025,,,costExpConv,25547.0844
bevFrtRoadLight,2025,,,costExpConv,3623.786437
ottoFrtRoadHeavy,2025,,,costExpConv,1883.004564
dieselFrtRoadHeavy,2025,,,costExpConv,1701.516799
fcFrtRoadHeavy,2025,,,costExpConv,6867.648919
oberFrtRoadHeavy,2025,,,costExpConv,3547.315157
