timestep_2,carrier_1,technology_3,region_4,parameter,value,source
all,liquidFuel,avaAndNavi,01ES,useFix,64.97991537,"models fuel demand from aviation and navigation, see transportInputs for details"
all,liquidFuel,avaAndNavi,02ES,useFix,235.0177406,
all,liquidFuel,avaAndNavi,03ES,useFix,195.8124382,
all,liquidFuel,avaAndNavi,04ES,useFix,340.708053,
all,liquidFuel,avaAndNavi,05ES,useFix,187.5781871,
all,liquidFuel,avaAndNavi,06ES,useFix,2780.404222,
all,liquidFuel,avaAndNavi,07ES,useFix,914.4377633,
all,liquidFuel,avaAndNavi,08ES,useFix,178.9660064,
all,liquidFuel,avaAndNavi,09ES,useFix,203.0179289,
all,liquidFuel,avaAndNavi,10ES,useFix,116.5964261,
all,liquidFuel,avaAndNavi,11ES,useFix,867.5648973,
all,liquidFuel,avaAndNavi,12PT,useFix,12357.347,
all,liquidFuel,avaAndNavi,13PT,useFix,16715.83009,
all,liquidFuel,avaAndNavi,14FR,useFix,3425.19924,
all,liquidFuel,avaAndNavi,15FR,useFix,915.0928819,
all,liquidFuel,avaAndNavi,16FR,useFix,6766.252436,
all,liquidFuel,avaAndNavi,17FR,useFix,2194.85924,
all,liquidFuel,avaAndNavi,18FR,useFix,2608.425637,
all,liquidFuel,avaAndNavi,19FR,useFix,8379.192005,
all,liquidFuel,avaAndNavi,20FR,useFix,6475.200814,
all,liquidFuel,avaAndNavi,21FR,useFix,923.3604973,
all,liquidFuel,avaAndNavi,22FR,useFix,884.2785315,
all,liquidFuel,avaAndNavi,23FR,useFix,73434.53091,
all,liquidFuel,avaAndNavi,24FR,useFix,844.0166184,
all,liquidFuel,avaAndNavi,25FR,useFix,1927.781631,
all,liquidFuel,avaAndNavi,26FR,useFix,5257.142821,
all,liquidFuel,avaAndNavi,27FR,useFix,201.8758969,
all,liquidFuel,avaAndNavi,28BE,useFix,51672.86102,
all,liquidFuel,avaAndNavi,29LU,useFix,0,
all,liquidFuel,avaAndNavi,30NL,useFix,215567.3225,
all,liquidFuel,avaAndNavi,31DE,useFix,16041.89168,
all,liquidFuel,avaAndNavi,32DE,useFix,9355.47346,
all,liquidFuel,avaAndNavi,33DE,useFix,36939.15611,
all,liquidFuel,avaAndNavi,34DE,useFix,10038.64385,
all,liquidFuel,avaAndNavi,35DE,useFix,37173.78784,
all,liquidFuel,avaAndNavi,36DE,useFix,20561.25976,
all,liquidFuel,avaAndNavi,37DE,useFix,20880.41907,
all,liquidFuel,avaAndNavi,38DK,useFix,641.178628,
all,liquidFuel,avaAndNavi,39CZ,useFix,2768.757582,
all,liquidFuel,avaAndNavi,40CZ,useFix,2194.253847,
all,liquidFuel,avaAndNavi,41PL,useFix,9713.336476,
all,liquidFuel,avaAndNavi,42PL,useFix,5603.611212,
all,liquidFuel,avaAndNavi,43PL,useFix,8164.477921,
all,liquidFuel,avaAndNavi,44PL,useFix,7204.888678,
all,liquidFuel,avaAndNavi,45PL,useFix,4428.789766,
all,liquidFuel,avaAndNavi,46SK,useFix,2459.927404,
all,liquidFuel,avaAndNavi,47CH,useFix,482.31154,
all,liquidFuel,avaAndNavi,48CH,useFix,49.95345388,
all,liquidFuel,avaAndNavi,49AT,useFix,4220.763166,
all,liquidFuel,avaAndNavi,50AT,useFix,6618.769792,
all,liquidFuel,avaAndNavi,51AT,useFix,7228.705751,
all,liquidFuel,avaAndNavi,52IT,useFix,37900.1864,
all,liquidFuel,avaAndNavi,53IT,useFix,7070.302884,
all,liquidFuel,avaAndNavi,54IT,useFix,13250.27747,
all,liquidFuel,avaAndNavi,55IT,useFix,5072.296291,
all,liquidFuel,avaAndNavi,56IT,useFix,3585.314157,
all,liquidFuel,avaAndNavi,57SI,useFix,0,
all,liquidFuel,avaAndNavi,58HU,useFix,6113.854659,
all,liquidFuel,avaAndNavi,59RO,useFix,3107.462555,
all,liquidFuel,avaAndNavi,60RO,useFix,6200.396238,
all,liquidFuel,avaAndNavi,61RO,useFix,2315.65783,
all,liquidFuel,avaAndNavi,62HR,useFix,3308.674286,
all,liquidFuel,avaAndNavi,63BA,useFix,0,
all,liquidFuel,avaAndNavi,64ME,useFix,0,
all,liquidFuel,avaAndNavi,65RS,useFix,0,
all,liquidFuel,avaAndNavi,66BG,useFix,5408.963181,
all,liquidFuel,avaAndNavi,67MK,useFix,0,
all,liquidFuel,avaAndNavi,68GR,useFix,7626.606466,
all,liquidFuel,avaAndNavi,69GR,useFix,61869.93908,
all,liquidFuel,avaAndNavi,70AL,useFix,0,
all,liquidFuel,avaAndNavi,72DK,useFix,3616.941323,
all,liquidFuel,avaAndNavi,73EE,useFix,0,
all,liquidFuel,avaAndNavi,74FI,useFix,360.7559292,
all,liquidFuel,avaAndNavi,75FI,useFix,16355.24199,
all,liquidFuel,avaAndNavi,77LT,useFix,29634.21317,
all,liquidFuel,avaAndNavi,78LV,useFix,0,
all,liquidFuel,avaAndNavi,79NO,useFix,783.9735486,
all,liquidFuel,avaAndNavi,80NO,useFix,1818.293216,
all,liquidFuel,avaAndNavi,81NO,useFix,3707.537677,
all,liquidFuel,avaAndNavi,82NO,useFix,7018.481518,
all,liquidFuel,avaAndNavi,83NO,useFix,1856.290566,
all,liquidFuel,avaAndNavi,84NO,useFix,1551.139738,
all,liquidFuel,avaAndNavi,85NO,useFix,224.8358385,
all,liquidFuel,avaAndNavi,86SE,useFix,83.92215334,
all,liquidFuel,avaAndNavi,87SE,useFix,417.3921766,
all,liquidFuel,avaAndNavi,88SE,useFix,5617.263917,
all,liquidFuel,avaAndNavi,89SE,useFix,1577.685853,
all,liquidFuel,avaAndNavi,90UK,useFix,31219.23488,
all,liquidFuel,avaAndNavi,91UK,useFix,8423.024347,
all,liquidFuel,avaAndNavi,92UK,useFix,72436.84757,
all,liquidFuel,avaAndNavi,93UK,useFix,22120.02863,
all,liquidFuel,avaAndNavi,94UK,useFix,4272.008969,
all,liquidFuel,avaAndNavi,95UK,useFix,5441.801504,
