region_4,technology_3,timestep_2,parameter,value
01ES,bevFrtRoadLight,2020,capaConvResi,0.00077
02ES,bevFrtRoadLight,2020,capaConvResi,0.00072
03ES,bevFrtRoadLight,2020,capaConvResi,0.00053
04ES,bevFrtRoadLight,2020,capaConvResi,0.00123
05ES,bevFrtRoadLight,2020,capaConvResi,0.00045
06ES,bevFrtRoadLight,2020,capaConvResi,0.00276
07ES,bevFrtRoadLight,2020,capaConvResi,0.00276
08ES,bevFrtRoadLight,2020,capaConvResi,0.00053
09ES,bevFrtRoadLight,2020,capaConvResi,0.00125
10ES,bevFrtRoadLight,2020,capaConvResi,0.00072
11ES,bevFrtRoadLight,2020,capaConvResi,0.00228
12PT,bevFrtRoadLight,2020,capaConvResi,0.00036
13PT,bevFrtRoadLight,2020,capaConvResi,0.00048
14FR,bevFrtRoadLight,2020,capaConvResi,0.00667
15FR,bevFrtRoadLight,2020,capaConvResi,0.00318
16FR,bevFrtRoadLight,2020,capaConvResi,0.00664
17FR,bevFrtRoadLight,2020,capaConvResi,0.0048
18FR,bevFrtRoadLight,2020,capaConvResi,0.00389
19FR,bevFrtRoadLight,2020,capaConvResi,0.00504
20FR,bevFrtRoadLight,2020,capaConvResi,0.00401
21FR,bevFrtRoadLight,2020,capaConvResi,0.00579
22FR,bevFrtRoadLight,2020,capaConvResi,0.00209
23FR,bevFrtRoadLight,2020,capaConvResi,0.02656
24FR,bevFrtRoadLight,2020,capaConvResi,0.00207
25FR,bevFrtRoadLight,2020,capaConvResi,0.00545
26FR,bevFrtRoadLight,2020,capaConvResi,0.00778
27FR,bevFrtRoadLight,2020,capaConvResi,0.00099
29LU,bevFrtRoadLight,2020,capaConvResi,0.00148
31DE,bevFrtRoadLight,2020,capaConvResi,0.02091
32DE,bevFrtRoadLight,2020,capaConvResi,0.01026
33DE,bevFrtRoadLight,2020,capaConvResi,0.02788
34DE,bevFrtRoadLight,2020,capaConvResi,0.00958
35DE,bevFrtRoadLight,2020,capaConvResi,0.01862
36DE,bevFrtRoadLight,2020,capaConvResi,0.01889
37DE,bevFrtRoadLight,2020,capaConvResi,0.02321
39CZ,bevFrtRoadLight,2020,capaConvResi,0.03534
40CZ,bevFrtRoadLight,2020,capaConvResi,0.0215
41PL,bevFrtRoadLight,2020,capaConvResi,0.00174
42PL,bevFrtRoadLight,2020,capaConvResi,0.00066
43PL,bevFrtRoadLight,2020,capaConvResi,0.00123
44PL,bevFrtRoadLight,2020,capaConvResi,0.00133
45PL,bevFrtRoadLight,2020,capaConvResi,0.00081
46SK,bevFrtRoadLight,2020,capaConvResi,0.02214
47CH,bevFrtRoadLight,2020,capaConvResi,0.00277
48CH,bevFrtRoadLight,2020,capaConvResi,0.00029
49AT,bevFrtRoadLight,2020,capaConvResi,0.0033
50AT,bevFrtRoadLight,2020,capaConvResi,0.004
51AT,bevFrtRoadLight,2020,capaConvResi,0.00559
52IT,bevFrtRoadLight,2020,capaConvResi,2.83037
53IT,bevFrtRoadLight,2020,capaConvResi,0.52801
54IT,bevFrtRoadLight,2020,capaConvResi,0.98953
55IT,bevFrtRoadLight,2020,capaConvResi,0.3788
56IT,bevFrtRoadLight,2020,capaConvResi,0.26544
57SI,bevFrtRoadLight,2020,capaConvResi,0.00492
58HU,bevFrtRoadLight,2020,capaConvResi,0.00294
59RO,bevFrtRoadLight,2020,capaConvResi,0.00006
60RO,bevFrtRoadLight,2020,capaConvResi,0.00012
61RO,bevFrtRoadLight,2020,capaConvResi,0.00005
62HR,bevFrtRoadLight,2020,capaConvResi,0.00067
63BA,bevFrtRoadLight,2020,capaConvResi,0.00002
64ME,bevFrtRoadLight,2020,capaConvResi,0.00001
65RS,bevFrtRoadLight,2020,capaConvResi,0.00005
66BG,bevFrtRoadLight,2020,capaConvResi,0.0001
67MK,bevFrtRoadLight,2020,capaConvResi,0.00002
68GR,bevFrtRoadLight,2020,capaConvResi,0.0994
69GR,bevFrtRoadLight,2020,capaConvResi,0.26819
70AL,bevFrtRoadLight,2020,capaConvResi,0.00002
73EE,bevFrtRoadLight,2020,capaConvResi,0.00005
74FI,bevFrtRoadLight,2020,capaConvResi,0.00012
75FI,bevFrtRoadLight,2020,capaConvResi,0.00096
