timestep_2,region_4,carrier_1,parameter,value
all,01ES,frtRoadLight,capaDem,0.03475
all,02ES,frtRoadLight,capaDem,0.03227
all,03ES,frtRoadLight,capaDem,0.02333
all,04ES,frtRoadLight,capaDem,0.05647
all,05ES,frtRoadLight,capaDem,0.01974
all,06ES,frtRoadLight,capaDem,0.12793
all,07ES,frtRoadLight,capaDem,0.12786
all,08ES,frtRoadLight,capaDem,0.02374
all,09ES,frtRoadLight,capaDem,0.057
all,10ES,frtRoadLight,capaDem,0.03231
all,11ES,frtRoadLight,capaDem,0.10516
all,12PT,frtRoadLight,capaDem,0.05287
all,13PT,frtRoadLight,capaDem,0.07119
all,14FR,frtRoadLight,capaDem,0.07845
all,15FR,frtRoadLight,capaDem,0.0368
all,16FR,frtRoadLight,capaDem,0.07803
all,17FR,frtRoadLight,capaDem,0.0561
all,18FR,frtRoadLight,capaDem,0.04429
all,19FR,frtRoadLight,capaDem,0.059
all,20FR,frtRoadLight,capaDem,0.0457
all,21FR,frtRoadLight,capaDem,0.06793
all,22FR,frtRoadLight,capaDem,0.02387
all,23FR,frtRoadLight,capaDem,0.31462
all,24FR,frtRoadLight,capaDem,0.0236
all,25FR,frtRoadLight,capaDem,0.06391
all,26FR,frtRoadLight,capaDem,0.09166
all,27FR,frtRoadLight,capaDem,0.01079
all,28BE,frtRoadLight,capaDem,0.83623
all,29LU,frtRoadLight,capaDem,0.02022
all,30NL,frtRoadLight,capaDem,0.34594
all,31DE,frtRoadLight,capaDem,0.29225
all,32DE,frtRoadLight,capaDem,0.14341
all,33DE,frtRoadLight,capaDem,0.38934
all,34DE,frtRoadLight,capaDem,0.13385
all,35DE,frtRoadLight,capaDem,0.26002
all,36DE,frtRoadLight,capaDem,0.26384
all,37DE,frtRoadLight,capaDem,0.32462
all,38DK,frtRoadLight,capaDem,0.02447
all,39CZ,frtRoadLight,capaDem,0.49438
all,40CZ,frtRoadLight,capaDem,0.30057
all,41PL,frtRoadLight,capaDem,0.57649
all,42PL,frtRoadLight,capaDem,0.21698
all,43PL,frtRoadLight,capaDem,0.40633
all,44PL,frtRoadLight,capaDem,0.44082
all,45PL,frtRoadLight,capaDem,0.26815
all,46SK,frtRoadLight,capaDem,0.30956
all,47CH,frtRoadLight,capaDem,0.06589
all,48CH,frtRoadLight,capaDem,0.00592
all,49AT,frtRoadLight,capaDem,0.04535
all,50AT,frtRoadLight,capaDem,0.0553
all,51AT,frtRoadLight,capaDem,0.07758
all,52IT,frtRoadLight,capaDem,1.83331
all,53IT,frtRoadLight,capaDem,0.3413
all,54IT,frtRoadLight,capaDem,0.64061
all,55IT,frtRoadLight,capaDem,0.24533
all,56IT,frtRoadLight,capaDem,0.17161
all,57SI,frtRoadLight,capaDem,0.06818
all,58HU,frtRoadLight,capaDem,0.24115
all,59RO,frtRoadLight,capaDem,0.04196
all,60RO,frtRoadLight,capaDem,0.08383
all,61RO,frtRoadLight,capaDem,0.03689
all,62HR,frtRoadLight,capaDem,0.06669
all,63BA,frtRoadLight,capaDem,0.01285
all,64ME,frtRoadLight,capaDem,0.00278
all,65RS,frtRoadLight,capaDem,0.03378
all,66BG,frtRoadLight,capaDem,0.0694
all,67MK,frtRoadLight,capaDem,0.0087
all,68GR,frtRoadLight,capaDem,0.06425
all,69GR,frtRoadLight,capaDem,0.17348
all,70AL,frtRoadLight,capaDem,0.01037
all,72DK,frtRoadLight,capaDem,0.02604
all,73EE,frtRoadLight,capaDem,0.01145
all,74FI,frtRoadLight,capaDem,0.00975
all,75FI,frtRoadLight,capaDem,0.08905
all,77LT,frtRoadLight,capaDem,0.17452
all,78LV,frtRoadLight,capaDem,0.03147
all,79NO,frtRoadLight,capaDem,0.00484
all,80NO,frtRoadLight,capaDem,0.01254
all,81NO,frtRoadLight,capaDem,0.02662
all,82NO,frtRoadLight,capaDem,0.0513
all,83NO,frtRoadLight,capaDem,0.01283
all,84NO,frtRoadLight,capaDem,0.01055
all,85NO,frtRoadLight,capaDem,0.00067
all,86SE,frtRoadLight,capaDem,0.00206
all,87SE,frtRoadLight,capaDem,0.00879
all,88SE,frtRoadLight,capaDem,0.09125
all,89SE,frtRoadLight,capaDem,0.02036
all,90UK,frtRoadLight,capaDem,0.73736
all,91UK,frtRoadLight,capaDem,0.09814
all,92UK,frtRoadLight,capaDem,0.45244
all,93UK,frtRoadLight,capaDem,0.12206
all,94UK,frtRoadLight,capaDem,0.07897
all,95UK,frtRoadLight,capaDem,0.01639
all,96IE,frtRoadLight,capaDem,0.03054
all,98IT,frtRoadLight,capaDem,0.08778
all,99FR,frtRoadLight,capaDem,0.00313
all,01ES,psngRoadPrvt,capaDem,6.31265
all,02ES,psngRoadPrvt,capaDem,4.34431
all,03ES,psngRoadPrvt,capaDem,3.17319
all,04ES,psngRoadPrvt,capaDem,6.10717
all,05ES,psngRoadPrvt,capaDem,2.01028
all,06ES,psngRoadPrvt,capaDem,12.46265
all,07ES,psngRoadPrvt,capaDem,14.69817
all,08ES,psngRoadPrvt,capaDem,3.58817
all,09ES,psngRoadPrvt,capaDem,7.85946
all,10ES,psngRoadPrvt,capaDem,4.5135
all,11ES,psngRoadPrvt,capaDem,13.21658
all,12PT,psngRoadPrvt,capaDem,9.03481
all,13PT,psngRoadPrvt,capaDem,8.94297
all,14FR,psngRoadPrvt,capaDem,14.5922
all,15FR,psngRoadPrvt,capaDem,7.79672
all,16FR,psngRoadPrvt,capaDem,13.51403
all,17FR,psngRoadPrvt,capaDem,9.30356
all,18FR,psngRoadPrvt,capaDem,9.23232
all,19FR,psngRoadPrvt,capaDem,10.42392
all,20FR,psngRoadPrvt,capaDem,8.41614
all,21FR,psngRoadPrvt,capaDem,11.82928
all,22FR,psngRoadPrvt,capaDem,3.95303
all,23FR,psngRoadPrvt,capaDem,39.64193
all,24FR,psngRoadPrvt,capaDem,4.63413
all,25FR,psngRoadPrvt,capaDem,12.22499
all,26FR,psngRoadPrvt,capaDem,13.98027
all,27FR,psngRoadPrvt,capaDem,1.55497
all,28BE,psngRoadPrvt,capaDem,24.82613
all,29LU,psngRoadPrvt,capaDem,1.52175
all,30NL,psngRoadPrvt,capaDem,39.77634
all,31DE,psngRoadPrvt,capaDem,32.39606
all,32DE,psngRoadPrvt,capaDem,16.93687
all,33DE,psngRoadPrvt,capaDem,42.05156
all,34DE,psngRoadPrvt,capaDem,20.5926
all,35DE,psngRoadPrvt,capaDem,30.81417
all,36DE,psngRoadPrvt,capaDem,22.7431
all,37DE,psngRoadPrvt,capaDem,36.06037
all,38DK,psngRoadPrvt,capaDem,7.14703
all,39CZ,psngRoadPrvt,capaDem,9.94688
all,40CZ,psngRoadPrvt,capaDem,6.27269
all,41PL,psngRoadPrvt,capaDem,10.62423
all,42PL,psngRoadPrvt,capaDem,7.63042
all,43PL,psngRoadPrvt,capaDem,10.63412
all,44PL,psngRoadPrvt,capaDem,9.83463
all,45PL,psngRoadPrvt,capaDem,7.61487
all,46SK,psngRoadPrvt,capaDem,5.90886
all,47CH,psngRoadPrvt,capaDem,14.69032
all,48CH,psngRoadPrvt,capaDem,2.23995
all,49AT,psngRoadPrvt,capaDem,3.87427
all,50AT,psngRoadPrvt,capaDem,4.58085
all,51AT,psngRoadPrvt,capaDem,9.20834
all,52IT,psngRoadPrvt,capaDem,60.67617
all,53IT,psngRoadPrvt,capaDem,16.51555
all,54IT,psngRoadPrvt,capaDem,42.41582
all,55IT,psngRoadPrvt,capaDem,25.14659
all,56IT,psngRoadPrvt,capaDem,12.32184
all,57SI,psngRoadPrvt,capaDem,5.56697
all,58HU,psngRoadPrvt,capaDem,11.67575
all,59RO,psngRoadPrvt,capaDem,4.49213
all,60RO,psngRoadPrvt,capaDem,7.95382
all,61RO,psngRoadPrvt,capaDem,4.7913
all,62HR,psngRoadPrvt,capaDem,5.4358
all,63BA,psngRoadPrvt,capaDem,2.43117
all,64ME,psngRoadPrvt,capaDem,0.87209
