region_2,technology_3,parameter,value
AL,dieselFrtRailStock,effConv,15.2912
AL,dieselPsngRailStock,effConv,5.5024
AL,dieselPsngRoadPubStock,effConv,4.8924
AL,ottoPsngRoadPubStock,effConv,3.9396
AL,dieselPsngRoadPrvtStock,effConv,2.4624
AL,ottoPsngRoadPrvtStock,effConv,2.1936
AL,dieselFrtRoadHeavyStock,effConv,5.9976
AL,ottoFrtRoadHeavyStock,effConv,5.016
AL,dieselFrtRoadLightStock,effConv,0.276
AL,ottoFrtRoadLightStock,effConv,0.2148
AT,dieselFrtRailStock,effConv,15.2912
AT,dieselPsngRailStock,effConv,5.5024
AT,dieselPsngRoadPubStock,effConv,4.8924
AT,ottoPsngRoadPubStock,effConv,3.9396
AT,dieselPsngRoadPrvtStock,effConv,2.4624
AT,ottoPsngRoadPrvtStock,effConv,2.1936
AT,dieselFrtRoadHeavyStock,effConv,5.9976
AT,ottoFrtRoadHeavyStock,effConv,5.016
AT,dieselFrtRoadLightStock,effConv,0.276
AT,ottoFrtRoadLightStock,effConv,0.2148
BA,dieselFrtRailStock,effConv,15.2912
BA,dieselPsngRailStock,effConv,5.5024
BA,dieselPsngRoadPubStock,effConv,4.8924
BA,ottoPsngRoadPubStock,effConv,3.9396
BA,dieselPsngRoadPrvtStock,effConv,2.4624
BA,ottoPsngRoadPrvtStock,effConv,2.1936
BA,dieselFrtRoadHeavyStock,effConv,5.9976
BA,ottoFrtRoadHeavyStock,effConv,5.016
BA,dieselFrtRoadLightStock,effConv,0.276
BA,ottoFrtRoadLightStock,effConv,0.2148
BE,dieselFrtRailStock,effConv,15.2912
BE,dieselPsngRailStock,effConv,5.5024
BE,dieselPsngRoadPubStock,effConv,4.079867755
BE,ottoPsngRoadPubStock,effConv,3.285309257
BE,dieselPsngRoadPrvtStock,effConv,2.053443373
BE,ottoPsngRoadPrvtStock,effConv,1.829285812
BE,dieselFrtRoadHeavyStock,effConv,5.001515585
BE,ottoFrtRoadHeavyStock,effConv,4.182940205
BE,dieselFrtRoadLightStock,effConv,0.230161782
BE,ottoFrtRoadLightStock,effConv,0.179125908
BG,dieselFrtRailStock,effConv,15.2912
BG,dieselPsngRailStock,effConv,5.5024
BG,dieselPsngRoadPubStock,effConv,4.125334669
BG,ottoPsngRoadPubStock,effConv,3.321921442
BG,dieselPsngRoadPrvtStock,effConv,2.076327383
BG,ottoPsngRoadPrvtStock,effConv,1.849671762
BG,dieselFrtRoadHeavyStock,effConv,5.057253538
BG,ottoFrtRoadHeavyStock,effConv,4.22955578
BG,dieselFrtRoadLightStock,effConv,0.232726753
BG,ottoFrtRoadLightStock,effConv,0.181122126
CZ,dieselFrtRailStock,effConv,15.2912
CZ,dieselPsngRailStock,effConv,5.5024
CZ,dieselPsngRoadPubStock,effConv,4.047111042
CZ,ottoPsngRoadPubStock,effConv,3.258931948
CZ,dieselPsngRoadPrvtStock,effConv,2.036956551
CZ,ottoPsngRoadPrvtStock,effConv,1.814598721
CZ,dieselFrtRoadHeavyStock,effConv,4.961359085
CZ,ottoFrtRoadHeavyStock,effConv,4.149355937
CZ,dieselFrtRoadLightStock,effConv,0.228313843
CZ,ottoFrtRoadLightStock,effConv,0.17768773
DE,dieselFrtRailStock,effConv,15.2912
DE,dieselPsngRailStock,effConv,5.5024
DE,dieselPsngRoadPubStock,effConv,3.855105451
DE,ottoPsngRoadPubStock,effConv,3.104319646
DE,dieselPsngRoadPrvtStock,effConv,1.940317975
DE,ottoPsngRoadPrvtStock,effConv,1.728509385
DE,dieselFrtRoadHeavyStock,effConv,4.725979162
DE,ottoFrtRoadHeavyStock,effConv,3.952499579
DE,dieselFrtRoadLightStock,effConv,0.217482034
DE,ottoFrtRoadLightStock,effConv,0.169257757
DK,dieselFrtRailStock,effConv,22.9368
DK,dieselPsngRailStock,effConv,8.2536
DK,dieselPsngRoadPubStock,effConv,4.2432993
DK,ottoPsngRoadPubStock,effConv,3.416912338
DK,dieselPsngRoadPrvtStock,effConv,2.13570031
DK,ottoPsngRoadPrvtStock,effConv,1.902563434
DK,dieselFrtRoadHeavyStock,effConv,5.201866544
DK,ottoFrtRoadHeavyStock,effConv,4.350500631
