timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0001,AT,electricity,scr2093,dem,20.944763515265073
h0002,AT,electricity,scr2093,dem,25.114677556998757
h0003,AT,electricity,scr2093,dem,24.49863492826274
h0004,AT,electricity,scr2093,dem,26.522563181942495
h0005,AT,electricity,scr2093,dem,24.376282914951425
h0006,AT,electricity,scr2093,dem,24.088590453726177
h0007,AT,electricity,scr2093,dem,26.96794531325672
h0008,AT,electricity,scr2093,dem,29.796033009143997
h0009,AT,electricity,scr2093,dem,27.61687528344175
h0010,AT,electricity,scr2093,dem,28.577315560772398
h0011,AT,electricity,scr2093,dem,28.67826904892098
h0012,AT,electricity,scr2093,dem,35.13051308174137
h0013,AT,electricity,scr2093,dem,29.501234636591498
h0014,AT,electricity,scr2093,dem,27.5385502187955
h0015,AT,electricity,scr2093,dem,20.733654881355484
h0016,AT,electricity,scr2093,dem,19.070478721673183
h0017,AT,electricity,scr2093,dem,17.681793785147903
h0018,AT,electricity,scr2093,dem,18.50545959946644
h0019,AT,electricity,scr2093,dem,20.83270761162042
h0020,AT,electricity,scr2093,dem,19.212257161990358
h0021,AT,electricity,scr2093,dem,20.48190654384264
h0022,AT,electricity,scr2093,dem,19.92388562544295
h0023,AT,electricity,scr2093,dem,21.710326899838535
h0024,AT,electricity,scr2093,dem,16.566477069924744
h0025,AT,electricity,scr2093,dem,10.605020726940177
h0026,AT,electricity,scr2093,dem,10.663906607670306
h0027,AT,electricity,scr2093,dem,13.6721245938266
h0028,AT,electricity,scr2093,dem,16.588908087851642
h0029,AT,electricity,scr2093,dem,12.80885427977187
h0030,AT,electricity,scr2093,dem,14.661038787534169
h0031,AT,electricity,scr2093,dem,15.291528776812617
h0032,AT,electricity,scr2093,dem,13.434065794752435
h0033,AT,electricity,scr2093,dem,12.685050174744719
h0034,AT,electricity,scr2093,dem,12.9970374256204
h0035,AT,electricity,scr2093,dem,16.673009842570686
h0036,AT,electricity,scr2093,dem,14.6909747309971
h0037,AT,electricity,scr2093,dem,12.333052858035867
h0038,AT,electricity,scr2093,dem,10.192020612720274
h0039,AT,electricity,scr2093,dem,9.378636390233826
h0040,AT,electricity,scr2093,dem,9.284488700619669
h0041,AT,electricity,scr2093,dem,8.267033959733553
h0042,AT,electricity,scr2093,dem,7.65749036797848
h0043,AT,electricity,scr2093,dem,7.401664319771339
h0044,AT,electricity,scr2093,dem,7.8902244564423905
h0045,AT,electricity,scr2093,dem,7.6933415994085825
h0046,AT,electricity,scr2093,dem,7.098055516334689
h0047,AT,electricity,scr2093,dem,6.700396224819878
h0048,AT,electricity,scr2093,dem,5.819088829518271
h0049,AT,electricity,scr2093,dem,5.681313807837551
h0050,AT,electricity,scr2093,dem,5.186929806179088
h0051,AT,electricity,scr2093,dem,4.973721735424296
h0052,AT,electricity,scr2093,dem,4.796173844752335
h0053,AT,electricity,scr2093,dem,4.7460699296312345
h0054,AT,electricity,scr2093,dem,4.796954104775423
h0055,AT,electricity,scr2093,dem,4.59691179749097
h0056,AT,electricity,scr2093,dem,5.752475914420175
h0057,AT,electricity,scr2093,dem,6.443434292318558
h0058,AT,electricity,scr2093,dem,8.056503636972224
h0059,AT,electricity,scr2093,dem,8.310629637526844
h0060,AT,electricity,scr2093,dem,9.208651288095297
h0061,AT,electricity,scr2093,dem,9.21284415993187
h0062,AT,electricity,scr2093,dem,7.9729909459051225
h0063,AT,electricity,scr2093,dem,8.234033103747318
h0064,AT,electricity,scr2093,dem,7.344233784132804
h0065,AT,electricity,scr2093,dem,8.321097721024238
h0066,AT,electricity,scr2093,dem,7.6582612585786505
h0067,AT,electricity,scr2093,dem,8.177000254114969
h0068,AT,electricity,scr2093,dem,7.8549541996623615
h0069,AT,electricity,scr2093,dem,7.2757849339830605
h0070,AT,electricity,scr2093,dem,6.9516680201768555
h0071,AT,electricity,scr2093,dem,6.299595775185941
h0072,AT,electricity,scr2093,dem,6.014263338473424
h0073,AT,electricity,scr2093,dem,5.35697126591169
h0074,AT,electricity,scr2093,dem,5.093809862778624
h0075,AT,electricity,scr2093,dem,4.873801108761751
h0076,AT,electricity,scr2093,dem,4.533591435163993
h0077,AT,electricity,scr2093,dem,4.664170632222692
h0078,AT,electricity,scr2093,dem,4.457334652771084
h0079,AT,electricity,scr2093,dem,5.547691851685891
h0080,AT,electricity,scr2093,dem,5.886342012364033
h0081,AT,electricity,scr2093,dem,7.455346686881952
h0082,AT,electricity,scr2093,dem,8.061132289342867
h0083,AT,electricity,scr2093,dem,9.155391917793825
h0084,AT,electricity,scr2093,dem,9.366002889153567
h0085,AT,electricity,scr2093,dem,8.203859171516218
h0086,AT,electricity,scr2093,dem,8.038079414358705
h0087,AT,electricity,scr2093,dem,7.074023877741548
h0088,AT,electricity,scr2093,dem,7.993156581860637
h0089,AT,electricity,scr2093,dem,7.738495784446981
h0090,AT,electricity,scr2093,dem,8.434422485453082
h0091,AT,electricity,scr2093,dem,8.559116887949013
h0092,AT,electricity,scr2093,dem,8.099966675291139
h0093,AT,electricity,scr2093,dem,8.099643843682156
h0094,AT,electricity,scr2093,dem,7.107761882386494
h0095,AT,electricity,scr2093,dem,7.282885326700577
h0096,AT,electricity,scr2093,dem,6.446064050627458
h0001,CH,electricity,scr2093,dem,20.270599980245322
h0002,CH,electricity,scr2093,dem,24.859579037447304
h0003,CH,electricity,scr2093,dem,22.363592173308344
h0004,CH,electricity,scr2093,dem,25.269064138874242
h0005,CH,electricity,scr2093,dem,22.881701101992046
h0006,CH,electricity,scr2093,dem,24.16149618023492
h0007,CH,electricity,scr2093,dem,25.485622751799532
h0008,CH,electricity,scr2093,dem,27.46995498952028
h0009,CH,electricity,scr2093,dem,24.785764766522682
h0010,CH,electricity,scr2093,dem,27.642621305555345
h0011,CH,electricity,scr2093,dem,28.270321017107516
h0012,CH,electricity,scr2093,dem,32.93112373464962
h0013,CH,electricity,scr2093,dem,22.62443760755056
h0014,CH,electricity,scr2093,dem,18.671737574854124
h0015,CH,electricity,scr2093,dem,13.58934117849611
h0016,CH,electricity,scr2093,dem,14.67393194896049
h0017,CH,electricity,scr2093,dem,15.162600258709805
h0018,CH,electricity,scr2093,dem,15.363848422394174
h0019,CH,electricity,scr2093,dem,16.574923102247983
h0020,CH,electricity,scr2093,dem,13.343487918968236
h0021,CH,electricity,scr2093,dem,14.269912602711983
h0022,CH,electricity,scr2093,dem,15.126283759714298
h0023,CH,electricity,scr2093,dem,17.551145883188916
h0024,CH,electricity,scr2093,dem,12.86687775135973
h0025,CH,electricity,scr2093,dem,6.470717397529744
h0026,CH,electricity,scr2093,dem,8.48825995992161
h0027,CH,electricity,scr2093,dem,14.375788674427458
h0028,CH,electricity,scr2093,dem,24.586301486623544
h0029,CH,electricity,scr2093,dem,23.42794215684978
h0030,CH,electricity,scr2093,dem,28.406316056590274
h0031,CH,electricity,scr2093,dem,26.993482742540856
h0032,CH,electricity,scr2093,dem,20.286690031705945
h0033,CH,electricity,scr2093,dem,19.592966739626963
h0034,CH,electricity,scr2093,dem,16.758256284702252
h0035,CH,electricity,scr2093,dem,20.46184549041555
h0036,CH,electricity,scr2093,dem,16.36129319696597
h0037,CH,electricity,scr2093,dem,11.431546178326634
h0038,CH,electricity,scr2093,dem,6.794987398362644
h0039,CH,electricity,scr2093,dem,4.408885707827997
h0040,CH,electricity,scr2093,dem,4.396534255214899
h0041,CH,electricity,scr2093,dem,4.077849848708534
h0042,CH,electricity,scr2093,dem,3.3093826857664386
h0043,CH,electricity,scr2093,dem,3.1364186594146606
h0044,CH,electricity,scr2093,dem,3.1120706925798913
h0045,CH,electricity,scr2093,dem,2.961491093519223
h0046,CH,electricity,scr2093,dem,3.0656417584078683
h0047,CH,electricity,scr2093,dem,3.0206971783423455
h0048,CH,electricity,scr2093,dem,2.9392523469958536
h0049,CH,electricity,scr2093,dem,2.7556123902818714
h0050,CH,electricity,scr2093,dem,2.7317979418127782
h0051,CH,electricity,scr2093,dem,2.783492089216728
h0052,CH,electricity,scr2093,dem,2.804675333399057
h0053,CH,electricity,scr2093,dem,2.812669407492251
h0054,CH,electricity,scr2093,dem,2.7797034582939113
h0055,CH,electricity,scr2093,dem,2.699857282839644
h0056,CH,electricity,scr2093,dem,2.767093248222541
h0057,CH,electricity,scr2093,dem,2.8568732089487945
h0058,CH,electricity,scr2093,dem,3.0516019046350507
h0059,CH,electricity,scr2093,dem,3.1350920060053626
h0060,CH,electricity,scr2093,dem,3.225681749951894
h0061,CH,electricity,scr2093,dem,3.1987878801466882
h0062,CH,electricity,scr2093,dem,3.048783627823406
h0063,CH,electricity,scr2093,dem,3.0656388054129504
h0064,CH,electricity,scr2093,dem,2.9968549123553885
h0065,CH,electricity,scr2093,dem,3.0869421434644337
h0066,CH,electricity,scr2093,dem,2.9373905912327465
h0067,CH,electricity,scr2093,dem,2.9277953199283067
h0068,CH,electricity,scr2093,dem,2.8278819034065474
h0069,CH,electricity,scr2093,dem,2.7050498858823233
h0070,CH,electricity,scr2093,dem,2.67306403420004
h0071,CH,electricity,scr2093,dem,2.624192895775048
h0072,CH,electricity,scr2093,dem,2.6683553705701195
h0073,CH,electricity,scr2093,dem,2.6481071991321685
h0074,CH,electricity,scr2093,dem,2.7001397627036376
h0075,CH,electricity,scr2093,dem,2.7536274699657644
h0076,CH,electricity,scr2093,dem,2.766406670408185
h0077,CH,electricity,scr2093,dem,2.7394766883803
h0078,CH,electricity,scr2093,dem,2.674752090406225
h0079,CH,electricity,scr2093,dem,2.7083379299936503
h0080,CH,electricity,scr2093,dem,2.7037742007249723
h0081,CH,electricity,scr2093,dem,2.8674601746296564
h0082,CH,electricity,scr2093,dem,2.9809580110398093
h0083,CH,electricity,scr2093,dem,3.173473087480564
h0084,CH,electricity,scr2093,dem,3.2272453819628515
h0085,CH,electricity,scr2093,dem,3.0955556945182767
h0086,CH,electricity,scr2093,dem,3.0946073999985213
h0087,CH,electricity,scr2093,dem,2.9370333197647445
h0088,CH,electricity,scr2093,dem,3.046660497478796
h0089,CH,electricity,scr2093,dem,2.9998512320195356
h0090,CH,electricity,scr2093,dem,3.058475694722005
h0091,CH,electricity,scr2093,dem,2.9910993484320647
h0092,CH,electricity,scr2093,dem,2.8870385543401267
h0093,CH,electricity,scr2093,dem,3.024680767717598
h0094,CH,electricity,scr2093,dem,2.9976982973329367
h0095,CH,electricity,scr2093,dem,3.1414538585746836
h0096,CH,electricity,scr2093,dem,3.045694964391625
h0001,DE,electricity,scr2093,dem,95.46904539812495
h0002,DE,electricity,scr2093,dem,138.27239866832232
h0003,DE,electricity,scr2093,dem,125.86144440405414
h0004,DE,electricity,scr2093,dem,145.19819355455905
h0005,DE,electricity,scr2093,dem,128.50265351893478
h0006,DE,electricity,scr2093,dem,147.00270535281345
h0007,DE,electricity,scr2093,dem,165.6460246964705
h0008,DE,electricity,scr2093,dem,183.24128899448425
h0009,DE,electricity,scr2093,dem,171.9353376584083
