timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0022,CH,electricity,scr2094,dem,16.106546626079187
h0023,CH,electricity,scr2094,dem,18.280897561483403
h0024,CH,electricity,scr2094,dem,21.572086272428052
h0025,CH,electricity,scr2094,dem,18.991562082254312
h0026,CH,electricity,scr2094,dem,14.939059857683658
h0027,CH,electricity,scr2094,dem,14.451638470530522
h0028,CH,electricity,scr2094,dem,16.779311118784232
h0029,CH,electricity,scr2094,dem,18.56259208108631
h0030,CH,electricity,scr2094,dem,12.979603971679127
h0031,CH,electricity,scr2094,dem,13.964186087990301
h0032,CH,electricity,scr2094,dem,15.781126522799385
h0033,CH,electricity,scr2094,dem,19.524477082489575
h0034,CH,electricity,scr2094,dem,16.406306095690603
h0035,CH,electricity,scr2094,dem,11.268957999160053
h0036,CH,electricity,scr2094,dem,7.096684765903992
h0037,CH,electricity,scr2094,dem,4.09226199410543
h0038,CH,electricity,scr2094,dem,5.107652882531864
h0039,CH,electricity,scr2094,dem,5.515762826491777
h0040,CH,electricity,scr2094,dem,5.479929891613995
h0041,CH,electricity,scr2094,dem,3.5504727955794824
h0042,CH,electricity,scr2094,dem,3.2992578412164284
h0043,CH,electricity,scr2094,dem,3.062471376701081
h0044,CH,electricity,scr2094,dem,3.3452629608503264
h0045,CH,electricity,scr2094,dem,3.245788928272224
h0046,CH,electricity,scr2094,dem,3.2720815550857774
h0047,CH,electricity,scr2094,dem,3.0659149333508533
h0048,CH,electricity,scr2094,dem,2.874777345771026
h0049,CH,electricity,scr2094,dem,2.8253199702421505
h0050,CH,electricity,scr2094,dem,2.8149060827457233
h0051,CH,electricity,scr2094,dem,2.993178177316899
h0052,CH,electricity,scr2094,dem,3.0302799658182713
h0053,CH,electricity,scr2094,dem,3.0911249233229663
h0054,CH,electricity,scr2094,dem,2.9865409804873075
h0055,CH,electricity,scr2094,dem,2.965136573058015
h0056,CH,electricity,scr2094,dem,3.088257864007838
h0057,CH,electricity,scr2094,dem,2.9957628573036788
h0058,CH,electricity,scr2094,dem,3.2472979921108673
h0059,CH,electricity,scr2094,dem,3.080690979317369
h0060,CH,electricity,scr2094,dem,3.545886435292339
h0061,CH,electricity,scr2094,dem,3.5283686026281016
h0062,CH,electricity,scr2094,dem,3.819250222514576
h0063,CH,electricity,scr2094,dem,3.789441894963944
h0064,CH,electricity,scr2094,dem,3.505295542682587
h0065,CH,electricity,scr2094,dem,3.4398098564124826
h0066,CH,electricity,scr2094,dem,3.080097035302021
h0067,CH,electricity,scr2094,dem,3.2010443553154553
h0068,CH,electricity,scr2094,dem,2.9726450779499496
h0069,CH,electricity,scr2094,dem,2.9336538732878124
h0070,CH,electricity,scr2094,dem,2.8005712162917358
h0071,CH,electricity,scr2094,dem,2.6959024639975575
h0072,CH,electricity,scr2094,dem,2.6822972071195985
h0073,CH,electricity,scr2094,dem,2.638772611623856
h0074,CH,electricity,scr2094,dem,2.774224384775395
h0075,CH,electricity,scr2094,dem,2.88030250103143
h0076,CH,electricity,scr2094,dem,2.915615013235894
h0077,CH,electricity,scr2094,dem,2.8591792209871953
h0078,CH,electricity,scr2094,dem,2.7811360018628677
h0079,CH,electricity,scr2094,dem,2.8622563339694835
h0080,CH,electricity,scr2094,dem,2.7814240715772076
h0081,CH,electricity,scr2094,dem,3.1054916118039744
h0082,CH,electricity,scr2094,dem,3.0552082397406384
h0083,CH,electricity,scr2094,dem,3.4694884962644923
h0084,CH,electricity,scr2094,dem,3.573998642611972
h0085,CH,electricity,scr2094,dem,4.038604645697098
h0086,CH,electricity,scr2094,dem,4.142515502674179
h0087,CH,electricity,scr2094,dem,3.7718795540854466
h0088,CH,electricity,scr2094,dem,3.576166450306606
h0089,CH,electricity,scr2094,dem,3.2216531821203196
h0090,CH,electricity,scr2094,dem,3.3902472073393124
h0091,CH,electricity,scr2094,dem,3.2891539302431587
h0092,CH,electricity,scr2094,dem,3.4631739696214585
h0093,CH,electricity,scr2094,dem,3.4407615419420234
h0094,CH,electricity,scr2094,dem,3.2810136596211663
h0095,CH,electricity,scr2094,dem,3.2470980354810988
h0096,CH,electricity,scr2094,dem,3.125257144031048
h0001,DE,electricity,scr2094,dem,193.87969209511087
h0002,DE,electricity,scr2094,dem,204.8804097748877
h0003,DE,electricity,scr2094,dem,189.76714553403687
h0004,DE,electricity,scr2094,dem,177.67062019626604
h0005,DE,electricity,scr2094,dem,159.81332723549258
h0006,DE,electricity,scr2094,dem,151.94153845285217
h0007,DE,electricity,scr2094,dem,172.61565523733404
h0008,DE,electricity,scr2094,dem,181.683503225292
h0009,DE,electricity,scr2094,dem,204.1962706489118
h0010,DE,electricity,scr2094,dem,189.46916560020392
h0011,DE,electricity,scr2094,dem,196.62348208961208
h0012,DE,electricity,scr2094,dem,213.26470810947282
h0013,DE,electricity,scr2094,dem,227.82645271885707
h0014,DE,electricity,scr2094,dem,222.70389721880062
h0015,DE,electricity,scr2094,dem,197.25948948581464
h0016,DE,electricity,scr2094,dem,177.70689426556262
h0017,DE,electricity,scr2094,dem,161.8633179263849
h0018,DE,electricity,scr2094,dem,150.10517964304927
h0019,DE,electricity,scr2094,dem,135.97390308888953
h0020,DE,electricity,scr2094,dem,126.16685739095135
h0021,DE,electricity,scr2094,dem,116.65678915972947
h0022,DE,electricity,scr2094,dem,129.47153587792397
h0023,DE,electricity,scr2094,dem,143.16905011952065
h0024,DE,electricity,scr2094,dem,155.59305376926773
h0025,DE,electricity,scr2094,dem,131.26504764402887
h0026,DE,electricity,scr2094,dem,110.1168006588187
h0027,DE,electricity,scr2094,dem,92.37610689780817
h0028,DE,electricity,scr2094,dem,108.15735478196856
h0029,DE,electricity,scr2094,dem,110.34785452626673
h0030,DE,electricity,scr2094,dem,95.07528830523188
h0031,DE,electricity,scr2094,dem,95.60834879574702
h0032,DE,electricity,scr2094,dem,106.49317660550588
h0033,DE,electricity,scr2094,dem,121.57199236823686
h0034,DE,electricity,scr2094,dem,103.88307927914167
h0035,DE,electricity,scr2094,dem,82.7031064965806
h0036,DE,electricity,scr2094,dem,68.65741945151697
h0037,DE,electricity,scr2094,dem,64.47160569620587
h0038,DE,electricity,scr2094,dem,74.98499717963591
h0039,DE,electricity,scr2094,dem,78.90915272826194
h0040,DE,electricity,scr2094,dem,76.26437686816251
h0041,DE,electricity,scr2094,dem,52.2859638962073
h0042,DE,electricity,scr2094,dem,51.31351006767651
h0043,DE,electricity,scr2094,dem,46.03186462487188
h0044,DE,electricity,scr2094,dem,55.5637735475772
h0045,DE,electricity,scr2094,dem,53.165968905161755
h0046,DE,electricity,scr2094,dem,55.95240142397805
h0047,DE,electricity,scr2094,dem,49.682323392678356
h0048,DE,electricity,scr2094,dem,44.25415180874724
h0049,DE,electricity,scr2094,dem,39.49431896074401
h0050,DE,electricity,scr2094,dem,35.33345977341451
h0051,DE,electricity,scr2094,dem,35.05379445429518
h0052,DE,electricity,scr2094,dem,32.73193462904364
h0053,DE,electricity,scr2094,dem,35.63633789694036
h0054,DE,electricity,scr2094,dem,35.277659276284595
h0055,DE,electricity,scr2094,dem,39.84369432609419
