timestep_2,region_4,technology_2,technology_3,parameter,value
all,47CH,onshore,onshore_a,capaConvUp,0.328584392
all,47CH,onshore,onshore_b,capaConvUp,0.841125132
all,47CH,onshore,onshore_c,capaConvUp,0.184651752
all,47CH,openspace_a,,capaConvUp,9.494729106
all,47CH,openspace_b,,capaConvUp,0.81853629
all,47CH,openspace_c,,capaConvUp,16.9442268
all,47CH,rooftopInd_a,,capaConvUp,2.13198245
all,47CH,rooftopInd_b,,capaConvUp,5.087975919
all,47CH,rooftopResi_a,,capaConvUp,5.481459802
all,47CH,rooftopResi_b,,capaConvUp,2.29686152
all,48CH,onshore,onshore_a,capaConvUp,0.652298523
all,48CH,onshore,onshore_b,capaConvUp,0.083663934
all,48CH,onshore,onshore_c,capaConvUp,0.130974489
all,48CH,openspace_a,,capaConvUp,1.750159986
all,48CH,openspace_b,,capaConvUp,0.582895561
all,48CH,openspace_c,,capaConvUp,0.880705829
all,48CH,rooftopInd_a,,capaConvUp,1.030932673
all,48CH,rooftopInd_b,,capaConvUp,0.331044342
all,48CH,rooftopResi_a,,capaConvUp,0.356645999
all,48CH,rooftopResi_b,,capaConvUp,1.110660919
