timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0022,CH,electricity,scr2008,dem,34.36049009794816
h0023,CH,electricity,scr2008,dem,28.332611475287514
h0024,CH,electricity,scr2008,dem,23.326829481696812
h0025,CH,electricity,scr2008,dem,20.216929079867853
h0026,CH,electricity,scr2008,dem,20.69222800816598
h0027,CH,electricity,scr2008,dem,21.057473262668488
h0028,CH,electricity,scr2008,dem,23.10967804025905
h0029,CH,electricity,scr2008,dem,21.729023138737627
h0030,CH,electricity,scr2008,dem,22.440733966226503
h0031,CH,electricity,scr2008,dem,22.540888213142967
h0032,CH,electricity,scr2008,dem,19.020113086902626
h0033,CH,electricity,scr2008,dem,14.025415926440704
h0034,CH,electricity,scr2008,dem,9.05977417003566
h0035,CH,electricity,scr2008,dem,9.191382241150917
h0036,CH,electricity,scr2008,dem,8.169674036694138
h0037,CH,electricity,scr2008,dem,7.0925138637250775
h0038,CH,electricity,scr2008,dem,8.935984304198868
h0039,CH,electricity,scr2008,dem,11.710971986991769
h0040,CH,electricity,scr2008,dem,15.657202979644826
h0041,CH,electricity,scr2008,dem,15.928777357407917
h0042,CH,electricity,scr2008,dem,13.087748632943867
h0043,CH,electricity,scr2008,dem,8.301197681515726
h0044,CH,electricity,scr2008,dem,4.228462765345893
h0045,CH,electricity,scr2008,dem,4.269990633665534
h0046,CH,electricity,scr2008,dem,3.3907434703908246
h0047,CH,electricity,scr2008,dem,3.3773269003384625
h0048,CH,electricity,scr2008,dem,3.6006594973257835
h0049,CH,electricity,scr2008,dem,3.9989673105352184
h0050,CH,electricity,scr2008,dem,4.349070695947887
h0051,CH,electricity,scr2008,dem,3.9168739611718655
h0052,CH,electricity,scr2008,dem,3.7296626104515376
h0053,CH,electricity,scr2008,dem,3.6010218547606154
h0054,CH,electricity,scr2008,dem,3.5051217138024944
h0055,CH,electricity,scr2008,dem,3.2966733629399263
h0056,CH,electricity,scr2008,dem,3.267312167449643
h0057,CH,electricity,scr2008,dem,3.9301556477490402
h0058,CH,electricity,scr2008,dem,4.317403442321695
h0059,CH,electricity,scr2008,dem,4.496391547815209
h0060,CH,electricity,scr2008,dem,3.7901233388652047
h0061,CH,electricity,scr2008,dem,4.112727029485026
h0062,CH,electricity,scr2008,dem,3.8209733745980463
h0063,CH,electricity,scr2008,dem,4.1680641424715805
h0064,CH,electricity,scr2008,dem,3.816993592598303
h0065,CH,electricity,scr2008,dem,3.9471804908987167
h0066,CH,electricity,scr2008,dem,3.759916752960536
h0067,CH,electricity,scr2008,dem,3.285984977995154
h0068,CH,electricity,scr2008,dem,3.0144246846525213
h0069,CH,electricity,scr2008,dem,2.627820887913841
h0070,CH,electricity,scr2008,dem,2.7426911659183295
h0071,CH,electricity,scr2008,dem,2.6653292235121535
h0072,CH,electricity,scr2008,dem,2.642093239729715
h0073,CH,electricity,scr2008,dem,2.624498210109846
h0074,CH,electricity,scr2008,dem,2.641304393431107
h0075,CH,electricity,scr2008,dem,2.867670659456744
h0076,CH,electricity,scr2008,dem,2.904205143230139
h0077,CH,electricity,scr2008,dem,2.89691282006502
