timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0001,AT,electricity,scr2003,dem,29.342144451159903
h0002,AT,electricity,scr2003,dem,27.87175699065765
h0003,AT,electricity,scr2003,dem,25.50939994406761
h0004,AT,electricity,scr2003,dem,22.640008723100582
h0005,AT,electricity,scr2003,dem,25.581580447015902
h0006,AT,electricity,scr2003,dem,35.415320183009655
h0007,AT,electricity,scr2003,dem,40.47573022989769
h0008,AT,electricity,scr2003,dem,41.483350810498195
h0009,AT,electricity,scr2003,dem,41.150483695034424
h0010,AT,electricity,scr2003,dem,42.43965956641387
h0011,AT,electricity,scr2003,dem,42.7540436706747
h0012,AT,electricity,scr2003,dem,40.354326215949584
h0013,AT,electricity,scr2003,dem,37.443432066166416
h0014,AT,electricity,scr2003,dem,36.76987487044148
h0015,AT,electricity,scr2003,dem,36.959499058478265
h0016,AT,electricity,scr2003,dem,35.96924270986232
h0017,AT,electricity,scr2003,dem,36.055239086396725
h0018,AT,electricity,scr2003,dem,39.85261315684983
h0019,AT,electricity,scr2003,dem,42.83660332784921
h0020,AT,electricity,scr2003,dem,40.312857612887946
h0021,AT,electricity,scr2003,dem,33.12577581605643
h0022,AT,electricity,scr2003,dem,32.831096570758504
h0023,AT,electricity,scr2003,dem,29.390205414774513
h0024,AT,electricity,scr2003,dem,30.75379540948125
h0025,AT,electricity,scr2003,dem,31.26046842576312
h0026,AT,electricity,scr2003,dem,31.525436152037116
h0027,AT,electricity,scr2003,dem,25.89549193334717
h0028,AT,electricity,scr2003,dem,21.015247619838696
h0029,AT,electricity,scr2003,dem,20.69032736671527
h0030,AT,electricity,scr2003,dem,18.34068494825043
h0031,AT,electricity,scr2003,dem,15.648199487202048
h0032,AT,electricity,scr2003,dem,11.727030599371176
h0033,AT,electricity,scr2003,dem,11.625132330683892
h0034,AT,electricity,scr2003,dem,11.441399413710629
h0035,AT,electricity,scr2003,dem,12.547067945464354
h0036,AT,electricity,scr2003,dem,12.044096637100655
h0037,AT,electricity,scr2003,dem,10.728298039322018
h0038,AT,electricity,scr2003,dem,9.188616995226845
h0039,AT,electricity,scr2003,dem,7.155657280223684
h0040,AT,electricity,scr2003,dem,6.998633663585251
h0041,AT,electricity,scr2003,dem,6.8419619144268236
h0042,AT,electricity,scr2003,dem,7.385085581492147
h0043,AT,electricity,scr2003,dem,7.316071158019179
h0044,AT,electricity,scr2003,dem,6.797682351728639
h0045,AT,electricity,scr2003,dem,6.614271084673977
h0046,AT,electricity,scr2003,dem,6.012277946429224
h0047,AT,electricity,scr2003,dem,6.659829174208902
h0048,AT,electricity,scr2003,dem,7.626492855784148
h0049,AT,electricity,scr2003,dem,7.8141615358234
