timestep_6,region_1,technology_1,scenario_1,parameter,value
h0024,CH,solar,scr1998,avaConv,0.0
h0025,CH,solar,scr1998,avaConv,0.0
h0026,CH,solar,scr1998,avaConv,0.0
h0027,CH,solar,scr1998,avaConv,0.0
h0028,CH,solar,scr1998,avaConv,0.0
h0029,CH,solar,scr1998,avaConv,0.0
h0030,CH,solar,scr1998,avaConv,0.0
h0031,CH,solar,scr1998,avaConv,0.002940325816466321
h0032,CH,solar,scr1998,avaConv,0.015387846559206289
h0033,CH,solar,scr1998,avaConv,0.04052649335397009
h0034,CH,solar,scr1998,avaConv,0.1622036149201018
h0035,CH,solar,scr1998,avaConv,0.17876463925596095
h0036,CH,solar,scr1998,avaConv,0.4935093540113376
h0037,CH,solar,scr1998,avaConv,0.6610160963107057
h0038,CH,solar,scr1998,avaConv,0.8794467164495602
h0039,CH,solar,scr1998,avaConv,0.4353894725808983
h0040,CH,solar,scr1998,avaConv,0.1419228792613491
h0041,CH,solar,scr1998,avaConv,0.03064929197919532
h0042,CH,solar,scr1998,avaConv,0.011919828371844436
h0043,CH,solar,scr1998,avaConv,0.0011882928896404827
h0044,CH,solar,scr1998,avaConv,0.00011983393339230273
h0045,CH,solar,scr1998,avaConv,0.0
h0046,CH,solar,scr1998,avaConv,0.0
h0047,CH,solar,scr1998,avaConv,0.0
h0048,CH,solar,scr1998,avaConv,0.0
h0049,CH,solar,scr1998,avaConv,0.0
h0050,CH,solar,scr1998,avaConv,0.0
h0051,CH,solar,scr1998,avaConv,0.0
h0052,CH,solar,scr1998,avaConv,0.0
h0053,CH,solar,scr1998,avaConv,0.0016969721868761037
h0054,CH,solar,scr1998,avaConv,0.004936872193744506
h0055,CH,solar,scr1998,avaConv,0.0492172194496078
h0056,CH,solar,scr1998,avaConv,0.12800024169235874
h0057,CH,solar,scr1998,avaConv,0.25488834584528147
h0058,CH,solar,scr1998,avaConv,0.3489475728544116
h0059,CH,solar,scr1998,avaConv,0.36150841983725224
h0060,CH,solar,scr1998,avaConv,0.4937324054904969
h0061,CH,solar,scr1998,avaConv,0.5727198003842304
h0062,CH,solar,scr1998,avaConv,0.4922999873613261
h0063,CH,solar,scr1998,avaConv,0.4038936396409966
h0064,CH,solar,scr1998,avaConv,0.22846356781841837
h0065,CH,solar,scr1998,avaConv,0.1673558811901161
h0066,CH,solar,scr1998,avaConv,0.039037774490038306
h0067,CH,solar,scr1998,avaConv,0.0067285697342928386
h0068,CH,solar,scr1998,avaConv,0.0006386727371434399
h0069,CH,solar,scr1998,avaConv,0.0004894909389377071
h0070,CH,solar,scr1998,avaConv,0.0
h0071,CH,solar,scr1998,avaConv,0.0
h0072,CH,solar,scr1998,avaConv,0.0
h0073,CH,solar,scr1998,avaConv,0.0
h0074,CH,solar,scr1998,avaConv,0.0
h0075,CH,solar,scr1998,avaConv,0.0
h0076,CH,solar,scr1998,avaConv,0.0
h0077,CH,solar,scr1998,avaConv,0.0
h0078,CH,solar,scr1998,avaConv,0.0010462715771016136
h0079,CH,solar,scr1998,avaConv,0.03217916368912938
h0080,CH,solar,scr1998,avaConv,0.1443611952507335
h0081,CH,solar,scr1998,avaConv,0.37349913087063236
h0082,CH,solar,scr1998,avaConv,0.484225512222537
h0083,CH,solar,scr1998,avaConv,0.5222204646588984
h0084,CH,solar,scr1998,avaConv,0.533148632849263
h0085,CH,solar,scr1998,avaConv,0.6823577388061929
h0086,CH,solar,scr1998,avaConv,0.8216777886399794
h0087,CH,solar,scr1998,avaConv,0.7444737790462402
h0088,CH,solar,scr1998,avaConv,0.5514528296537348
h0089,CH,solar,scr1998,avaConv,0.23329539714522035
h0090,CH,solar,scr1998,avaConv,0.06775311404837372
h0091,CH,solar,scr1998,avaConv,0.002551622879489351
h0092,CH,solar,scr1998,avaConv,0.0
h0093,CH,solar,scr1998,avaConv,0.0
h0094,CH,solar,scr1998,avaConv,0.0
h0095,CH,solar,scr1998,avaConv,0.0
h0096,CH,solar,scr1998,avaConv,0.0
h0001,DE,solar,scr1998,avaConv,0.0
h0002,DE,solar,scr1998,avaConv,0.0
h0003,DE,solar,scr1998,avaConv,0.0
h0004,DE,solar,scr1998,avaConv,0.0
h0005,DE,solar,scr1998,avaConv,0.0
h0006,DE,solar,scr1998,avaConv,0.0
h0007,DE,solar,scr1998,avaConv,0.0
