timestep_6,region_1,technology_1,scenario_1,parameter,value
h0001,AT,wind,scr2013,avaConv,0.264825413937342
h0002,AT,wind,scr2013,avaConv,0.625005805248328
h0003,AT,wind,scr2013,avaConv,0.5494874000587864
h0004,AT,wind,scr2013,avaConv,0.47001004674449
h0005,AT,wind,scr2013,avaConv,0.2861310703963642
h0006,AT,wind,scr2013,avaConv,0.19961045650166553
h0007,AT,wind,scr2013,avaConv,0.20031247166943583
h0008,AT,wind,scr2013,avaConv,0.18134232358849015
h0009,AT,wind,scr2013,avaConv,0.22409011700006298
h0010,AT,wind,scr2013,avaConv,0.16978875919617362
h0011,AT,wind,scr2013,avaConv,0.22765534754499003
h0012,AT,wind,scr2013,avaConv,0.39493972383118703
h0013,AT,wind,scr2013,avaConv,0.9405025128457356
h0014,AT,wind,scr2013,avaConv,0.7534318676497254
h0015,AT,wind,scr2013,avaConv,0.8255414521869365
h0016,AT,wind,scr2013,avaConv,0.6386336736383851
h0017,AT,wind,scr2013,avaConv,0.6695221534395487
h0018,AT,wind,scr2013,avaConv,0.5427358421234679
h0019,AT,wind,scr2013,avaConv,0.254614784369579
h0020,AT,wind,scr2013,avaConv,0.2461903894749964
h0021,AT,wind,scr2013,avaConv,0.2392304528665599
h0022,AT,wind,scr2013,avaConv,0.3804441881444958
h0023,AT,wind,scr2013,avaConv,0.3377238327993571
h0024,AT,wind,scr2013,avaConv,0.2908307695838083
h0025,AT,wind,scr2013,avaConv,0.445708328286401
h0026,AT,wind,scr2013,avaConv,0.42466229887295526
h0027,AT,wind,scr2013,avaConv,0.2649236808197325
h0028,AT,wind,scr2013,avaConv,0.0895129329980328
h0029,AT,wind,scr2013,avaConv,0.06999175205502771
h0030,AT,wind,scr2013,avaConv,0.05509104121706915
h0031,AT,wind,scr2013,avaConv,0.30612325091165105
h0032,AT,wind,scr2013,avaConv,0.31686831584302944
h0033,AT,wind,scr2013,avaConv,0.45086359178916063
h0034,AT,wind,scr2013,avaConv,0.22147245743485944
h0035,AT,wind,scr2013,avaConv,0.40356517220645366
h0036,AT,wind,scr2013,avaConv,0.3825529045732107
h0037,AT,wind,scr2013,avaConv,0.2293427654516265
h0038,AT,wind,scr2013,avaConv,0.07320047416169799
h0039,AT,wind,scr2013,avaConv,0.007081137696485501
h0040,AT,wind,scr2013,avaConv,0.03341699982182209
h0041,AT,wind,scr2013,avaConv,0.25869261311449926
h0042,AT,wind,scr2013,avaConv,0.28723917675663097
h0043,AT,wind,scr2013,avaConv,0.25652559045632006
h0044,AT,wind,scr2013,avaConv,0.07987484440885978
h0045,AT,wind,scr2013,avaConv,0.06805238479391786
h0046,AT,wind,scr2013,avaConv,0.09973405953120679
h0047,AT,wind,scr2013,avaConv,0.2475349359286579
h0048,AT,wind,scr2013,avaConv,0.3225276647669892
h0049,AT,wind,scr2013,avaConv,0.22862849394817894
h0050,AT,wind,scr2013,avaConv,0.04716482497933559
h0051,AT,wind,scr2013,avaConv,0.18059376588055634
h0052,AT,wind,scr2013,avaConv,0.24293003960353407
h0053,AT,wind,scr2013,avaConv,0.22592649148487748
h0054,AT,wind,scr2013,avaConv,0.031770471919083346
h0055,AT,wind,scr2013,avaConv,0.0
h0056,AT,wind,scr2013,avaConv,0.004571088463239061
h0057,AT,wind,scr2013,avaConv,0.026421469231214703
h0058,AT,wind,scr2013,avaConv,0.026292089386159706
h0059,AT,wind,scr2013,avaConv,0.01770640354309066
h0060,AT,wind,scr2013,avaConv,0.04254625217172132
h0061,AT,wind,scr2013,avaConv,0.12571460288863714
h0062,AT,wind,scr2013,avaConv,0.15468213024734906
h0063,AT,wind,scr2013,avaConv,0.11290881071043556
h0064,AT,wind,scr2013,avaConv,0.14146186419875778
h0065,AT,wind,scr2013,avaConv,0.2511728086237545
h0066,AT,wind,scr2013,avaConv,0.20520051725665706
h0067,AT,wind,scr2013,avaConv,0.0810703569320444
h0068,AT,wind,scr2013,avaConv,0.009752749223921206
h0069,AT,wind,scr2013,avaConv,0.058049984779718594
h0070,AT,wind,scr2013,avaConv,0.07243331954737317
h0071,AT,wind,scr2013,avaConv,0.0853972357678648
h0072,AT,wind,scr2013,avaConv,0.036005684283549604
h0073,AT,wind,scr2013,avaConv,0.06203448870093134
h0074,AT,wind,scr2013,avaConv,0.037783871095686934
h0075,AT,wind,scr2013,avaConv,0.14325229104225604
h0076,AT,wind,scr2013,avaConv,0.09529054288651577
h0077,AT,wind,scr2013,avaConv,0.1859398873390109
h0078,AT,wind,scr2013,avaConv,0.06027228168308224
h0079,AT,wind,scr2013,avaConv,0.0564408371883865
h0080,AT,wind,scr2013,avaConv,0.019404602843528226
h0081,AT,wind,scr2013,avaConv,0.0314961957366473
h0082,AT,wind,scr2013,avaConv,0.03632097939942391
h0083,AT,wind,scr2013,avaConv,0.01798819289720606
h0084,AT,wind,scr2013,avaConv,0.012694087593229745
h0085,AT,wind,scr2013,avaConv,0.009371095660428416
h0086,AT,wind,scr2013,avaConv,0.09072984558865839
h0087,AT,wind,scr2013,avaConv,0.1092199657266456
h0088,AT,wind,scr2013,avaConv,0.16014747442670407
h0089,AT,wind,scr2013,avaConv,0.05483632854852386
h0090,AT,wind,scr2013,avaConv,0.051091651375648514
h0091,AT,wind,scr2013,avaConv,0.01712846894225547
h0092,AT,wind,scr2013,avaConv,0.08530145699939279
h0093,AT,wind,scr2013,avaConv,0.12032311519221779
h0094,AT,wind,scr2013,avaConv,0.29227158574866785
h0095,AT,wind,scr2013,avaConv,0.18004793274960387
h0096,AT,wind,scr2013,avaConv,0.3621891434073359
h0001,CH,wind,scr2013,avaConv,0.45787109071996074
h0002,CH,wind,scr2013,avaConv,0.18972910692104736
h0003,CH,wind,scr2013,avaConv,0.14507838959729102
h0004,CH,wind,scr2013,avaConv,0.024354558949861754
h0005,CH,wind,scr2013,avaConv,0.2022470177508878
h0006,CH,wind,scr2013,avaConv,0.16538958786012953
h0007,CH,wind,scr2013,avaConv,0.2801983796236615
h0008,CH,wind,scr2013,avaConv,0.11817177147888562
h0009,CH,wind,scr2013,avaConv,0.25241978196112597
h0010,CH,wind,scr2013,avaConv,0.20311917647956046
h0011,CH,wind,scr2013,avaConv,0.5061682643570362
h0012,CH,wind,scr2013,avaConv,0.5301653324801356
h0013,CH,wind,scr2013,avaConv,0.8812994810910271
h0014,CH,wind,scr2013,avaConv,0.7516848730790228
h0015,CH,wind,scr2013,avaConv,0.9049868518084361
h0016,CH,wind,scr2013,avaConv,0.4888972922213296
h0017,CH,wind,scr2013,avaConv,0.2191292837207565
h0018,CH,wind,scr2013,avaConv,0.04069760738102263
h0019,CH,wind,scr2013,avaConv,0.08893944161335113
h0020,CH,wind,scr2013,avaConv,0.16799854915293178
h0021,CH,wind,scr2013,avaConv,0.4207363993359103
h0022,CH,wind,scr2013,avaConv,0.33617961210246233
h0023,CH,wind,scr2013,avaConv,0.32139504932322377
h0024,CH,wind,scr2013,avaConv,0.06406322498988916
h0025,CH,wind,scr2013,avaConv,0.049211829113419744
h0026,CH,wind,scr2013,avaConv,0.05610971828672209
h0027,CH,wind,scr2013,avaConv,0.04914057801310946
h0028,CH,wind,scr2013,avaConv,0.05704476046386364
h0029,CH,wind,scr2013,avaConv,0.011979437104221951
h0030,CH,wind,scr2013,avaConv,0.0129876509357193
h0031,CH,wind,scr2013,avaConv,0.009198913198410118
h0032,CH,wind,scr2013,avaConv,0.002584666520330515
h0033,CH,wind,scr2013,avaConv,0.10892549035542011
h0034,CH,wind,scr2013,avaConv,0.10503902414164593
h0035,CH,wind,scr2013,avaConv,0.1566855322402695
h0036,CH,wind,scr2013,avaConv,0.024037169917894775
h0037,CH,wind,scr2013,avaConv,0.08337033816868963
h0038,CH,wind,scr2013,avaConv,0.03944856070582149
h0039,CH,wind,scr2013,avaConv,0.03935646627303331
h0040,CH,wind,scr2013,avaConv,0.06530215704488965
h0041,CH,wind,scr2013,avaConv,0.18792858922449493
h0042,CH,wind,scr2013,avaConv,0.19008567146439218
h0043,CH,wind,scr2013,avaConv,0.1060639587865651
h0044,CH,wind,scr2013,avaConv,0.025201228302260553
h0045,CH,wind,scr2013,avaConv,0.02724275163078829
h0046,CH,wind,scr2013,avaConv,0.049457045556745835
h0047,CH,wind,scr2013,avaConv,0.06592987785293272
h0048,CH,wind,scr2013,avaConv,0.0673181646609854
h0049,CH,wind,scr2013,avaConv,0.03553187562658244
h0050,CH,wind,scr2013,avaConv,0.012586079743140124
h0051,CH,wind,scr2013,avaConv,0.09080636150065993
h0052,CH,wind,scr2013,avaConv,0.08996456672574107
h0053,CH,wind,scr2013,avaConv,0.08583712691516525
h0054,CH,wind,scr2013,avaConv,0.007143110943613295
h0055,CH,wind,scr2013,avaConv,0.0003810130193364493
h0056,CH,wind,scr2013,avaConv,0.0
h0057,CH,wind,scr2013,avaConv,0.00011184375135143253
h0058,CH,wind,scr2013,avaConv,0.00011184375135143253
h0059,CH,wind,scr2013,avaConv,0.00862280801470054
h0060,CH,wind,scr2013,avaConv,0.04464851986116123
h0061,CH,wind,scr2013,avaConv,0.04464851986116123
h0062,CH,wind,scr2013,avaConv,0.056234356116635055
h0063,CH,wind,scr2013,avaConv,0.02005893664105666
h0064,CH,wind,scr2013,avaConv,0.02855367653610033
h0065,CH,wind,scr2013,avaConv,0.00652398020505199
h0066,CH,wind,scr2013,avaConv,0.014673542615953626
h0067,CH,wind,scr2013,avaConv,0.00805314483871751
h0068,CH,wind,scr2013,avaConv,0.007993707871453481
h0069,CH,wind,scr2013,avaConv,0.005386792283319603
h0070,CH,wind,scr2013,avaConv,0.005293486572848336
h0071,CH,wind,scr2013,avaConv,0.005355995789233248
h0072,CH,wind,scr2013,avaConv,0.0004719207186254322
h0073,CH,wind,scr2013,avaConv,0.0011272048749819362
h0074,CH,wind,scr2013,avaConv,0.0010422959403096712
h0075,CH,wind,scr2013,avaConv,0.009437436386270042
h0076,CH,wind,scr2013,avaConv,0.009226721766121538
h0077,CH,wind,scr2013,avaConv,0.017197867416077855
h0078,CH,wind,scr2013,avaConv,0.004805307936687268
h0079,CH,wind,scr2013,avaConv,0.003882486782126501
h0080,CH,wind,scr2013,avaConv,0.0007212329264014631
h0081,CH,wind,scr2013,avaConv,0.0007741494477004403
h0082,CH,wind,scr2013,avaConv,0.019770908556008247
h0083,CH,wind,scr2013,avaConv,0.02513081881938411
h0084,CH,wind,scr2013,avaConv,0.0444845982435237
h0085,CH,wind,scr2013,avaConv,0.01631770217317381
h0086,CH,wind,scr2013,avaConv,0.026845772756469592
h0087,CH,wind,scr2013,avaConv,0.010692652812546688
h0088,CH,wind,scr2013,avaConv,0.01068530308979286
h0089,CH,wind,scr2013,avaConv,0.0
h0090,CH,wind,scr2013,avaConv,0.00032566660900819447
h0091,CH,wind,scr2013,avaConv,0.0003085176705153162
h0092,CH,wind,scr2013,avaConv,0.00045335825392198105
h0093,CH,wind,scr2013,avaConv,0.008241811114878934
h0094,CH,wind,scr2013,avaConv,0.023176397232864146
h0095,CH,wind,scr2013,avaConv,0.07736368905520132
h0096,CH,wind,scr2013,avaConv,0.19514691872715348
h0001,DE,wind,scr2013,avaConv,0.9707611217302085
h0002,DE,wind,scr2013,avaConv,0.9036915878423059
h0003,DE,wind,scr2013,avaConv,0.712532388367492
h0004,DE,wind,scr2013,avaConv,0.6131467206559335
h0005,DE,wind,scr2013,avaConv,0.6562583946674757
h0006,DE,wind,scr2013,avaConv,0.7790686839860922
h0007,DE,wind,scr2013,avaConv,0.7344552411040289
h0008,DE,wind,scr2013,avaConv,0.678149885922063
h0009,DE,wind,scr2013,avaConv,0.6042387020225585
h0010,DE,wind,scr2013,avaConv,0.5313950288503013
h0011,DE,wind,scr2013,avaConv,0.4370961223574169
h0012,DE,wind,scr2013,avaConv,0.5764851584623338
h0013,DE,wind,scr2013,avaConv,0.5440192405528693
h0014,DE,wind,scr2013,avaConv,0.471895988119593
