timestep_3,timestep_5,region_4,technology_3,parameter,value
d001,h0001,01ES,bevPsngRoadPrvt,avaConv,0.312259448727931
d001,h0002,01ES,bevPsngRoadPrvt,avaConv,0.313346634351906
d001,h0003,01ES,bevPsngRoadPrvt,avaConv,0.342427291303117
d001,h0004,01ES,bevPsngRoadPrvt,avaConv,0.38749016002733
d001,h0005,01ES,bevPsngRoadPrvt,avaConv,0.434399695591001
d001,h0006,01ES,bevPsngRoadPrvt,avaConv,0.450178066690421
d001,h0007,01ES,bevPsngRoadPrvt,avaConv,0.445350403201219
d001,h0008,01ES,bevPsngRoadPrvt,avaConv,0.43554349224563
d001,h0009,01ES,bevPsngRoadPrvt,avaConv,0.427236984901691
d001,h0010,01ES,bevPsngRoadPrvt,avaConv,0.417869848517007
d001,h0011,01ES,bevPsngRoadPrvt,avaConv,0.39952138145799
d001,h0012,01ES,bevPsngRoadPrvt,avaConv,0.377062950311281
d001,h0013,01ES,bevPsngRoadPrvt,avaConv,0.34541322443055
d001,h0014,01ES,bevPsngRoadPrvt,avaConv,0.306655007374644
d001,h0015,01ES,bevPsngRoadPrvt,avaConv,0.257680167731785
d001,h0016,01ES,bevPsngRoadPrvt,avaConv,0.206910805320364
d001,h0017,01ES,bevPsngRoadPrvt,avaConv,0.164106135784313
d001,h0018,01ES,bevPsngRoadPrvt,avaConv,0.158404565325049
d001,h0019,01ES,bevPsngRoadPrvt,avaConv,0.193528785022242
d001,h0020,01ES,bevPsngRoadPrvt,avaConv,0.24810525876653
d001,h0021,01ES,bevPsngRoadPrvt,avaConv,0.28952784543754
d001,h0022,01ES,bevPsngRoadPrvt,avaConv,0.279131119022253
d001,h0023,01ES,bevPsngRoadPrvt,avaConv,0.219190011569812
d001,h0024,01ES,bevPsngRoadPrvt,avaConv,0.113314102748926
d002,h0025,01ES,bevPsngRoadPrvt,avaConv,0.119940396439487
d002,h0026,01ES,bevPsngRoadPrvt,avaConv,0.240230638561804
d002,h0027,01ES,bevPsngRoadPrvt,avaConv,0.342609653831853
d002,h0028,01ES,bevPsngRoadPrvt,avaConv,0.411170161047799
d002,h0029,01ES,bevPsngRoadPrvt,avaConv,0.442126321993069
d002,h0030,01ES,bevPsngRoadPrvt,avaConv,0.456072841999994
d002,h0031,01ES,bevPsngRoadPrvt,avaConv,0.431722588142771
d002,h0032,01ES,bevPsngRoadPrvt,avaConv,0.39988622784152
d002,h0033,01ES,bevPsngRoadPrvt,avaConv,0.377328363178009
d002,h0034,01ES,bevPsngRoadPrvt,avaConv,0.392129391700684
d002,h0035,01ES,bevPsngRoadPrvt,avaConv,0.388126070772473
d002,h0036,01ES,bevPsngRoadPrvt,avaConv,0.367899170768005
