timestep_3,timestep_5,region_4,technology_3,parameter,value
d001,h0001,01ES,bevPsngRoadPub,avaConv,0.373024161462165
d001,h0002,01ES,bevPsngRoadPub,avaConv,0.374322909961163
d001,h0003,01ES,bevPsngRoadPub,avaConv,0.409062571682357
d001,h0004,01ES,bevPsngRoadPub,avaConv,0.462894533908293
d001,h0005,01ES,bevPsngRoadPub,avaConv,0.518932518744927
d001,h0006,01ES,bevPsngRoadPub,avaConv,0.537781311593306
d001,h0007,01ES,bevPsngRoadPub,avaConv,0.532014199813081
d001,h0008,01ES,bevPsngRoadPub,avaConv,0.520298894251235
d001,h0009,01ES,bevPsngRoadPub,avaConv,0.510375966643122
d001,h0010,01ES,bevPsngRoadPub,avaConv,0.499186014743714
d001,h0011,01ES,bevPsngRoadPub,avaConv,0.477266993391578
d001,h0012,01ES,bevPsngRoadPub,avaConv,0.450438221604088
d001,h0013,01ES,bevPsngRoadPub,avaConv,0.412629558046883
d001,h0014,01ES,bevPsngRoadPub,avaConv,0.366329113347833
d001,h0015,01ES,bevPsngRoadPub,avaConv,0.307823922946582
d001,h0016,01ES,bevPsngRoadPub,avaConv,0.247175000724067
d001,h0017,01ES,bevPsngRoadPub,avaConv,0.19604067581509
d001,h0018,01ES,bevPsngRoadPub,avaConv,0.189229598035031
d001,h0019,01ES,bevPsngRoadPub,avaConv,0.231188881721774
d001,h0020,01ES,bevPsngRoadPub,avaConv,0.296385766759818
d001,h0021,01ES,bevPsngRoadPub,avaConv,0.34586905908777
d001,h0022,01ES,bevPsngRoadPub,avaConv,0.333449162250168
d001,h0023,01ES,bevPsngRoadPub,avaConv,0.26184370258445
d001,h0024,01ES,bevPsngRoadPub,avaConv,0.135364673874186
d002,h0025,01ES,bevPsngRoadPub,avaConv,0.143280423627976
d002,h0026,01ES,bevPsngRoadPub,avaConv,0.286978769963219
d002,h0027,01ES,bevPsngRoadPub,avaConv,0.409280421482637
d002,h0028,01ES,bevPsngRoadPub,avaConv,0.491182589164982
d002,h0029,01ES,bevPsngRoadPub,avaConv,0.528162722633801
d002,h0030,01ES,bevPsngRoadPub,avaConv,0.544823192000004
d002,h0031,01ES,bevPsngRoadPub,avaConv,0.515734454522566
d002,h0032,01ES,bevPsngRoadPub,avaConv,0.477702837782152
d002,h0033,01ES,bevPsngRoadPub,avaConv,0.450755282769294
d002,h0034,01ES,bevPsngRoadPub,avaConv,0.468436545704825
d002,h0035,01ES,bevPsngRoadPub,avaConv,0.463654190978037
d002,h0036,01ES,bevPsngRoadPub,avaConv,0.439491199579746
d002,h0037,01ES,bevPsngRoadPub,avaConv,0.408859782702605
d002,h0038,01ES,bevPsngRoadPub,avaConv,0.395462322907921
