timestep_3,timestep_5,region_4,technology_3,parameter,value
d001,h0001,01ES,bevFrtRoadLight,avaConv,0.193482958947985
d001,h0002,01ES,bevFrtRoadLight,avaConv,0.194156603273524
d001,h0003,01ES,bevFrtRoadLight,avaConv,0.212175630128992
d001,h0004,01ES,bevFrtRoadLight,avaConv,0.240097593969673
d001,h0005,01ES,bevFrtRoadLight,avaConv,0.269163794262245
d001,h0006,01ES,bevFrtRoadLight,avaConv,0.278940427076058
d001,h0007,01ES,bevFrtRoadLight,avaConv,0.275949098622067
d001,h0008,01ES,bevFrtRoadLight,avaConv,0.26987251646792
d001,h0009,01ES,bevFrtRoadLight,avaConv,0.264725618043859
d001,h0010,01ES,bevFrtRoadLight,avaConv,0.258921530028686
d001,h0011,01ES,bevFrtRoadLight,avaConv,0.247552408534958
d001,h0012,01ES,bevFrtRoadLight,avaConv,0.233636660839336
d001,h0013,01ES,bevFrtRoadLight,avaConv,0.214025780839488
d001,h0014,01ES,bevFrtRoadLight,avaConv,0.190010320097599
d001,h0015,01ES,bevFrtRoadLight,avaConv,0.159664411017807
d001,h0016,01ES,bevFrtRoadLight,avaConv,0.128206575438826
d001,h0017,01ES,bevFrtRoadLight,avaConv,0.101683841899468
d001,h0018,01ES,bevFrtRoadLight,avaConv,0.098151021195474
d001,h0019,01ES,bevFrtRoadLight,avaConv,0.119914775781811
d001,h0020,01ES,bevFrtRoadLight,avaConv,0.15373158339398
d001,h0021,01ES,bevFrtRoadLight,avaConv,0.179397947289998
d001,h0022,01ES,bevFrtRoadLight,avaConv,0.172955902648376
d001,h0023,01ES,bevFrtRoadLight,avaConv,0.135815048314875
d001,h0024,01ES,bevFrtRoadLight,avaConv,0.0702119612932885
d002,h0025,01ES,bevFrtRoadLight,avaConv,0.074317761212919
d002,h0026,01ES,bevFrtRoadLight,avaConv,0.148852292156891
d002,h0027,01ES,bevFrtRoadLight,avaConv,0.212288626227378
d002,h0028,01ES,bevFrtRoadLight,avaConv,0.254770253907487
d002,h0029,01ES,bevFrtRoadLight,avaConv,0.2739513855167
d002,h0030,01ES,bevFrtRoadLight,avaConv,0.282592961999997
d002,h0031,01ES,bevFrtRoadLight,avaConv,0.267504998483858
d002,h0032,01ES,bevFrtRoadLight,avaConv,0.247778475454882
d002,h0033,01ES,bevFrtRoadLight,avaConv,0.233801116590667
d002,h0034,01ES,bevFrtRoadLight,avaConv,0.242972165950761
d002,h0035,01ES,bevFrtRoadLight,avaConv,0.240491618788774
d002,h0036,01ES,bevFrtRoadLight,avaConv,0.22795857782073
d002,h0037,01ES,bevFrtRoadLight,avaConv,0.212070445840433
d002,h0038,01ES,bevFrtRoadLight,avaConv,0.205121351102366
d002,h0039,01ES,bevFrtRoadLight,avaConv,0.19653113714515
d002,h0040,01ES,bevFrtRoadLight,avaConv,0.185802070783881
d002,h0041,01ES,bevFrtRoadLight,avaConv,0.175137025134562
d002,h0042,01ES,bevFrtRoadLight,avaConv,0.161732115958312
d002,h0043,01ES,bevFrtRoadLight,avaConv,0.153258445259057
d002,h0044,01ES,bevFrtRoadLight,avaConv,0.158001965509633
d002,h0045,01ES,bevFrtRoadLight,avaConv,0.179365306437085
d002,h0046,01ES,bevFrtRoadLight,avaConv,0.201732639825581
d002,h0047,01ES,bevFrtRoadLight,avaConv,0.207991830152998
d002,h0048,01ES,bevFrtRoadLight,avaConv,0.202477766632805
d003,h0049,01ES,bevFrtRoadLight,avaConv,0.204335512683316
d003,h0050,01ES,bevFrtRoadLight,avaConv,0.213109556113503
d003,h0051,01ES,bevFrtRoadLight,avaConv,0.22538804053897
d003,h0052,01ES,bevFrtRoadLight,avaConv,0.224578534046775
d003,h0053,01ES,bevFrtRoadLight,avaConv,0.188123976094937
d003,h0054,01ES,bevFrtRoadLight,avaConv,0.164979135373058
d003,h0055,01ES,bevFrtRoadLight,avaConv,0.166590813863444
d003,h0056,01ES,bevFrtRoadLight,avaConv,0.206802365991567
d003,h0057,01ES,bevFrtRoadLight,avaConv,0.226757873168657
d003,h0058,01ES,bevFrtRoadLight,avaConv,0.212709387708589
d003,h0059,01ES,bevFrtRoadLight,avaConv,0.19646812463616
d003,h0060,01ES,bevFrtRoadLight,avaConv,0.175363051220028
d003,h0061,01ES,bevFrtRoadLight,avaConv,0.162905289694288
d003,h0062,01ES,bevFrtRoadLight,avaConv,0.151408361530513
d003,h0063,01ES,bevFrtRoadLight,avaConv,0.132455925789649
d003,h0064,01ES,bevFrtRoadLight,avaConv,0.111661199904828
d003,h0065,01ES,bevFrtRoadLight,avaConv,0.0692805498370048
d003,h0066,01ES,bevFrtRoadLight,avaConv,0.0562332378897068
d003,h0067,01ES,bevFrtRoadLight,avaConv,0.100875215207971
d003,h0068,01ES,bevFrtRoadLight,avaConv,0.148418223127952
d003,h0069,01ES,bevFrtRoadLight,avaConv,0.192508694058825
d003,h0070,01ES,bevFrtRoadLight,avaConv,0.218578920959052
d003,h0071,01ES,bevFrtRoadLight,avaConv,0.236088575301726
d003,h0072,01ES,bevFrtRoadLight,avaConv,0.240720313739329
d004,h0073,01ES,bevFrtRoadLight,avaConv,0.234239866239413
d004,h0074,01ES,bevFrtRoadLight,avaConv,0.231149373721688
d004,h0075,01ES,bevFrtRoadLight,avaConv,0.240410688266731
