region_2,technology_3,parameter,value
DE,bevPsngRoadPrvt,desFac,0.733623031
DE,bevPsngRoadPub,desFac,0.33647216
DE,bevFrtRoadLight,desFac,0.082224401
DE,bevFrtRoadHeavy,desFac,1.8511951
DE,ottoPsngRoadPrvt,costExpConv,12247.24873
DE,cngPsngRoadPrvt,costExpConv,11872.52758
DE,fcevPsngRoadPrvt,costExpConv,28255.98197
DE,dieselPsngRoadPub,costExpConv,20733.36471
DE,fcPsngRoadPub,costExpConv,28366.22339
DE,dieselFrtRoadLight,costExpConv,8567.055399
DE,fcFrtRoadLight,costExpConv,19871.51798
DE,dieselFrtRoadHeavy,costExpConv,1926.308599
DE,fcFrtRoadHeavy,costExpConv,4503.142952
DE,oberFrtRoadHeavy,costExpConv,3318.230381
DE,fcPsngRail,costExpConv,1457.341641
DE,dieselPsngRail,costExpConv,1276.918297
DE,ePsngRail,costExpConv,3436.800161
DE,fcFrtRail,costExpConv,2489.883545
DE,dieselFrtRail,costExpConv,2181.809742
DE,eFrtRail,costExpConv,4808.565302
