technology_3,region_4,mode,parameter,value
impH2Ship,,,costOprConv,503.7
impH2Ship,,base,effConv,1
impH2Ship,,base,costVarGen,0
impH2Ship,,flex,effConv,1.05
impH2Ship,,flex,costVarGen,2.619047619
impH2Pipe,,,costOprConv,729.708
impH2Pipe,,base,effConv,1
impH2Pipe,,base,costVarGen,0
impH2Pipe,,flex,effConv,1.05
impH2Pipe,,flex,costVarGen,4.363333333
impMethane,,,costOprConv,910.164
impMethane,,base,effConv,1
impMethane,,base,costVarGen,0
impMethane,,flex,effConv,1.05
impMethane,,flex,costVarGen,5.442380952
impMethanol,,,costOprConv,935.568
impMethanol,,base,effConv,1
impMethanol,,base,costVarGen,0
impMethanol,,flex,effConv,1.05
impMethanol,,flex,costVarGen,5.594285714
impGas,,,costOprConv,135.0214687
impGas,,base,effConv,1
impGas,,base,costVarGen,0
impGas,,flex,effConv,1.05
impGas,,flex,costVarGen,0.807369078
impOil,,,costOprConv,185.6166983
impOil,,base,effConv,1
impOil,,base,costVarGen,0
impOil,,flex,effConv,1.05
impOil,,flex,costVarGen,1.109906328
