timestep_superordinate_expansion,timestep_superordinate_dispatch,region_from,region_to,carrier,exchange,scenario,directed,variable,value,objName
none,30th < 2040,Benelux < BE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.399997995041013,inter_all_total32_ext8_highFlex
none,30th < 2040,DE_ < DE,Scan < DK,none,powerGrid < hvdc,none,no,expExc,1.0999976590235314,inter_all_total32_ext8_highFlex
none,30th < 2040,DE_ < DE,Scan < NO,none,powerGrid < hvdc,none,no,expExc,2.999979010507664,inter_all_total32_ext8_highFlex
none,30th < 2040,DE_ < DE,Scan < SE,none,powerGrid < hvdc,none,no,expExc,2.899999265313368,inter_all_total32_ext8_highFlex
none,30th < 2040,DE_ < DE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,2.0009005393403627,inter_all_total32_ext8_highFlex
none,30th < 2040,East < PL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,4.101048133537685,inter_all_total32_ext8_highFlex
none,30th < 2040,Benelux < NL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,2.9840567761436954,inter_all_total32_ext8_highFlex
none,30th < 2040,Scan < DK,Scan < NO,none,powerGrid < hvdc,none,no,expExc,4.999996600240164,inter_all_total32_ext8_highFlex
none,30th < 2040,Scan < DK,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.499997519411351,inter_all_total32_ext8_highFlex
none,30th < 2040,Balt < EE,Scan < FI,none,powerGrid < hvdc,none,no,expExc,4.997499667177326,inter_all_total32_ext8_highFlex
none,30th < 2040,Scan < FI,Scan < SE,none,powerGrid < hvdc,none,no,expExc,1.800318968642355,inter_all_total32_ext8_highFlex
none,30th < 2040,FR_ < FR,UkPlus < IE,none,powerGrid < hvdc,none,no,expExc,1.3999993411954923,inter_all_total32_ext8_highFlex
none,30th < 2040,FR_ < FR,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,6.199999122009549,inter_all_total32_ext8_highFlex
none,30th < 2040,IT_ < IT,SouthEast < GR,none,powerGrid < hvdc,none,no,expExc,0.9985706336688148,inter_all_total32_ext8_highFlex
none,30th < 2040,IT_ < IT,SouthEast < ME,none,powerGrid < hvdc,none,no,expExc,1.5999970035476792,inter_all_total32_ext8_highFlex
none,30th < 2040,Balt < LT,Scan < SE,none,powerGrid < hvdc,none,no,expExc,1.8067445357539027,inter_all_total32_ext8_highFlex
none,30th < 2040,Benelux < NL,Scan < NO,none,powerGrid < hvdc,none,no,expExc,9.997354467495109,inter_all_total32_ext8_highFlex
none,30th < 2040,Benelux < NL,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.999998844448445,inter_all_total32_ext8_highFlex
none,30th < 2040,Scan < NO,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.99999784165147,inter_all_total32_ext8_highFlex
none,30th < 2040,East < PL,Scan < SE,none,powerGrid < hvdc,none,no,expExc,2.9988570867183646,inter_all_total32_ext8_highFlex
none,30th < 2040,Balt < EE,Balt < LV,none,h2Grid,none,yes,expExc,0.0009659978553256974,inter_all_total32_ext8_highFlex
