timestep_superordinate_dispatch,region,region_from,region_to,technology,exchange,carrier,variable,value,objName
none,Balt < EE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.25155745006843855,inter_all_total32_ext8_highFlex
none,Balt < LT,none,none,battery < lithiumBattery,none,none,costOprStSize,0.2725502729297851,inter_all_total32_ext8_highFlex
none,Balt < LV,none,none,battery < lithiumBattery,none,none,costOprStSize,0.27194962560866526,inter_all_total32_ext8_highFlex
none,Benelux < BE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.3449387252193215,inter_all_total32_ext8_highFlex
none,Benelux < LU,none,none,battery < lithiumBattery,none,none,costOprStSize,0.2927791137769449,inter_all_total32_ext8_highFlex
none,Benelux < NL,none,none,battery < lithiumBattery,none,none,costOprStSize,0.3014077447752901,inter_all_total32_ext8_highFlex
none,CH_ < CH,none,none,battery < lithiumBattery,none,none,costOprStSize,0.395141927319488,inter_all_total32_ext8_highFlex
none,DE_ < DE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.2944438294072212,inter_all_total32_ext8_highFlex
none,East < AT,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4028417306218777,inter_all_total32_ext8_highFlex
none,East < CZ,none,none,battery < lithiumBattery,none,none,costOprStSize,0.3920810124939218,inter_all_total32_ext8_highFlex
none,East < HR,none,none,battery < lithiumBattery,none,none,costOprStSize,0.45435289744537755,inter_all_total32_ext8_highFlex
none,East < HU,none,none,battery < lithiumBattery,none,none,costOprStSize,0.5215438237225357,inter_all_total32_ext8_highFlex
none,East < PL,none,none,battery < lithiumBattery,none,none,costOprStSize,0.33212044847785205,inter_all_total32_ext8_highFlex
none,East < SI,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4589444352901004,inter_all_total32_ext8_highFlex
none,East < SK,none,none,battery < lithiumBattery,none,none,costOprStSize,0.44633533289702215,inter_all_total32_ext8_highFlex
none,FR_ < FR,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4940553391690632,inter_all_total32_ext8_highFlex
none,IT_ < IT,none,none,battery < lithiumBattery,none,none,costOprStSize,0.5587961365184066,inter_all_total32_ext8_highFlex
none,Iberia < ES,none,none,battery < lithiumBattery,none,none,costOprStSize,0.7463639910090383,inter_all_total32_ext8_highFlex
none,Iberia < PT,none,none,battery < lithiumBattery,none,none,costOprStSize,0.5716193586969138,inter_all_total32_ext8_highFlex
none,Scan < DK,none,none,battery < lithiumBattery,none,none,costOprStSize,0.2783007185543895,inter_all_total32_ext8_highFlex
none,Scan < FI,none,none,battery < lithiumBattery,none,none,costOprStSize,0.17793474911558887,inter_all_total32_ext8_highFlex
none,Scan < NO,none,none,battery < lithiumBattery,none,none,costOprStSize,0.16212929701129197,inter_all_total32_ext8_highFlex
none,Scan < SE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.1632431222615492,inter_all_total32_ext8_highFlex
none,SouthEast < AL,none,none,battery < lithiumBattery,none,none,costOprStSize,0.39140348520659113,inter_all_total32_ext8_highFlex
none,SouthEast < BA,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4030412062649185,inter_all_total32_ext8_highFlex
none,SouthEast < BG,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4403871695426794,inter_all_total32_ext8_highFlex
none,SouthEast < GR,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4250170030362696,inter_all_total32_ext8_highFlex
none,SouthEast < ME,none,none,battery < lithiumBattery,none,none,costOprStSize,0.3986763973177058,inter_all_total32_ext8_highFlex
none,SouthEast < MK,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4036085477387613,inter_all_total32_ext8_highFlex
none,SouthEast < RO,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4087561257847381,inter_all_total32_ext8_highFlex
none,SouthEast < RS,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4038819470759714,inter_all_total32_ext8_highFlex
none,UkPlus < IE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.3959252507995147,inter_all_total32_ext8_highFlex
none,UkPlus < UK,none,none,battery < lithiumBattery,none,none,costOprStSize,0.3213914590799465,inter_all_total32_ext8_highFlex
none,Balt < EE,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07556951709138676,inter_all_total32_ext8_highFlex
none,Balt < LT,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07026223877891986,inter_all_total32_ext8_highFlex
none,Balt < LV,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07556059483612113,inter_all_total32_ext8_highFlex
none,Benelux < BE,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06983208772110712,inter_all_total32_ext8_highFlex
none,Benelux < LU,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07359561309083033,inter_all_total32_ext8_highFlex
none,Benelux < NL,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06962048710355866,inter_all_total32_ext8_highFlex
none,CH_ < CH,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06991063095983935,inter_all_total32_ext8_highFlex
none,DE_ < DE,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06971123353594975,inter_all_total32_ext8_highFlex
none,East < AT,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06997496510743176,inter_all_total32_ext8_highFlex
none,East < CZ,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07002759108808004,inter_all_total32_ext8_highFlex
none,East < HR,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07026192468186405,inter_all_total32_ext8_highFlex
none,East < HU,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07031271528623653,inter_all_total32_ext8_highFlex
none,East < PL,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07003006021514233,inter_all_total32_ext8_highFlex
none,East < SI,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07516473090484994,inter_all_total32_ext8_highFlex
none,East < SK,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.0703122291259422,inter_all_total32_ext8_highFlex
none,FR_ < FR,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06981314850693889,inter_all_total32_ext8_highFlex
none,IT_ < IT,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06973182838018031,inter_all_total32_ext8_highFlex
none,Iberia < ES,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06961701364948593,inter_all_total32_ext8_highFlex
none,Iberia < PT,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06984668434300326,inter_all_total32_ext8_highFlex
none,Scan < DK,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06998620780012454,inter_all_total32_ext8_highFlex
none,Scan < FI,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07033963369377329,inter_all_total32_ext8_highFlex
none,Scan < NO,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07023990039417789,inter_all_total32_ext8_highFlex
none,Scan < SE,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.0702820843760054,inter_all_total32_ext8_highFlex
none,SouthEast < AL,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.0699590291907475,inter_all_total32_ext8_highFlex
none,SouthEast < BA,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06996317614736564,inter_all_total32_ext8_highFlex
none,SouthEast < BG,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07373194185702293,inter_all_total32_ext8_highFlex
none,SouthEast < GR,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06975603815808037,inter_all_total32_ext8_highFlex
none,SouthEast < ME,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.0742570228670134,inter_all_total32_ext8_highFlex
none,SouthEast < MK,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06998392103724435,inter_all_total32_ext8_highFlex
none,SouthEast < RO,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07549195941435204,inter_all_total32_ext8_highFlex
none,SouthEast < RS,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.07028173331365703,inter_all_total32_ext8_highFlex
none,UkPlus < IE,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06981393096164784,inter_all_total32_ext8_highFlex
none,UkPlus < UK,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.06966074705803273,inter_all_total32_ext8_highFlex
none,Balt < EE,none,none,networkHeat < largeWaterTank,none,none,costOprStSize,0.07128689034374183,inter_all_total32_ext8_highFlex
none,Balt < LT,none,none,networkHeat < largeWaterTank,none,none,costOprStSize,0.1517077378545655,inter_all_total32_ext8_highFlex
none,Balt < LV,none,none,networkHeat < largeWaterTank,none,none,costOprStSize,0.17806924069916064,inter_all_total32_ext8_highFlex
none,Benelux < BE,none,none,networkHeat < largeWaterTank,none,none,costOprStSize,0.057524370649153465,inter_all_total32_ext8_highFlex
none,Benelux < LU,none,none,networkHeat < largeWaterTank,none,none,costOprStSize,0.1255219232527678,inter_all_total32_ext8_highFlex
