technology_1,technology_2,technology_3,timestep_2,parameter_1,value_1,parameter_2,value_2,source
solar,openspace_a,pvOpenspace_a,2020,costExpConv,637.69,costOprConv,15.94,"Fraunhofer (2018), Stromgestehungskosten Erneuerbare Energien"
solar,openspace_a,pvOpenspace_a,2025,costExpConv,525.17,costOprConv,13.13,
solar,openspace_a,pvOpenspace_a,2030,costExpConv,455.1,costOprConv,11.38,
solar,openspace_a,pvOpenspace_a,2035,costExpConv,406.97,costOprConv,10.17,
solar,openspace_a,pvOpenspace_a,2040,costExpConv,357.98,costOprConv,8.95,
solar,openspace_a,pvOpenspace_a,2045,costExpConv,329.65,costOprConv,8.24,
solar,openspace_a,pvOpenspace_a,2050,costExpConv,316.77,costOprConv,7.92,
solar,openspace_b,pvOpenspace_b,2020,costExpConv,637.69,costOprConv,15.94,
solar,openspace_b,pvOpenspace_b,2025,costExpConv,525.17,costOprConv,13.13,
solar,openspace_b,pvOpenspace_b,2030,costExpConv,455.1,costOprConv,11.38,
solar,openspace_b,pvOpenspace_b,2035,costExpConv,406.97,costOprConv,10.17,
solar,openspace_b,pvOpenspace_b,2040,costExpConv,357.98,costOprConv,8.95,
solar,openspace_b,pvOpenspace_b,2045,costExpConv,329.65,costOprConv,8.24,
solar,openspace_b,pvOpenspace_b,2050,costExpConv,316.77,costOprConv,7.92,
solar,openspace_c,pvOpenspace_c,2020,costExpConv,637.69,costOprConv,15.94,
solar,openspace_c,pvOpenspace_c,2025,costExpConv,525.17,costOprConv,13.13,
solar,openspace_c,pvOpenspace_c,2030,costExpConv,455.1,costOprConv,11.38,
solar,openspace_c,pvOpenspace_c,2035,costExpConv,406.97,costOprConv,10.17,
solar,openspace_c,pvOpenspace_c,2040,costExpConv,357.98,costOprConv,8.95,
solar,openspace_c,pvOpenspace_c,2045,costExpConv,329.65,costOprConv,8.24,
solar,openspace_c,pvOpenspace_c,2050,costExpConv,316.77,costOprConv,7.92,
solar,openspace_a,cspOpenspace_a,2020,costExpConv,2781.96,costOprConv,69.55,
solar,openspace_a,cspOpenspace_a,2025,costExpConv,2394.68,costOprConv,59.87,
solar,openspace_a,cspOpenspace_a,2030,costExpConv,2250.59,costOprConv,56.26,
solar,openspace_a,cspOpenspace_a,2035,costExpConv,2162.86,costOprConv,54.07,
solar,openspace_a,cspOpenspace_a,2040,costExpConv,2070.12,costOprConv,51.75,
solar,openspace_a,cspOpenspace_a,2045,costExpConv,2006.02,costOprConv,50.15,
solar,openspace_a,cspOpenspace_a,2050,costExpConv,1974.25,costOprConv,49.36,
solar,openspace_b,cspOpenspace_b,2020,costExpConv,2781.96,costOprConv,69.55,
solar,openspace_b,cspOpenspace_b,2025,costExpConv,2394.68,costOprConv,59.87,
solar,openspace_b,cspOpenspace_b,2030,costExpConv,2250.59,costOprConv,56.26,
solar,openspace_b,cspOpenspace_b,2035,costExpConv,2162.86,costOprConv,54.07,
solar,openspace_b,cspOpenspace_b,2040,costExpConv,2070.12,costOprConv,51.75,
solar,openspace_b,cspOpenspace_b,2045,costExpConv,2006.02,costOprConv,50.15,
solar,openspace_b,cspOpenspace_b,2050,costExpConv,1974.25,costOprConv,49.36,
solar,openspace_c,cspOpenspace_c,2020,costExpConv,2781.96,costOprConv,69.55,
solar,openspace_c,cspOpenspace_c,2025,costExpConv,2394.68,costOprConv,59.87,
solar,openspace_c,cspOpenspace_c,2030,costExpConv,2250.59,costOprConv,56.26,
