timestep_1,region_1,region_2,region_3,technology_1,technology_2,technology_3,id_1,parameter,value
30th,EU,AT,at,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,BE,be,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,BG,bg,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,CZ,cz,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,DE,de,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,DK,dk_e,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,DK,dk_w,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,EE,ee,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,ES,es,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,FI,fi,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,FR,fr,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,FR,fr_co,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,GR,gr,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,HR,hr,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,HU,hu,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,IE,ie,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,IT,it_cn,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,IT,it_cs,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,IT,it_n,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,IT,it_s,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,IT,it_sar,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,IT,it_sic,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,LT,lt,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,LU,lu,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,LV,lv,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,NL,nl,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,PL,pl,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,PT,pt,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,RO,ro,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,SE,se_1,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,SE,se_2,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,SE,se_3,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,SE,se_4,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,SI,si,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,EU,SK,sk,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,nonEU,AL,al,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,nonEU,BA,ba,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,nonEU,CH,ch,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,nonEU,ME,me,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,nonEU,MK,mk,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,nonEU,NO,no_m,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,nonEU,NO,no_n,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,nonEU,NO,no_s,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,nonEU,RS,rs,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,nonEU,UK,ni,battery,,lithiumBattery,1,expStSizeFix,0.0
30th,nonEU,UK,uk,battery,,lithiumBattery,1,expStSizeFix,0.0
