timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,AT,at,49AT,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,AT,at,50AT,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,AT,at,51AT,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,BE,be,28BE,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,BG,bg,66BG,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,EE,ee,73EE,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,FR,fr_co,99FR,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,GR,gr,68GR,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,GR,gr,69GR,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,IT,it_cn,53IT,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,IT,it_cs,54IT,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,IT,it_n,52IT,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,IT,it_s,55IT,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,IT,it_sar,98IT,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,IT,it_sic,56IT,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,NL,nl,30NL,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,RO,ro,59RO,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,RO,ro,60RO,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,RO,ro,61RO,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,EU,SI,si,57SI,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,nonEU,AL,al,70AL,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,nonEU,BA,ba,63BA,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,nonEU,CH,ch,47CH,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,nonEU,CH,ch,48CH,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,nonEU,MK,mk,67MK,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
30th,2040,nonEU,NO,no_n,85NO,miscProHeat,electricHeatPro,eBoilerProLow,expConvFix,0.0
