timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,EU,AT,at,49AT,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,AT,at,50AT,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,AT,at,51AT,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,BE,be,28BE,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,CZ,cz,39CZ,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,CZ,cz,40CZ,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,DE,de,31DE,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,DE,de,32DE,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,DE,de,33DE,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,DE,de,34DE,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,DE,de,35DE,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,DE,de,36DE,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,DE,de,37DE,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,DK,dk_e,72DK,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,DK,dk_w,38DK,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,EE,ee,73EE,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,ES,es,01ES,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,ES,es,02ES,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,ES,es,03ES,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,ES,es,04ES,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,ES,es,05ES,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,ES,es,06ES,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,ES,es,07ES,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,ES,es,08ES,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,ES,es,09ES,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,ES,es,10ES,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,ES,es,11ES,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FI,fi,74FI,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FI,fi,75FI,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,14FR,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,15FR,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,16FR,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,17FR,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,18FR,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,19FR,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,20FR,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,21FR,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,22FR,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,23FR,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,24FR,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,25FR,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,26FR,bioConversion,,biogasUpgrading,expConvFix,0.0
30th,EU,FR,fr,27FR,bioConversion,,biogasUpgrading,expConvFix,0.0
