timestep_1,region_1,region_2,region_3,region_1,region_2,region_3,exchange_1,exchange_2,id_1,parameter,value
30th,nonEU,AL,al,nonEU,MK,mk,powerGrid,hvac,1,expExcFix,0.0
30th,nonEU,AL,al,nonEU,MK,mk,powerGrid,hvac,2,expExcFix,0.0
30th,nonEU,AL,al,nonEU,RS,rs,powerGrid,hvac,1,expExcFix,0.0
30th,EU,AT,at,nonEU,CH,ch,powerGrid,hvac,1,expExcFix,0.0
30th,EU,AT,at,nonEU,CH,ch,powerGrid,hvac,2,expExcFix,0.0
30th,EU,AT,at,nonEU,CH,ch,powerGrid,hvac,6,expExcFix,0.2
30th,EU,AT,at,EU,DE,de,powerGrid,hvac,1,expExcFix,0.0
30th,EU,AT,at,EU,DE,de,powerGrid,hvac,2,expExcFix,0.0
30th,EU,AT,at,EU,IT,it_n,powerGrid,hvac,2,expExcFix,0.5
30th,EU,AT,at,EU,SI,si,powerGrid,hvac,1,expExcFix,0.0
30th,EU,AT,at,EU,SI,si,powerGrid,hvac,2,expExcFix,0.0
30th,EU,HR,hr,nonEU,BA,ba,powerGrid,hvac,1,expExcFix,0.0
30th,nonEU,BA,ba,nonEU,ME,me,powerGrid,hvac,1,expExcFix,0.0
30th,nonEU,BA,ba,nonEU,ME,me,powerGrid,hvac,2,expExcFix,0.0
30th,nonEU,BA,ba,nonEU,ME,me,powerGrid,hvac,3,expExcFix,0.0
30th,nonEU,BA,ba,nonEU,RS,rs,powerGrid,hvac,1,expExcFix,0.0
30th,EU,BE,be,EU,DE,de,powerGrid,hvac,1,expExcFix,0.0
30th,EU,BE,be,EU,DE,de,powerGrid,hvac,2,expExcFix,0.0
30th,EU,BE,be,EU,NL,nl,powerGrid,hvac,1,expExcFix,0.0
30th,EU,BE,be,EU,NL,nl,powerGrid,hvac,2,expExcFix,0.0
30th,EU,BE,be,EU,NL,nl,powerGrid,hvac,3,expExcFix,0.0
30th,EU,BG,bg,nonEU,MK,mk,powerGrid,hvac,1,expExcFix,0.0
30th,EU,BG,bg,EU,RO,ro,powerGrid,hvac,1,expExcFix,0.0
30th,EU,BG,bg,EU,RO,ro,powerGrid,hvac,2,expExcFix,0.0
30th,EU,BG,bg,EU,RO,ro,powerGrid,hvac,3,expExcFix,0.0
30th,EU,BG,bg,nonEU,RS,rs,powerGrid,hvac,1,expExcFix,0.0
30th,EU,BG,bg,nonEU,RS,rs,powerGrid,hvac,2,expExcFix,0.0
30th,EU,DE,de,nonEU,CH,ch,powerGrid,hvac,1,expExcFix,0.0
30th,EU,DE,de,nonEU,CH,ch,powerGrid,hvac,2,expExcFix,0.0
30th,EU,DE,de,nonEU,CH,ch,powerGrid,hvac,5,expExcFix,1.0
30th,EU,FR,fr,nonEU,CH,ch,powerGrid,hvac,1,expExcFix,0.0
30th,EU,CZ,cz,EU,DE,de,powerGrid,hvac,1,expExcFix,0.0
30th,EU,CZ,cz,EU,DE,de,powerGrid,hvac,2,expExcFix,0.0
30th,EU,CZ,cz,EU,DE,de,powerGrid,hvac,3,expExcFix,0.0
30th,EU,CZ,cz,EU,DE,de,powerGrid,hvac,4,expExcFix,0.0
30th,EU,CZ,cz,EU,PL,pl,powerGrid,hvac,1,expExcFix,0.0
30th,EU,CZ,cz,EU,PL,pl,powerGrid,hvac,2,expExcFix,0.0
30th,EU,CZ,cz,EU,SK,sk,powerGrid,hvac,1,expExcFix,0.0
30th,EU,DE,de,EU,DK,dk_w,powerGrid,hvac,1,expExcFix,0.0
30th,EU,DE,de,EU,DK,dk_w,powerGrid,hvac,2,expExcFix,0.0
30th,EU,DE,de,EU,FR,fr,powerGrid,hvac,5,expExcFix,1.5
30th,EU,DE,de,EU,LU,lu,powerGrid,hvac,1,expExcFix,0.0
30th,EU,DE,de,EU,LU,lu,powerGrid,hvac,2,expExcFix,0.0
30th,EU,DE,de,EU,NL,nl,powerGrid,hvac,1,expExcFix,0.0
30th,EU,DE,de,EU,NL,nl,powerGrid,hvac,2,expExcFix,0.0
30th,EU,DE,de,EU,NL,nl,powerGrid,hvac,3,expExcFix,0.0
30th,EU,DE,de,EU,NL,nl,powerGrid,hvac,5,expExcFix,1.0
30th,EU,DE,de,EU,PL,pl,powerGrid,hvac,1,expExcFix,0.0
30th,EU,DK,dk_e,EU,SE,se_4,powerGrid,hvac,1,expExcFix,0.0
30th,EU,DK,dk_e,EU,SE,se_4,powerGrid,hvac,3,expExcFix,0.0
30th,EU,EE,ee,EU,LV,lv,powerGrid,hvac,1,expExcFix,0.0
30th,EU,ES,es,EU,PT,pt,powerGrid,hvac,1,expExcFix,0.0
30th,EU,ES,es,EU,PT,pt,powerGrid,hvac,2,expExcFix,0.0
30th,EU,ES,es,EU,PT,pt,powerGrid,hvac,3,expExcFix,0.0
30th,EU,ES,es,EU,PT,pt,powerGrid,hvac,4,expExcFix,0.0
30th,EU,ES,es,EU,PT,pt,powerGrid,hvac,5,expExcFix,0.0
30th,EU,ES,es,EU,PT,pt,powerGrid,hvac,6,expExcFix,0.0
30th,EU,ES,es,EU,PT,pt,powerGrid,hvac,7,expExcFix,0.0
30th,EU,ES,es,EU,PT,pt,powerGrid,hvac,8,expExcFix,0.0
30th,EU,FI,fi,nonEU,NO,no_n,powerGrid,hvac,1,expExcFix,0.0
30th,EU,FI,fi,nonEU,NO,no_n,powerGrid,hvac,2,expExcFix,0.0
30th,EU,FI,fi,nonEU,NO,no_n,powerGrid,hvac,3,expExcFix,0.0
30th,EU,FI,fi,nonEU,NO,no_n,powerGrid,hvac,4,expExcFix,0.0
30th,EU,GR,gr,nonEU,MK,mk,powerGrid,hvac,1,expExcFix,0.0
30th,EU,HU,hu,EU,SI,si,powerGrid,hvac,1,expExcFix,0.0
30th,EU,HU,hu,EU,SI,si,powerGrid,hvac,2,expExcFix,0.0
30th,EU,HU,hu,EU,SI,si,powerGrid,hvac,3,expExcFix,0.0
30th,EU,HU,hu,EU,SI,si,powerGrid,hvac,4,expExcFix,0.0
30th,EU,HU,hu,EU,SK,sk,powerGrid,hvac,1,expExcFix,0.0
30th,EU,IT,it_cs,EU,IT,it_s,powerGrid,hvac,1,expExcFix,0.0
30th,EU,LT,lt,EU,LV,lv,powerGrid,hvac,3,expExcFix,0.0
30th,EU,LT,lt,EU,LV,lv,powerGrid,hvac,4,expExcFix,0.0
30th,EU,LT,lt,EU,PL,pl,powerGrid,hvac,1,expExcFix,0.0
30th,EU,LT,lt,EU,PL,pl,powerGrid,hvac,2,expExcFix,0.0
30th,EU,LT,lt,EU,PL,pl,powerGrid,hvac,3,expExcFix,0.0
30th,nonEU,ME,me,nonEU,RS,rs,powerGrid,hvac,1,expExcFix,0.0
30th,nonEU,ME,me,nonEU,RS,rs,powerGrid,hvac,2,expExcFix,0.0
30th,nonEU,ME,me,nonEU,RS,rs,powerGrid,hvac,3,expExcFix,0.0
30th,nonEU,MK,mk,nonEU,RS,rs,powerGrid,hvac,6,expExcFix,0.5
30th,EU,SE,se_2,nonEU,NO,no_m,powerGrid,hvac,1,expExcFix,0.0
30th,EU,SE,se_1,nonEU,NO,no_n,powerGrid,hvac,1,expExcFix,0.0
30th,EU,SE,se_1,nonEU,NO,no_n,powerGrid,hvac,2,expExcFix,0.0
30th,EU,SE,se_2,nonEU,NO,no_n,powerGrid,hvac,1,expExcFix,0.0
30th,EU,SE,se_2,nonEU,NO,no_n,powerGrid,hvac,2,expExcFix,0.0
30th,EU,SE,se_2,nonEU,NO,no_n,powerGrid,hvac,3,expExcFix,0.0
30th,EU,SE,se_3,nonEU,NO,no_s,powerGrid,hvac,1,expExcFix,0.0
30th,EU,SE,se_3,nonEU,NO,no_s,powerGrid,hvac,2,expExcFix,0.0
30th,EU,RO,ro,nonEU,RS,rs,powerGrid,hvac,1,expExcFix,0.0
30th,EU,SE,se_2,EU,SE,se_3,powerGrid,hvac,1,expExcFix,0.0
