timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,EU,BG,bg,66BG,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,DK,dk_e,72DK,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,EE,ee,73EE,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,ES,es,01ES,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,ES,es,02ES,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,ES,es,04ES,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,ES,es,06ES,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,ES,es,09ES,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,ES,es,10ES,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,ES,es,11ES,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,FI,fi,74FI,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,FI,fi,75FI,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,FR,fr,14FR,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,FR,fr,15FR,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,FR,fr,16FR,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,FR,fr,17FR,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,FR,fr,21FR,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,FR,fr,22FR,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,FR,fr_co,99FR,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,GR,gr,68GR,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,GR,gr,69GR,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,HR,hr,62HR,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,IE,ie,96IE,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,IT,it_cn,53IT,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,IT,it_cs,54IT,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,IT,it_n,52IT,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,IT,it_s,55IT,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,IT,it_sar,98IT,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,IT,it_sic,56IT,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,LT,lt,77LT,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,LV,lv,78LV,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,PL,pl,41PL,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,PL,pl,44PL,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,PL,pl,45PL,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,PT,pt,12PT,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,PT,pt,13PT,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,RO,ro,61RO,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,SE,se_1,86SE,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,SE,se_2,87SE,wind,offshore,offshore_b,expConvFix,0.0
30th,EU,SE,se_3,88SE,wind,offshore,offshore_b,expConvFix,0.0
30th,nonEU,AL,al,70AL,wind,offshore,offshore_b,expConvFix,0.0
30th,nonEU,NO,no_m,83NO,wind,offshore,offshore_b,expConvFix,0.0
30th,nonEU,NO,no_n,84NO,wind,offshore,offshore_b,expConvFix,0.0
30th,nonEU,NO,no_n,85NO,wind,offshore,offshore_b,expConvFix,0.0
30th,nonEU,NO,no_s,80NO,wind,offshore,offshore_b,expConvFix,0.0
30th,nonEU,NO,no_s,82NO,wind,offshore,offshore_b,expConvFix,0.0
30th,nonEU,UK,ni,95UK,wind,offshore,offshore_b,expConvFix,0.0
30th,nonEU,UK,uk,92UK,wind,offshore,offshore_b,expConvFix,0.0
