timestep_1,timestep_2,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,AT,at,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,BE,be,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,BG,bg,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,CZ,cz,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,DE,de,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,DK,dk_e,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,DK,dk_w,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,EE,ee,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,ES,es,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,FI,fi,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,FR,fr,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,FR,fr_co,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,GR,gr,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,HR,hr,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,HU,hu,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,IE,ie,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,IT,it_cn,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,IT,it_cs,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,IT,it_n,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,IT,it_s,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,IT,it_sar,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,IT,it_sic,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,LT,lt,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,LU,lu,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,LV,lv,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,NL,nl,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,PL,pl,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,PT,pt,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,RO,ro,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,SE,se_1,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,SE,se_2,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,SE,se_3,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,SE,se_4,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,SI,si,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,EU,SK,sk,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,nonEU,AL,al,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,nonEU,BA,ba,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,nonEU,CH,ch,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,nonEU,ME,me,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,nonEU,MK,mk,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,nonEU,NO,no_m,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,nonEU,NO,no_n,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,nonEU,NO,no_s,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,nonEU,RS,rs,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,nonEU,UK,ni,transport,,dieselFrtRoadHeavy,expConvFix,0.0
30th,2040,nonEU,UK,uk,transport,,dieselFrtRoadHeavy,expConvFix,0.0
