timestep_1,timestep_2,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,AT,at,transport,,ePsngRail,expConvFix,0.160711970614
30th,2040,EU,BE,be,transport,,ePsngRail,expConvFix,0.13400659032
30th,2040,EU,BG,bg,transport,,ePsngRail,expConvFix,0.016442307692
30th,2040,EU,CZ,cz,transport,,ePsngRail,expConvFix,0.114806071737
30th,2040,EU,DE,de,transport,,ePsngRail,expConvFix,1.165353824546
30th,2040,EU,DK,dk_e,transport,,ePsngRail,expConvFix,0.036259723423
30th,2040,EU,DK,dk_w,transport,,ePsngRail,expConvFix,0.042521607606
30th,2040,EU,EE,ee,transport,,ePsngRail,expConvFix,0.004027657736
30th,2040,EU,ES,es,transport,,ePsngRail,expConvFix,0.355592048401
30th,2040,EU,FI,fi,transport,,ePsngRail,expConvFix,0.052639369058
30th,2040,EU,FR,fr,transport,,ePsngRail,expConvFix,1.086269987035
30th,2040,EU,FR,fr_co,transport,,ePsngRail,expConvFix,0.005753565255
30th,2040,EU,GR,gr,transport,,ePsngRail,expConvFix,0.013222774417
30th,2040,EU,HR,hr,transport,,ePsngRail,expConvFix,0.009110847018
30th,2040,EU,HU,hu,transport,,ePsngRail,expConvFix,0.076940363008
30th,2040,EU,IE,ie,transport,,ePsngRail,expConvFix,0.013179559205
30th,2040,EU,IT,it_cn,transport,,ePsngRail,expConvFix,0.068793755402
30th,2040,EU,IT,it_cs,transport,,ePsngRail,expConvFix,0.145641745895
30th,2040,EU,IT,it_n,transport,,ePsngRail,expConvFix,0.31102852204
30th,2040,EU,IT,it_s,transport,,ePsngRail,expConvFix,0.0767269879
30th,2040,EU,IT,it_sar,transport,,ePsngRail,expConvFix,0.018379429559
30th,2040,EU,IT,it_sic,transport,,ePsngRail,expConvFix,0.056047428695
30th,2040,EU,LT,lt,transport,,ePsngRail,expConvFix,0.004233470182
30th,2040,EU,LU,lu,transport,,ePsngRail,expConvFix,0.004700194468
30th,2040,EU,LV,lv,transport,,ePsngRail,expConvFix,0.007180207433
30th,2040,EU,NL,nl,transport,,ePsngRail,expConvFix,0.280814066551
30th,2040,EU,PL,pl,transport,,ePsngRail,expConvFix,0.249770419188
30th,2040,EU,PT,pt,transport,,ePsngRail,expConvFix,0.046394230769
30th,2040,EU,RO,ro,transport,,ePsngRail,expConvFix,0.049994057908
30th,2040,EU,SE,se_1,transport,,ePsngRail,expConvFix,0.003277333621
30th,2040,EU,SE,se_2,transport,,ePsngRail,expConvFix,0.012199654278
30th,2040,EU,SE,se_3,transport,,ePsngRail,expConvFix,0.091536300778
30th,2040,EU,SE,se_4,transport,,ePsngRail,expConvFix,0.026835566119
30th,2040,EU,SI,si,transport,,ePsngRail,expConvFix,0.006273768366
30th,2040,EU,SK,sk,transport,,ePsngRail,expConvFix,0.042825194468
30th,2040,nonEU,AL,al,transport,,ePsngRail,expConvFix,0.001070656871
30th,2040,nonEU,BA,ba,transport,,ePsngRail,expConvFix,0.001429343129
30th,2040,nonEU,CH,ch,transport,,ePsngRail,expConvFix,0.238288137424
30th,2040,nonEU,ME,me,transport,,ePsngRail,expConvFix,0.0
30th,2040,nonEU,MK,mk,transport,,ePsngRail,expConvFix,0.0
30th,2040,nonEU,NO,no_m,transport,,ePsngRail,expConvFix,0.004627268799
30th,2040,nonEU,NO,no_n,transport,,ePsngRail,expConvFix,0.004904926534
30th,2040,nonEU,NO,no_s,transport,,ePsngRail,expConvFix,0.031971694036
30th,2040,nonEU,RS,rs,transport,,ePsngRail,expConvFix,0.003587942956
30th,2040,nonEU,UK,ni,transport,,ePsngRail,expConvFix,0.01084485739
30th,2040,nonEU,UK,uk,transport,,ePsngRail,expConvFix,0.781638936906
