timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,BE,be,28BE,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.726738383677
30th,2040,EU,CZ,cz,39CZ,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.345346576396
30th,2040,EU,CZ,cz,40CZ,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.294631577753
30th,2040,EU,ES,es,01ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.100174292457
30th,2040,EU,ES,es,02ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.109665376983
30th,2040,EU,ES,es,03ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.089307189158
30th,2040,EU,ES,es,04ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.212931915879
30th,2040,EU,ES,es,05ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.087423631916
30th,2040,EU,ES,es,06ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.637035279207
30th,2040,EU,ES,es,07ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.257538494826
30th,2040,EU,ES,es,08ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.076820664324
30th,2040,EU,ES,es,09ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.123745040667
30th,2040,EU,ES,es,10ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.07075926026
30th,2040,EU,ES,es,11ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.435621826858
30th,2040,EU,FR,fr,16FR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.105083656435
30th,2040,EU,FR,fr,17FR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.123628810465
30th,2040,EU,FR,fr,18FR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.060461894274
30th,2040,EU,FR,fr,19FR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.103056277431
30th,2040,EU,FR,fr,20FR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.084053375432
30th,2040,EU,FR,fr,21FR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.178466315695
30th,2040,EU,FR,fr,22FR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.02578079712
30th,2040,EU,FR,fr,23FR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.826653252629
30th,2040,EU,FR,fr,24FR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.040614019784
30th,2040,EU,FR,fr,25FR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.152483738827
30th,2040,EU,FR,fr,26FR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.153328711318
30th,2040,EU,FR,fr,27FR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.026898072806
30th,2040,EU,FR,fr_co,99FR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.00694098384
30th,2040,EU,GR,gr,68GR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.095375608948
30th,2040,EU,HU,hu,58HU,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.182237828153
30th,2040,EU,IE,ie,96IE,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.256396402448
30th,2040,EU,NL,nl,30NL,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.889985246833
30th,2040,EU,PL,pl,41PL,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.339698426365
30th,2040,EU,PL,pl,42PL,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.188560278828
30th,2040,EU,PL,pl,43PL,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.300996960316
30th,2040,EU,PL,pl,44PL,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.333663243927
30th,2040,EU,PT,pt,12PT,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.270751510383
30th,2040,EU,PT,pt,13PT,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.142938308715
30th,2040,EU,RO,ro,59RO,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.149289136523
30th,2040,EU,RO,ro,60RO,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.235824864061
30th,2040,EU,RO,ro,61RO,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.107783128617
30th,2040,EU,SE,se_1,86SE,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.023545617288
30th,2040,EU,SE,se_2,87SE,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.148341860126
30th,2040,EU,SK,sk,46SK,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.18928771224
30th,2040,nonEU,AL,al,70AL,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.133545810541
30th,2040,nonEU,BA,ba,63BA,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.156459648786
30th,2040,nonEU,CH,ch,47CH,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.807473282417
30th,2040,nonEU,CH,ch,48CH,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.08333133464
30th,2040,nonEU,ME,me,64ME,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.022864047746
30th,2040,nonEU,MK,mk,67MK,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.092450534972
30th,2040,nonEU,NO,no_m,83NO,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.053088973804
30th,2040,nonEU,NO,no_n,84NO,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.04468773052
30th,2040,nonEU,NO,no_n,85NO,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.045612179519
30th,2040,nonEU,NO,no_s,79NO,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.021400699205
30th,2040,nonEU,NO,no_s,80NO,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.052126462235
30th,2040,nonEU,NO,no_s,81NO,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.106491873815
