timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,AT,at,49AT,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,AT,at,50AT,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,AT,at,51AT,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,BE,be,28BE,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,BG,bg,66BG,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,CZ,cz,39CZ,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,CZ,cz,40CZ,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,DE,de,31DE,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,DE,de,32DE,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,DE,de,33DE,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,DE,de,34DE,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,DE,de,35DE,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,DE,de,36DE,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,DE,de,37DE,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,DK,dk_e,72DK,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,DK,dk_w,38DK,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,EE,ee,73EE,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,ES,es,01ES,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,ES,es,02ES,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,ES,es,03ES,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,ES,es,04ES,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,ES,es,05ES,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,ES,es,06ES,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,ES,es,07ES,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,ES,es,08ES,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,ES,es,09ES,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,ES,es,10ES,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,ES,es,11ES,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,FI,fi,74FI,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,FI,fi,75FI,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,FR,fr,14FR,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,FR,fr,15FR,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,FR,fr,16FR,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,FR,fr,17FR,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,FR,fr,18FR,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,FR,fr,19FR,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,FR,fr,20FR,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,FR,fr,21FR,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,FR,fr,22FR,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
30th,2040,EU,FR,fr,23FR,ccgt,ccgtGas,ccgtGasExtract,expConvFix,0.0
