timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,EU,AT,at,49AT,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,AT,at,50AT,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,AT,at,51AT,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,BE,be,28BE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,BG,bg,66BG,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,CZ,cz,39CZ,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,CZ,cz,40CZ,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,DE,de,31DE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,DE,de,32DE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,DE,de,33DE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,DE,de,34DE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,DE,de,35DE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,DE,de,36DE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,DE,de,37DE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,DK,dk_e,72DK,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,DK,dk_w,38DK,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,EE,ee,73EE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,ES,es,01ES,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,ES,es,02ES,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,ES,es,03ES,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,ES,es,04ES,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,ES,es,05ES,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,ES,es,06ES,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,ES,es,07ES,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,ES,es,08ES,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,ES,es,09ES,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,ES,es,10ES,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,ES,es,11ES,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FI,fi,74FI,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FI,fi,75FI,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,14FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,15FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,16FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,17FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,18FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,19FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,20FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,21FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,22FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,23FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,24FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,25FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,26FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr,27FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,FR,fr_co,99FR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,GR,gr,68GR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,GR,gr,69GR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,HR,hr,62HR,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,HU,hu,58HU,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,IE,ie,96IE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,IT,it_cn,53IT,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,IT,it_cs,54IT,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,IT,it_n,52IT,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,IT,it_s,55IT,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,IT,it_sar,98IT,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,IT,it_sic,56IT,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,LT,lt,77LT,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,LU,lu,29LU,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,LV,lv,78LV,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,NL,nl,30NL,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,PL,pl,41PL,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,PL,pl,42PL,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,PL,pl,43PL,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,PL,pl,44PL,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,PL,pl,45PL,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,PT,pt,12PT,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,PT,pt,13PT,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,RO,ro,59RO,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,RO,ro,60RO,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,RO,ro,61RO,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,SE,se_1,86SE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,SE,se_2,87SE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,SE,se_3,88SE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,SE,se_4,89SE,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,SI,si,57SI,ocgt,,ocgtGas,expConvFix,0.0
30th,EU,SK,sk,46SK,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,AL,al,70AL,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,BA,ba,63BA,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,CH,ch,47CH,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,CH,ch,48CH,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,ME,me,64ME,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,MK,mk,67MK,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,NO,no_m,83NO,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,NO,no_n,84NO,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,NO,no_n,85NO,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,NO,no_s,79NO,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,NO,no_s,80NO,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,NO,no_s,81NO,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,NO,no_s,82NO,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,RS,rs,65RS,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,UK,ni,95UK,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,UK,uk,90UK,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,UK,uk,91UK,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,UK,uk,92UK,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,UK,uk,93UK,ocgt,,ocgtGas,expConvFix,0.0
30th,nonEU,UK,uk,94UK,ocgt,,ocgtGas,expConvFix,0.0
