timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,ES,es,01ES,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,ES,es,02ES,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,ES,es,03ES,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,ES,es,04ES,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,ES,es,05ES,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,ES,es,06ES,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,ES,es,07ES,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,ES,es,08ES,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,ES,es,09ES,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,ES,es,10ES,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,ES,es,11ES,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,FI,fi,74FI,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,FI,fi,75FI,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,FR,fr,15FR,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,FR,fr_co,99FR,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,GR,gr,68GR,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,GR,gr,69GR,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,IE,ie,96IE,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,IT,it_cn,53IT,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,IT,it_cs,54IT,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,IT,it_n,52IT,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,IT,it_s,55IT,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,IT,it_sar,98IT,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,IT,it_sic,56IT,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,LT,lt,77LT,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,NL,nl,30NL,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,PT,pt,12PT,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,PT,pt,13PT,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,RO,ro,60RO,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,RO,ro,61RO,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,SE,se_1,86SE,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,SE,se_2,87SE,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,EU,SE,se_3,88SE,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,nonEU,AL,al,70AL,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,nonEU,BA,ba,63BA,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,nonEU,MK,mk,67MK,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,nonEU,NO,no_m,83NO,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,nonEU,NO,no_n,84NO,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,nonEU,NO,no_n,85NO,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,nonEU,UK,ni,95UK,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,nonEU,UK,uk,90UK,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,nonEU,UK,uk,91UK,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,nonEU,UK,uk,92UK,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,nonEU,UK,uk,93UK,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
30th,2040,nonEU,UK,uk,94UK,miscProHeat,gasBoilerPro,gasBoilerProHigh,expConvFix,0.0
