timestep_4,region_4,technology_2,parameter,value
hh0019,82NO,heatpumpAir,effConv,3.8355346339766974
hh0020,82NO,heatpumpAir,effConv,3.7437623712788923
hh0021,82NO,heatpumpAir,effConv,3.453525055534473
hh0022,82NO,heatpumpAir,effConv,3.5576196776288147
hh0023,82NO,heatpumpAir,effConv,2.45
hh0024,82NO,heatpumpAir,effConv,3.164584323004007
hh0001,83NO,heatpumpAir,effConv,2.854470114841347
hh0002,83NO,heatpumpAir,effConv,3.53484184926786
hh0003,83NO,heatpumpAir,effConv,3.451613651544755
hh0004,83NO,heatpumpAir,effConv,3.649714007655265
hh0005,83NO,heatpumpAir,effConv,3.73843837906053
hh0006,83NO,heatpumpAir,effConv,3.4989386164094824
hh0007,83NO,heatpumpAir,effConv,3.6581005184865374
hh0008,83NO,heatpumpAir,effConv,3.8742203852744197
hh0009,83NO,heatpumpAir,effConv,4.04638767338537
hh0010,83NO,heatpumpAir,effConv,4.06
hh0011,83NO,heatpumpAir,effConv,4.06
hh0012,83NO,heatpumpAir,effConv,4.06
hh0013,83NO,heatpumpAir,effConv,4.06
hh0014,83NO,heatpumpAir,effConv,4.06
hh0015,83NO,heatpumpAir,effConv,4.06
hh0016,83NO,heatpumpAir,effConv,4.06
hh0017,83NO,heatpumpAir,effConv,4.029406866801935
hh0018,83NO,heatpumpAir,effConv,4.008256868933588
hh0019,83NO,heatpumpAir,effConv,3.8355346339766974
hh0020,83NO,heatpumpAir,effConv,3.7437623712788923
hh0021,83NO,heatpumpAir,effConv,3.453525055534473
hh0022,83NO,heatpumpAir,effConv,3.5576196776288147
hh0023,83NO,heatpumpAir,effConv,2.4499999999999997
hh0024,83NO,heatpumpAir,effConv,3.164584323004007
hh0001,84NO,heatpumpAir,effConv,2.854470114841347
hh0002,84NO,heatpumpAir,effConv,3.53484184926786
hh0003,84NO,heatpumpAir,effConv,3.451613651544755
hh0004,84NO,heatpumpAir,effConv,3.649714007655265
hh0005,84NO,heatpumpAir,effConv,3.73843837906053
hh0006,84NO,heatpumpAir,effConv,3.4989386164094824
hh0007,84NO,heatpumpAir,effConv,3.6581005184865374
hh0008,84NO,heatpumpAir,effConv,3.8742203852744197
hh0009,84NO,heatpumpAir,effConv,4.04638767338537
hh0010,84NO,heatpumpAir,effConv,4.06
hh0011,84NO,heatpumpAir,effConv,4.06
hh0012,84NO,heatpumpAir,effConv,4.06
hh0013,84NO,heatpumpAir,effConv,4.06
hh0014,84NO,heatpumpAir,effConv,4.06
hh0015,84NO,heatpumpAir,effConv,4.06
hh0016,84NO,heatpumpAir,effConv,4.06
hh0017,84NO,heatpumpAir,effConv,4.029406866801935
hh0018,84NO,heatpumpAir,effConv,4.008256868933588
hh0019,84NO,heatpumpAir,effConv,3.8355346339766974
hh0020,84NO,heatpumpAir,effConv,3.7437623712788923
hh0021,84NO,heatpumpAir,effConv,3.453525055534473
hh0022,84NO,heatpumpAir,effConv,3.5576196776288147
hh0023,84NO,heatpumpAir,effConv,2.45
hh0024,84NO,heatpumpAir,effConv,3.164584323004007
hh0001,85NO,heatpumpAir,effConv,2.854470114841347
hh0002,85NO,heatpumpAir,effConv,3.53484184926786
hh0003,85NO,heatpumpAir,effConv,3.451613651544755
hh0004,85NO,heatpumpAir,effConv,3.649714007655265
hh0005,85NO,heatpumpAir,effConv,3.73843837906053
hh0006,85NO,heatpumpAir,effConv,3.4989386164094824
hh0007,85NO,heatpumpAir,effConv,3.6581005184865374
hh0008,85NO,heatpumpAir,effConv,3.8742203852744197
hh0009,85NO,heatpumpAir,effConv,4.04638767338537
hh0010,85NO,heatpumpAir,effConv,4.06
hh0011,85NO,heatpumpAir,effConv,4.06
hh0012,85NO,heatpumpAir,effConv,4.06
hh0013,85NO,heatpumpAir,effConv,4.06
hh0014,85NO,heatpumpAir,effConv,4.06
hh0015,85NO,heatpumpAir,effConv,4.06
hh0016,85NO,heatpumpAir,effConv,4.06
hh0017,85NO,heatpumpAir,effConv,4.029406866801935
hh0018,85NO,heatpumpAir,effConv,4.008256868933588
hh0019,85NO,heatpumpAir,effConv,3.8355346339766974
hh0020,85NO,heatpumpAir,effConv,3.7437623712788923
hh0021,85NO,heatpumpAir,effConv,3.453525055534473
hh0022,85NO,heatpumpAir,effConv,3.5576196776288147
