timestep_4,region_4,technology_2,parameter,value
h0003,02ES,rooftopInd_a,avaConv,0.0
h0004,02ES,rooftopInd_a,avaConv,0.0
h0005,02ES,rooftopInd_a,avaConv,0.0
h0006,02ES,rooftopInd_a,avaConv,0.0
h0007,02ES,rooftopInd_a,avaConv,0.0
h0008,02ES,rooftopInd_a,avaConv,0.0
h0009,02ES,rooftopInd_a,avaConv,0.0745663544573002
h0010,02ES,rooftopInd_a,avaConv,0.147837401491415
h0011,02ES,rooftopInd_a,avaConv,0.395453331505021
h0012,02ES,rooftopInd_a,avaConv,0.539983051827492
h0013,02ES,rooftopInd_a,avaConv,0.542941597138949
h0014,02ES,rooftopInd_a,avaConv,0.589266722498857
h0015,02ES,rooftopInd_a,avaConv,0.48900589531783
h0016,02ES,rooftopInd_a,avaConv,0.638348045734033
h0017,02ES,rooftopInd_a,avaConv,0.49982506825138
h0018,02ES,rooftopInd_a,avaConv,0.402579680079994
h0019,02ES,rooftopInd_a,avaConv,0.179176808704254
h0020,02ES,rooftopInd_a,avaConv,0.0317357964156897
h0021,02ES,rooftopInd_a,avaConv,0.0
h0022,02ES,rooftopInd_a,avaConv,0.0
h0023,02ES,rooftopInd_a,avaConv,0.0
h0024,02ES,rooftopInd_a,avaConv,0.0
h0025,02ES,rooftopInd_a,avaConv,0.0
h0026,02ES,rooftopInd_a,avaConv,0.0
h0027,02ES,rooftopInd_a,avaConv,0.0
h0028,02ES,rooftopInd_a,avaConv,0.0
h0029,02ES,rooftopInd_a,avaConv,0.0
h0030,02ES,rooftopInd_a,avaConv,0.0
h0031,02ES,rooftopInd_a,avaConv,0.043900681856874
h0032,02ES,rooftopInd_a,avaConv,0.149408019491412
h0033,02ES,rooftopInd_a,avaConv,0.2409404375367
h0034,02ES,rooftopInd_a,avaConv,0.441646361002865
h0035,02ES,rooftopInd_a,avaConv,0.508867750526443
h0036,02ES,rooftopInd_a,avaConv,0.734424549496835
h0037,02ES,rooftopInd_a,avaConv,0.746784362660028
h0038,02ES,rooftopInd_a,avaConv,0.861455578800918
h0039,02ES,rooftopInd_a,avaConv,0.830680502766986
h0040,02ES,rooftopInd_a,avaConv,0.802685094758523
h0041,02ES,rooftopInd_a,avaConv,0.686405511511144
h0042,02ES,rooftopInd_a,avaConv,0.506926621661153
h0043,02ES,rooftopInd_a,avaConv,0.309458324608293
h0044,02ES,rooftopInd_a,avaConv,0.147250417899279
h0045,02ES,rooftopInd_a,avaConv,0.0482755355355085
h0046,02ES,rooftopInd_a,avaConv,0.0117684801002399
h0047,02ES,rooftopInd_a,avaConv,0.0
h0048,02ES,rooftopInd_a,avaConv,0.0
h0049,02ES,rooftopInd_a,avaConv,0.0
h0050,02ES,rooftopInd_a,avaConv,0.0
h0051,02ES,rooftopInd_a,avaConv,0.0
h0052,02ES,rooftopInd_a,avaConv,0.0
h0053,02ES,rooftopInd_a,avaConv,0.0
h0054,02ES,rooftopInd_a,avaConv,0.0
h0055,02ES,rooftopInd_a,avaConv,0.0317514484141928
h0056,02ES,rooftopInd_a,avaConv,0.130414523719571
h0057,02ES,rooftopInd_a,avaConv,0.315260836749901
h0058,02ES,rooftopInd_a,avaConv,0.530457602514163
h0059,02ES,rooftopInd_a,avaConv,0.723557393438719
h0060,02ES,rooftopInd_a,avaConv,0.851168299798651
h0061,02ES,rooftopInd_a,avaConv,0.927608236000002
h0062,02ES,rooftopInd_a,avaConv,0.903016438263832
h0063,02ES,rooftopInd_a,avaConv,0.8648773261577
h0064,02ES,rooftopInd_a,avaConv,0.760291115796286
h0065,02ES,rooftopInd_a,avaConv,0.610759319038746
h0066,02ES,rooftopInd_a,avaConv,0.378307511706314
h0067,02ES,rooftopInd_a,avaConv,0.158515708202238
h0068,02ES,rooftopInd_a,avaConv,0.0402060025448471
h0069,02ES,rooftopInd_a,avaConv,0.0
h0070,02ES,rooftopInd_a,avaConv,0.0
h0071,02ES,rooftopInd_a,avaConv,0.0
h0072,02ES,rooftopInd_a,avaConv,0.0
h0073,02ES,rooftopInd_a,avaConv,0.0
h0074,02ES,rooftopInd_a,avaConv,0.0
h0075,02ES,rooftopInd_a,avaConv,0.0
h0076,02ES,rooftopInd_a,avaConv,0.0
h0077,02ES,rooftopInd_a,avaConv,0.0
h0078,02ES,rooftopInd_a,avaConv,0.0
h0079,02ES,rooftopInd_a,avaConv,0.0
h0080,02ES,rooftopInd_a,avaConv,0.0100271560000009
h0081,02ES,rooftopInd_a,avaConv,0.0449015999145135
h0082,02ES,rooftopInd_a,avaConv,0.208098971249864
h0083,02ES,rooftopInd_a,avaConv,0.384845359805929
h0084,02ES,rooftopInd_a,avaConv,0.6116748720621
h0085,02ES,rooftopInd_a,avaConv,0.502413790652625
h0086,02ES,rooftopInd_a,avaConv,0.549929725617547
h0087,02ES,rooftopInd_a,avaConv,0.42787364431491
h0088,02ES,rooftopInd_a,avaConv,0.50381874855703
h0089,02ES,rooftopInd_a,avaConv,0.320347789465524
h0090,02ES,rooftopInd_a,avaConv,0.177348625893653
h0091,02ES,rooftopInd_a,avaConv,0.0437675827992923
