scenario,timestep_3,parameter,value
scr1983,ini01,scrProb,1
scr1983,ini02,scrProb,1
scr1983,ini03,scrProb,1
scr1983,ini04,scrProb,1
scr1983,ini05,scrProb,1
scr1983,ini06,scrProb,1
scr1983,ini07,scrProb,1
scr1983,ini08,scrProb,1
scr1983,ini09,scrProb,1
scr1983,ini10,scrProb,1
scr1983,ini11,scrProb,1
scr1983,ini12,scrProb,1
