carrier_1,carrier_2,parameter,value
electricity,,costLss,13000
naturalGas,,costLss,20000
crudeOil,,costLss,20000
h2,,costLss,20000
districtHeat,,costLss,20000
refinedOil,,costLss,20000
liquidFuelExt,,costLss,20000
rawBiogas,,costLss,20000
otherBiomass,solidBiomass,costLss,20000
otherBiomass,nonSolidBiomass,costLss,20000
processHeat_medium,,costLss,20000
processHeat_high,,costLss,20000
capturedCO2,,costLss,20000
frtRoadHeavy,,costMissCapa,50000
frtRoadLight,,costMissCapa,50000
frtRail,,costMissCapa,50000
psngRail,,costMissCapa,50000
psngRoadPrvt,,costMissCapa,50000
psngRoadPub,,costMissCapa,50000
spaceHeat,,costMissCapa,50000
processHeat_low,,costMissCapa,50000
processHeat_medium,,costMissCapa,50000
processHeat_high,,costMissCapa,50000
,,emissionInf,10000
,,costStLvlLss,10000
