technology_1,technology_2,technology_3,timestep_2,parameter_1,value_1,parameter_2,value_2,source
heatpump,heatpumpSpace,heatpumpAirSpace,2020,costExpConv,2496,costOprConv,49.92,"European Comission (2014), Energy Technology Reference Indicator, spreadsheet"
heatpump,heatpumpSpace,heatpumpAirSpace,2025,costExpConv,2453.75,costOprConv,36.81,
heatpump,heatpumpSpace,heatpumpAirSpace,2030,costExpConv,2409,costOprConv,24.09,
heatpump,heatpumpSpace,heatpumpAirSpace,2035,costExpConv,2378.5,costOprConv,23.79,
heatpump,heatpumpSpace,heatpumpAirSpace,2040,costExpConv,2346,costOprConv,23.46,
heatpump,heatpumpSpace,heatpumpAirSpace,2045,costExpConv,2311.5,costOprConv,23.12,
heatpump,heatpumpSpace,heatpumpAirSpace,2050,costExpConv,2275,costOprConv,22.75,
heatpump,heatpumpSpace,heatpumpWaterSpace,2020,costExpConv,4494,costOprConv,179.76,
heatpump,heatpumpSpace,heatpumpWaterSpace,2025,costExpConv,4398.75,costOprConv,153.96,
heatpump,heatpumpSpace,heatpumpWaterSpace,2030,costExpConv,4300,costOprConv,129,
heatpump,heatpumpSpace,heatpumpWaterSpace,2035,costExpConv,4241.25,costOprConv,127.24,
heatpump,heatpumpSpace,heatpumpWaterSpace,2040,costExpConv,4180,costOprConv,125.4,
heatpump,heatpumpSpace,heatpumpWaterSpace,2045,costExpConv,4094,costOprConv,122.82,
heatpump,heatpumpSpace,heatpumpWaterSpace,2050,costExpConv,4005,costOprConv,120.15,
heatpump,heatpumpSpace,heatpumpGroundSpace,2020,costExpConv,6105,costOprConv,122.1,
heatpump,heatpumpSpace,heatpumpGroundSpace,2025,costExpConv,6000,costOprConv,90,
heatpump,heatpumpSpace,heatpumpGroundSpace,2030,costExpConv,5890,costOprConv,58.9,
heatpump,heatpumpSpace,heatpumpGroundSpace,2035,costExpConv,5794.25,costOprConv,57.94,
heatpump,heatpumpSpace,heatpumpGroundSpace,2040,costExpConv,5694,costOprConv,56.94,
heatpump,heatpumpSpace,heatpumpGroundSpace,2045,costExpConv,5589.25,costOprConv,55.89,
heatpump,heatpumpSpace,heatpumpGroundSpace,2050,costExpConv,5480,costOprConv,54.8,
heatpump,,heatpumpLh,2020,costExpConv,1557,costOprConv,54.5,"Fraunhofer ISE (2020), Wege zu einem klimaneutralen Energiesystem, Anhang"
heatpump,,heatpumpLh,2025,costExpConv,1478.25,costOprConv,51.74,
heatpump,,heatpumpLh,2030,costExpConv,1435.5,costOprConv,50.24,
heatpump,,heatpumpLh,2035,costExpConv,1415.25,costOprConv,49.53,
heatpump,,heatpumpLh,2040,costExpConv,1406.25,costOprConv,49.22,
heatpump,,heatpumpLh,2045,costExpConv,1406.25,costOprConv,49.22,
heatpump,,heatpumpLh,2050,costExpConv,1406.25,costOprConv,49.22,
heatpump,,heatpumpPro,2020,costExpConv,2280,costOprConv,79.8,
heatpump,,heatpumpPro,2025,costExpConv,2137.5,costOprConv,74.81,
heatpump,,heatpumpPro,2030,costExpConv,1995,costOprConv,69.83,
heatpump,,heatpumpPro,2035,costExpConv,1852.5,costOprConv,64.84,
heatpump,,heatpumpPro,2040,costExpConv,1710,costOprConv,59.85,
heatpump,,heatpumpPro,2045,costExpConv,1567.5,costOprConv,54.86,
heatpump,,heatpumpPro,2050,costExpConv,1425,costOprConv,49.88,
heatpump,,heatpumpDh,2020,costExpConv,1072.6,costOprConv,37.54,
heatpump,,heatpumpDh,2025,costExpConv,1018.35,costOprConv,35.64,
heatpump,,heatpumpDh,2030,costExpConv,988.9,costOprConv,34.61,
heatpump,,heatpumpDh,2035,costExpConv,974.95,costOprConv,34.12,
heatpump,,heatpumpDh,2040,costExpConv,968.75,costOprConv,33.91,
heatpump,,heatpumpDh,2045,costExpConv,968.75,costOprConv,33.91,
heatpump,,heatpumpDh,2050,costExpConv,968.75,costOprConv,33.91,
heatpump,,,,lifeConv,20,,,
heatpump,,heatpumpDh,,effConv,1.55,,,"based on Arpagau (2018), High temperature heat pumps Market overview, state of the art, research status, refrigerants, and application potentials"
heatpump,,heatpumpLh,,effConv,2.25,,,"based on Arpagau (2018), High temperature heat pumps Market overview, state of the art, research status, refrigerants, and application potentials"
heatpump,,heatpumpPro,,effConv,5.7,,,"based on Arpagau (2018), High temperature heat pumps Market overview, state of the art, research status, refrigerants, and application potentials"
