region_4,technology_3,timestep_2,parameter,value
01ES,districtHeatSpace,2020,capaConvLow,0.023956485
01ES,districtHeatSpace,2025,capaConvLow,0.017330101
01ES,districtHeatSpace,2030,capaConvLow,0.015316609
01ES,districtHeatSpace,2035,capaConvLow,0.013915279
01ES,districtHeatSpace,2040,capaConvLow,0.01251395
01ES,districtHeatSpace,2045,capaConvLow,0.01111262
01ES,districtHeatSpace,2050,capaConvLow,0.00971129
02ES,districtHeatSpace,2020,capaConvLow,0.024279397
02ES,districtHeatSpace,2025,capaConvLow,0.017563695
02ES,districtHeatSpace,2030,capaConvLow,0.015523064
02ES,districtHeatSpace,2035,capaConvLow,0.014102845
02ES,districtHeatSpace,2040,capaConvLow,0.012682627
02ES,districtHeatSpace,2045,capaConvLow,0.011262408
02ES,districtHeatSpace,2050,capaConvLow,0.00984219
03ES,districtHeatSpace,2020,capaConvLow,0.016185778
03ES,districtHeatSpace,2025,capaConvLow,0.011708778
03ES,districtHeatSpace,2030,capaConvLow,0.010348398
03ES,districtHeatSpace,2035,capaConvLow,0.009401614
03ES,districtHeatSpace,2040,capaConvLow,0.00845483
03ES,districtHeatSpace,2045,capaConvLow,0.007508046
03ES,districtHeatSpace,2050,capaConvLow,0.006561262
04ES,districtHeatSpace,2020,capaConvLow,0.026562196
04ES,districtHeatSpace,2025,capaConvLow,0.01921507
04ES,districtHeatSpace,2030,capaConvLow,0.016982574
04ES,districtHeatSpace,2035,capaConvLow,0.015428824
04ES,districtHeatSpace,2040,capaConvLow,0.013875073
04ES,districtHeatSpace,2045,capaConvLow,0.012321323
04ES,districtHeatSpace,2050,capaConvLow,0.010767573
05ES,districtHeatSpace,2020,capaConvLow,0.011373934
05ES,districtHeatSpace,2025,capaConvLow,0.008227894
05ES,districtHeatSpace,2030,capaConvLow,0.007271939
05ES,districtHeatSpace,2035,capaConvLow,0.006606623
05ES,districtHeatSpace,2040,capaConvLow,0.005941308
05ES,districtHeatSpace,2045,capaConvLow,0.005275992
05ES,districtHeatSpace,2050,capaConvLow,0.004610676
06ES,districtHeatSpace,2020,capaConvLow,0.059712041
06ES,districtHeatSpace,2025,capaConvLow,0.043195639
06ES,districtHeatSpace,2030,capaConvLow,0.03817697
06ES,districtHeatSpace,2035,capaConvLow,0.034684126
06ES,districtHeatSpace,2040,capaConvLow,0.031191282
06ES,districtHeatSpace,2045,capaConvLow,0.027698438
06ES,districtHeatSpace,2050,capaConvLow,0.024205595
07ES,districtHeatSpace,2020,capaConvLow,0.056307657
07ES,districtHeatSpace,2025,capaConvLow,0.040732911
07ES,districtHeatSpace,2030,capaConvLow,0.036000372
07ES,districtHeatSpace,2035,capaConvLow,0.032706667
07ES,districtHeatSpace,2040,capaConvLow,0.029412962
07ES,districtHeatSpace,2045,capaConvLow,0.026119257
07ES,districtHeatSpace,2050,capaConvLow,0.022825552
08ES,districtHeatSpace,2020,capaConvLow,0.020300418
08ES,districtHeatSpace,2025,capaConvLow,0.014685305
08ES,districtHeatSpace,2030,capaConvLow,0.012979098
08ES,districtHeatSpace,2035,capaConvLow,0.011791629
08ES,districtHeatSpace,2040,capaConvLow,0.01060416
08ES,districtHeatSpace,2045,capaConvLow,0.009416692
08ES,districtHeatSpace,2050,capaConvLow,0.008229223
09ES,districtHeatSpace,2020,capaConvLow,0.036043572
09ES,districtHeatSpace,2025,capaConvLow,0.026073889
09ES,districtHeatSpace,2030,capaConvLow,0.023044504
09ES,districtHeatSpace,2035,capaConvLow,0.020936142
09ES,districtHeatSpace,2040,capaConvLow,0.018827781
09ES,districtHeatSpace,2045,capaConvLow,0.016719419
09ES,districtHeatSpace,2050,capaConvLow,0.014611058
10ES,districtHeatSpace,2020,capaConvLow,0.022064641
10ES,districtHeatSpace,2025,capaConvLow,0.015961542
10ES,districtHeatSpace,2030,capaConvLow,0.014107056
10ES,districtHeatSpace,2035,capaConvLow,0.012816389
10ES,districtHeatSpace,2040,capaConvLow,0.011525723
10ES,districtHeatSpace,2045,capaConvLow,0.010235056
10ES,districtHeatSpace,2050,capaConvLow,0.008944389
11ES,districtHeatSpace,2020,capaConvLow,0.058400014
11ES,districtHeatSpace,2025,capaConvLow,0.04224652
11ES,districtHeatSpace,2030,capaConvLow,0.037338123
11ES,districtHeatSpace,2035,capaConvLow,0.033922026
11ES,districtHeatSpace,2040,capaConvLow,0.030505929
11ES,districtHeatSpace,2045,capaConvLow,0.027089832
11ES,districtHeatSpace,2050,capaConvLow,0.023673735
12PT,districtHeatSpace,2020,capaConvLow,0.111353926
12PT,districtHeatSpace,2025,capaConvLow,0.089141187
12PT,districtHeatSpace,2030,capaConvLow,0.078784351
12PT,districtHeatSpace,2035,capaConvLow,0.071576303
12PT,districtHeatSpace,2040,capaConvLow,0.064368255
12PT,districtHeatSpace,2045,capaConvLow,0.057160207
12PT,districtHeatSpace,2050,capaConvLow,0.04995216
13PT,districtHeatSpace,2020,capaConvLow,0.089979322
13PT,districtHeatSpace,2025,capaConvLow,0.072030362
13PT,districtHeatSpace,2030,capaConvLow,0.063661541
13PT,districtHeatSpace,2035,capaConvLow,0.057837092
13PT,districtHeatSpace,2040,capaConvLow,0.052012643
13PT,districtHeatSpace,2045,capaConvLow,0.046188194
13PT,districtHeatSpace,2050,capaConvLow,0.040363745
14FR,districtHeatSpace,2020,capaConvLow,0.852147973
14FR,districtHeatSpace,2025,capaConvLow,0.767440783
14FR,districtHeatSpace,2030,capaConvLow,0.678275955
14FR,districtHeatSpace,2035,capaConvLow,0.616219906
14FR,districtHeatSpace,2040,capaConvLow,0.554163857
14FR,districtHeatSpace,2045,capaConvLow,0.492107808
14FR,districtHeatSpace,2050,capaConvLow,0.430051759
15FR,districtHeatSpace,2020,capaConvLow,0.500502782
15FR,districtHeatSpace,2025,capaConvLow,0.450750643
15FR,districtHeatSpace,2030,capaConvLow,0.398380344
15FR,districtHeatSpace,2035,capaConvLow,0.361932184
15FR,districtHeatSpace,2040,capaConvLow,0.325484025
15FR,districtHeatSpace,2045,capaConvLow,0.289035865
15FR,districtHeatSpace,2050,capaConvLow,0.252587706
16FR,districtHeatSpace,2020,capaConvLow,0.818178955
16FR,districtHeatSpace,2025,capaConvLow,0.736848431
16FR,districtHeatSpace,2030,capaConvLow,0.651237965
16FR,districtHeatSpace,2035,capaConvLow,0.591655645
16FR,districtHeatSpace,2040,capaConvLow,0.532073324
16FR,districtHeatSpace,2045,capaConvLow,0.472491004
16FR,districtHeatSpace,2050,capaConvLow,0.412908684
17FR,districtHeatSpace,2020,capaConvLow,0.746193734
17FR,districtHeatSpace,2025,capaConvLow,0.672018853
17FR,districtHeatSpace,2030,capaConvLow,0.593940587
17FR,districtHeatSpace,2035,capaConvLow,0.539600454
17FR,districtHeatSpace,2040,capaConvLow,0.48526032
17FR,districtHeatSpace,2045,capaConvLow,0.430920186
17FR,districtHeatSpace,2050,capaConvLow,0.376580052
18FR,districtHeatSpace,2020,capaConvLow,0.63713629
18FR,districtHeatSpace,2025,capaConvLow,0.57380219
18FR,districtHeatSpace,2030,capaConvLow,0.507135191
18FR,districtHeatSpace,2035,capaConvLow,0.460736957
18FR,districtHeatSpace,2040,capaConvLow,0.414338724
18FR,districtHeatSpace,2045,capaConvLow,0.36794049
18FR,districtHeatSpace,2050,capaConvLow,0.321542256
19FR,districtHeatSpace,2020,capaConvLow,0.60314888
19FR,districtHeatSpace,2025,capaConvLow,0.543193276
19FR,districtHeatSpace,2030,capaConvLow,0.480082563
19FR,districtHeatSpace,2035,capaConvLow,0.436159397
19FR,districtHeatSpace,2040,capaConvLow,0.392236232
19FR,districtHeatSpace,2045,capaConvLow,0.348313066
19FR,districtHeatSpace,2050,capaConvLow,0.304389901
20FR,districtHeatSpace,2020,capaConvLow,0.603546018
20FR,districtHeatSpace,2025,capaConvLow,0.543550936
20FR,districtHeatSpace,2030,capaConvLow,0.480398669
20FR,districtHeatSpace,2035,capaConvLow,0.436446582
20FR,districtHeatSpace,2040,capaConvLow,0.392494496
20FR,districtHeatSpace,2045,capaConvLow,0.34854241
20FR,districtHeatSpace,2050,capaConvLow,0.304590323
21FR,districtHeatSpace,2020,capaConvLow,0.821727803
21FR,districtHeatSpace,2025,capaConvLow,0.740044509
21FR,districtHeatSpace,2030,capaConvLow,0.654062707
21FR,districtHeatSpace,2035,capaConvLow,0.594221949
21FR,districtHeatSpace,2040,capaConvLow,0.534381191
21FR,districtHeatSpace,2045,capaConvLow,0.474540432
21FR,districtHeatSpace,2050,capaConvLow,0.414699674
22FR,districtHeatSpace,2020,capaConvLow,0.354806376
22FR,districtHeatSpace,2025,capaConvLow,0.319537089
22FR,districtHeatSpace,2030,capaConvLow,0.282411789
22FR,districtHeatSpace,2035,capaConvLow,0.256573692
22FR,districtHeatSpace,2040,capaConvLow,0.230735595
22FR,districtHeatSpace,2045,capaConvLow,0.204897498
22FR,districtHeatSpace,2050,capaConvLow,0.179059402
23FR,districtHeatSpace,2020,capaConvLow,2.002790884
23FR,districtHeatSpace,2025,capaConvLow,1.803704817
23FR,districtHeatSpace,2030,capaConvLow,1.59414203
23FR,districtHeatSpace,2035,capaConvLow,1.448292608
23FR,districtHeatSpace,2040,capaConvLow,1.302443186
23FR,districtHeatSpace,2045,capaConvLow,1.156593764
23FR,districtHeatSpace,2050,capaConvLow,1.010744342
24FR,districtHeatSpace,2020,capaConvLow,0.348309198
24FR,districtHeatSpace,2025,capaConvLow,0.313685758
24FR,districtHeatSpace,2030,capaConvLow,0.277240293
24FR,districtHeatSpace,2035,capaConvLow,0.251875341
24FR,districtHeatSpace,2040,capaConvLow,0.226510388
24FR,districtHeatSpace,2045,capaConvLow,0.201145436
24FR,districtHeatSpace,2050,capaConvLow,0.175780484
25FR,districtHeatSpace,2020,capaConvLow,0.961167554
25FR,districtHeatSpace,2025,capaConvLow,0.865623346
25FR,districtHeatSpace,2030,capaConvLow,0.765051213
25FR,districtHeatSpace,2035,capaConvLow,0.695056021
25FR,districtHeatSpace,2040,capaConvLow,0.625060829
25FR,districtHeatSpace,2045,capaConvLow,0.555065638
25FR,districtHeatSpace,2050,capaConvLow,0.485070446
26FR,districtHeatSpace,2020,capaConvLow,1.304832505
26FR,districtHeatSpace,2025,capaConvLow,1.175126516
26FR,districtHeatSpace,2030,capaConvLow,1.03859487
26FR,districtHeatSpace,2035,capaConvLow,0.943572934
26FR,districtHeatSpace,2040,capaConvLow,0.848550999
26FR,districtHeatSpace,2045,capaConvLow,0.753529063
26FR,districtHeatSpace,2050,capaConvLow,0.658507127
27FR,districtHeatSpace,2020,capaConvLow,0.155752042
27FR,districtHeatSpace,2025,capaConvLow,0.140269616
27FR,districtHeatSpace,2030,capaConvLow,0.123972442
27FR,districtHeatSpace,2035,capaConvLow,0.112630097
27FR,districtHeatSpace,2040,capaConvLow,0.101287752
27FR,districtHeatSpace,2045,capaConvLow,0.089945406
27FR,districtHeatSpace,2050,capaConvLow,0.078603061
28BE,districtHeatSpace,2020,capaConvLow,0.733444141
28BE,districtHeatSpace,2025,capaConvLow,0.733444141
28BE,districtHeatSpace,2030,capaConvLow,0.663439581
28BE,districtHeatSpace,2035,capaConvLow,0.602740925
28BE,districtHeatSpace,2040,capaConvLow,0.542042268
28BE,districtHeatSpace,2045,capaConvLow,0.481343612
28BE,districtHeatSpace,2050,capaConvLow,0.420644955
29LU,districtHeatSpace,2020,capaConvLow,0.456039341
29LU,districtHeatSpace,2025,capaConvLow,0.34481088
29LU,districtHeatSpace,2030,capaConvLow,0.304749154
29LU,districtHeatSpace,2035,capaConvLow,0.276867392
