timestep_2,region_4,technology_3,parameter,value,source,see heatInputs
2020,22FR,oilLiquidBoilerSpaceStock,capaConvResi,1.4465,,
2025,22FR,oilLiquidBoilerSpaceStock,capaConvResi,1.04217,,
2030,22FR,oilLiquidBoilerSpaceStock,capaConvResi,0.69081,,
2035,22FR,oilLiquidBoilerSpaceStock,capaConvResi,0.4184,,
2040,22FR,oilLiquidBoilerSpaceStock,capaConvResi,0.18813,,
2020,22FR,resistiveHeatSpaceStock,capaConvResi,1.18578,,
2025,22FR,resistiveHeatSpaceStock,capaConvResi,0.85432,,
2030,22FR,resistiveHeatSpaceStock,capaConvResi,0.5663,,
2035,22FR,resistiveHeatSpaceStock,capaConvResi,0.34299,,
2040,22FR,resistiveHeatSpaceStock,capaConvResi,0.15422,,
2020,22FR,coalBoilerSpaceStock,capaConvResi,0.02823,,
2025,22FR,coalBoilerSpaceStock,capaConvResi,0.02034,,
2030,22FR,coalBoilerSpaceStock,capaConvResi,0.01348,,
2035,22FR,coalBoilerSpaceStock,capaConvResi,0.00816,,
2040,22FR,coalBoilerSpaceStock,capaConvResi,0.00367,,
2020,22FR,heatpumpAirSpace,capaConvResi,0.09929,,
2025,22FR,heatpumpAirSpace,capaConvResi,0.07153,,
2030,22FR,heatpumpAirSpace,capaConvResi,0.04741,,
2035,22FR,heatpumpAirSpace,capaConvResi,0.02872,,
2040,22FR,heatpumpAirSpace,capaConvResi,0.01291,,
2020,23FR,coalBoilerProHigh,capaConvResi,1.17275,,
2025,23FR,coalBoilerProHigh,capaConvResi,0.97729,,
2030,23FR,coalBoilerProHigh,capaConvResi,0.78183,,
2035,23FR,coalBoilerProHigh,capaConvResi,0.58637,,
2040,23FR,coalBoilerProHigh,capaConvResi,0.39091,,
2045,23FR,coalBoilerProHigh,capaConvResi,0.19545,,
2020,23FR,eBoilerProHigh,capaConvResi,0.12734,,
2025,23FR,eBoilerProHigh,capaConvResi,0.10611,,
2030,23FR,eBoilerProHigh,capaConvResi,0.08489,,
2035,23FR,eBoilerProHigh,capaConvResi,0.06367,,
2040,23FR,eBoilerProHigh,capaConvResi,0.04244,,
2045,23FR,eBoilerProHigh,capaConvResi,0.02122,,
2020,23FR,gasBoilerProHigh,capaConvResi,1.13051,,
2025,23FR,gasBoilerProHigh,capaConvResi,0.94209,,
2030,23FR,gasBoilerProHigh,capaConvResi,0.75367,,
2035,23FR,gasBoilerProHigh,capaConvResi,0.56525,,
2040,23FR,gasBoilerProHigh,capaConvResi,0.37683,,
2045,23FR,gasBoilerProHigh,capaConvResi,0.18841,,
2020,23FR,oilBoilerProHigh,capaConvResi,0.71899,,
2025,23FR,oilBoilerProHigh,capaConvResi,0.59916,,
2030,23FR,oilBoilerProHigh,capaConvResi,0.47933,,
2035,23FR,oilBoilerProHigh,capaConvResi,0.35949,,
2040,23FR,oilBoilerProHigh,capaConvResi,0.23966,,
2045,23FR,oilBoilerProHigh,capaConvResi,0.11983,,
2020,23FR,bioBoilerProLow,capaConvResi,0.09631,,
2025,23FR,bioBoilerProLow,capaConvResi,0.08026,,
2030,23FR,bioBoilerProLow,capaConvResi,0.06421,,
2035,23FR,bioBoilerProLow,capaConvResi,0.04815,,
2040,23FR,bioBoilerProLow,capaConvResi,0.0321,,
2045,23FR,bioBoilerProLow,capaConvResi,0.01605,,
2020,23FR,ccgtGasBackProLow,capaConvResi,1.11072,,
2025,23FR,ccgtGasBackProLow,capaConvResi,0.9256,,
2030,23FR,ccgtGasBackProLow,capaConvResi,0.74048,,
2035,23FR,ccgtGasBackProLow,capaConvResi,0.55536,,
2040,23FR,ccgtGasBackProLow,capaConvResi,0.37024,,
2045,23FR,ccgtGasBackProLow,capaConvResi,0.18512,,
2020,23FR,coalBoilerProLow,capaConvResi,0.07832,,
2025,23FR,coalBoilerProLow,capaConvResi,0.06527,,
2030,23FR,coalBoilerProLow,capaConvResi,0.05221,,
2035,23FR,coalBoilerProLow,capaConvResi,0.03916,,
2040,23FR,coalBoilerProLow,capaConvResi,0.0261,,
2045,23FR,coalBoilerProLow,capaConvResi,0.01305,,
2020,23FR,districtHeatPro,capaConvResi,0.12258,,
2025,23FR,districtHeatPro,capaConvResi,0.10215,,
2030,23FR,districtHeatPro,capaConvResi,0.08172,,
2035,23FR,districtHeatPro,capaConvResi,0.06129,,
2040,23FR,districtHeatPro,capaConvResi,0.04086,,
2045,23FR,districtHeatPro,capaConvResi,0.02043,,
2020,23FR,gasBoilerProLow,capaConvResi,0.71268,,
2025,23FR,gasBoilerProLow,capaConvResi,0.5939,,
2030,23FR,gasBoilerProLow,capaConvResi,0.47512,,
2035,23FR,gasBoilerProLow,capaConvResi,0.35634,,
2040,23FR,gasBoilerProLow,capaConvResi,0.23756,,
2045,23FR,gasBoilerProLow,capaConvResi,0.11878,,
2020,23FR,eBoilerProLow,capaConvResi,0.04014,,
2025,23FR,eBoilerProLow,capaConvResi,0.03345,,
2030,23FR,eBoilerProLow,capaConvResi,0.02676,,
2035,23FR,eBoilerProLow,capaConvResi,0.02007,,
2040,23FR,eBoilerProLow,capaConvResi,0.01338,,
2045,23FR,eBoilerProLow,capaConvResi,0.00669,,
2020,23FR,gasEngineProLow,capaConvResi,0.38808,,
2025,23FR,gasEngineProLow,capaConvResi,0.3234,,
2030,23FR,gasEngineProLow,capaConvResi,0.25872,,
2035,23FR,gasEngineProLow,capaConvResi,0.19404,,
2040,23FR,gasEngineProLow,capaConvResi,0.12936,,
2045,23FR,gasEngineProLow,capaConvResi,0.06468,,
2020,23FR,oilBoilerProLow,capaConvResi,0.18316,,
2025,23FR,oilBoilerProLow,capaConvResi,0.15263,,
2030,23FR,oilBoilerProLow,capaConvResi,0.1221,,
2035,23FR,oilBoilerProLow,capaConvResi,0.09158,,
2040,23FR,oilBoilerProLow,capaConvResi,0.06105,,
2045,23FR,oilBoilerProLow,capaConvResi,0.03052,,
2020,23FR,hardcoalPlantProLowStock,capaConvResi,0.11169,,
2025,23FR,hardcoalPlantProLowStock,capaConvResi,0.09307,,
2030,23FR,hardcoalPlantProLowStock,capaConvResi,0.07446,,
2035,23FR,hardcoalPlantProLowStock,capaConvResi,0.05584,,
2040,23FR,hardcoalPlantProLowStock,capaConvResi,0.03723,,
2045,23FR,hardcoalPlantProLowStock,capaConvResi,0.01861,,
2020,23FR,oilPlantProLowStock,capaConvResi,0.05407,,
2025,23FR,oilPlantProLowStock,capaConvResi,0.04506,,
2030,23FR,oilPlantProLowStock,capaConvResi,0.03605,,
2035,23FR,oilPlantProLowStock,capaConvResi,0.02703,,
2040,23FR,oilPlantProLowStock,capaConvResi,0.01802,,
2045,23FR,oilPlantProLowStock,capaConvResi,0.00901,,
2020,23FR,bioBoilerProMed,capaConvResi,0.29323,,
2025,23FR,bioBoilerProMed,capaConvResi,0.24436,,
2030,23FR,bioBoilerProMed,capaConvResi,0.19549,,
2035,23FR,bioBoilerProMed,capaConvResi,0.14661,,
2040,23FR,bioBoilerProMed,capaConvResi,0.09774,,
2045,23FR,bioBoilerProMed,capaConvResi,0.04887,,
2020,23FR,bioGasEngineProMed,capaConvResi,0.43514,,
2025,23FR,bioGasEngineProMed,capaConvResi,0.36262,,
2030,23FR,bioGasEngineProMed,capaConvResi,0.29009,,
2035,23FR,bioGasEngineProMed,capaConvResi,0.21757,,
2040,23FR,bioGasEngineProMed,capaConvResi,0.14504,,
2045,23FR,bioGasEngineProMed,capaConvResi,0.07252,,
2020,23FR,ccgtGasBackProMed,capaConvResi,1.14421,,
2025,23FR,ccgtGasBackProMed,capaConvResi,0.9535,,
2030,23FR,ccgtGasBackProMed,capaConvResi,0.7628,,
2035,23FR,ccgtGasBackProMed,capaConvResi,0.5721,,
2040,23FR,ccgtGasBackProMed,capaConvResi,0.3814,,
2045,23FR,ccgtGasBackProMed,capaConvResi,0.1907,,
2020,23FR,coalBoilerProMed,capaConvResi,0.24998,,
2025,23FR,coalBoilerProMed,capaConvResi,0.20832,,
2030,23FR,coalBoilerProMed,capaConvResi,0.16665,,
2035,23FR,coalBoilerProMed,capaConvResi,0.12499,,
2040,23FR,coalBoilerProMed,capaConvResi,0.08332,,
2045,23FR,coalBoilerProMed,capaConvResi,0.04166,,
2020,23FR,eBoilerProMed,capaConvResi,0.09809,,
2025,23FR,eBoilerProMed,capaConvResi,0.08174,,
2030,23FR,eBoilerProMed,capaConvResi,0.06539,,
2035,23FR,eBoilerProMed,capaConvResi,0.04904,,
2040,23FR,eBoilerProMed,capaConvResi,0.03269,,
2045,23FR,eBoilerProMed,capaConvResi,0.01634,,
2020,23FR,gasBoilerProMed,capaConvResi,0.80586,,
2025,23FR,gasBoilerProMed,capaConvResi,0.67155,,
2030,23FR,gasBoilerProMed,capaConvResi,0.53724,,
2035,23FR,gasBoilerProMed,capaConvResi,0.40293,,
2040,23FR,gasBoilerProMed,capaConvResi,0.26862,,
2045,23FR,gasBoilerProMed,capaConvResi,0.13431,,
2020,23FR,gasEngineProMed,capaConvResi,0.39978,,
2025,23FR,gasEngineProMed,capaConvResi,0.33315,,
2030,23FR,gasEngineProMed,capaConvResi,0.26652,,
2035,23FR,gasEngineProMed,capaConvResi,0.19989,,
2040,23FR,gasEngineProMed,capaConvResi,0.13326,,
2045,23FR,gasEngineProMed,capaConvResi,0.06663,,
2020,23FR,oilBoilerProMed,capaConvResi,0.52414,,
2025,23FR,oilBoilerProMed,capaConvResi,0.43679,,
2030,23FR,oilBoilerProMed,capaConvResi,0.34943,,
2035,23FR,oilBoilerProMed,capaConvResi,0.26207,,
2040,23FR,oilBoilerProMed,capaConvResi,0.17471,,
2045,23FR,oilBoilerProMed,capaConvResi,0.08735,,
2020,23FR,hardcoalPlantProMedStock,capaConvResi,0.35648,,
2025,23FR,hardcoalPlantProMedStock,capaConvResi,0.29706,,
2030,23FR,hardcoalPlantProMedStock,capaConvResi,0.23765,,
2035,23FR,hardcoalPlantProMedStock,capaConvResi,0.17824,,
2040,23FR,hardcoalPlantProMedStock,capaConvResi,0.11882,,
2045,23FR,hardcoalPlantProMedStock,capaConvResi,0.05941,,
2020,23FR,oilPlantProMedStock,capaConvResi,0.10734,,
2025,23FR,oilPlantProMedStock,capaConvResi,0.08945,,
2030,23FR,oilPlantProMedStock,capaConvResi,0.07156,,
2035,23FR,oilPlantProMedStock,capaConvResi,0.05367,,
2040,23FR,oilPlantProMedStock,capaConvResi,0.03578,,
2045,23FR,oilPlantProMedStock,capaConvResi,0.01789,,
2020,23FR,districtHeatSpace,capaConvResi,2.00279,,
2025,23FR,districtHeatSpace,capaConvResi,1.44296,,
2030,23FR,districtHeatSpace,capaConvResi,0.95648,,
2035,23FR,districtHeatSpace,capaConvResi,0.57931,,
2040,23FR,districtHeatSpace,capaConvResi,0.26048,,
2020,23FR,bioBoilerSpaceStock,capaConvResi,7.10473,,
2025,23FR,bioBoilerSpaceStock,capaConvResi,5.11879,,
2030,23FR,bioBoilerSpaceStock,capaConvResi,3.39305,,
2035,23FR,bioBoilerSpaceStock,capaConvResi,2.05507,,
2040,23FR,bioBoilerSpaceStock,capaConvResi,0.92406,,
2020,23FR,gasBoilerSpaceStock,capaConvResi,18.83908,,
2025,23FR,gasBoilerSpaceStock,capaConvResi,13.57311,,
2030,23FR,gasBoilerSpaceStock,capaConvResi,8.99709,,
2035,23FR,gasBoilerSpaceStock,capaConvResi,5.44929,,
2040,23FR,gasBoilerSpaceStock,capaConvResi,2.45026,,
2020,23FR,oilLiquidBoilerSpaceStock,capaConvResi,8.16517,,
2025,23FR,oilLiquidBoilerSpaceStock,capaConvResi,5.88281,,
2030,23FR,oilLiquidBoilerSpaceStock,capaConvResi,3.89949,,
2035,23FR,oilLiquidBoilerSpaceStock,capaConvResi,2.36181,,
2040,23FR,oilLiquidBoilerSpaceStock,capaConvResi,1.06198,,
2020,23FR,resistiveHeatSpaceStock,capaConvResi,6.69344,,
2025,23FR,resistiveHeatSpaceStock,capaConvResi,4.82246,,
2030,23FR,resistiveHeatSpaceStock,capaConvResi,3.19662,,
2035,23FR,resistiveHeatSpaceStock,capaConvResi,1.93611,,
2040,23FR,resistiveHeatSpaceStock,capaConvResi,0.87056,,
2020,23FR,coalBoilerSpaceStock,capaConvResi,0.15936,,
2025,23FR,coalBoilerSpaceStock,capaConvResi,0.11481,,
2030,23FR,coalBoilerSpaceStock,capaConvResi,0.0761,,
2035,23FR,coalBoilerSpaceStock,capaConvResi,0.04609,,
2040,23FR,coalBoilerSpaceStock,capaConvResi,0.02072,,
2020,23FR,heatpumpAirSpace,capaConvResi,0.55936,,
2025,23FR,heatpumpAirSpace,capaConvResi,0.40301,,
2030,23FR,heatpumpAirSpace,capaConvResi,0.26714,,
2035,23FR,heatpumpAirSpace,capaConvResi,0.1618,,
2040,23FR,heatpumpAirSpace,capaConvResi,0.07275,,
2020,24FR,coalBoilerProHigh,capaConvResi,0.08511,,
2025,24FR,coalBoilerProHigh,capaConvResi,0.07092,,
2030,24FR,coalBoilerProHigh,capaConvResi,0.05674,,
2035,24FR,coalBoilerProHigh,capaConvResi,0.04255,,
2040,24FR,coalBoilerProHigh,capaConvResi,0.02837,,
2045,24FR,coalBoilerProHigh,capaConvResi,0.01418,,
2020,24FR,eBoilerProHigh,capaConvResi,0.00924,,
2025,24FR,eBoilerProHigh,capaConvResi,0.0077,,
2030,24FR,eBoilerProHigh,capaConvResi,0.00616,,
2035,24FR,eBoilerProHigh,capaConvResi,0.00462,,
2040,24FR,eBoilerProHigh,capaConvResi,0.00308,,
2045,24FR,eBoilerProHigh,capaConvResi,0.00154,,
2020,24FR,gasBoilerProHigh,capaConvResi,0.08204,,
2025,24FR,gasBoilerProHigh,capaConvResi,0.06837,,
2030,24FR,gasBoilerProHigh,capaConvResi,0.05469,,
2035,24FR,gasBoilerProHigh,capaConvResi,0.04102,,
2040,24FR,gasBoilerProHigh,capaConvResi,0.02734,,
2045,24FR,gasBoilerProHigh,capaConvResi,0.01367,,
2020,24FR,oilBoilerProHigh,capaConvResi,0.05218,,
2025,24FR,oilBoilerProHigh,capaConvResi,0.04348,,
2030,24FR,oilBoilerProHigh,capaConvResi,0.03478,,
2035,24FR,oilBoilerProHigh,capaConvResi,0.02609,,
2040,24FR,oilBoilerProHigh,capaConvResi,0.01739,,
2045,24FR,oilBoilerProHigh,capaConvResi,0.00869,,
2020,24FR,bioBoilerProLow,capaConvResi,0.00562,,
2025,24FR,bioBoilerProLow,capaConvResi,0.00468,,
2030,24FR,bioBoilerProLow,capaConvResi,0.00375,,
2035,24FR,bioBoilerProLow,capaConvResi,0.00281,,
2040,24FR,bioBoilerProLow,capaConvResi,0.00187,,
2045,24FR,bioBoilerProLow,capaConvResi,0.00093,,
2020,24FR,ccgtGasBackProLow,capaConvResi,0.06488,,
2025,24FR,ccgtGasBackProLow,capaConvResi,0.05407,,
2030,24FR,ccgtGasBackProLow,capaConvResi,0.04325,,
2035,24FR,ccgtGasBackProLow,capaConvResi,0.03244,,
2040,24FR,ccgtGasBackProLow,capaConvResi,0.02162,,
2045,24FR,ccgtGasBackProLow,capaConvResi,0.01081,,
2020,24FR,coalBoilerProLow,capaConvResi,0.00457,,
2025,24FR,coalBoilerProLow,capaConvResi,0.00381,,
2030,24FR,coalBoilerProLow,capaConvResi,0.00305,,
2035,24FR,coalBoilerProLow,capaConvResi,0.00228,,
2040,24FR,coalBoilerProLow,capaConvResi,0.00152,,
2045,24FR,coalBoilerProLow,capaConvResi,0.00076,,
2020,24FR,districtHeatPro,capaConvResi,0.00716,,
2025,24FR,districtHeatPro,capaConvResi,0.00596,,
2030,24FR,districtHeatPro,capaConvResi,0.00477,,
2035,24FR,districtHeatPro,capaConvResi,0.00358,,
2040,24FR,districtHeatPro,capaConvResi,0.00238,,
2045,24FR,districtHeatPro,capaConvResi,0.00119,,
2020,24FR,gasBoilerProLow,capaConvResi,0.04163,,
2025,24FR,gasBoilerProLow,capaConvResi,0.03469,,
2030,24FR,gasBoilerProLow,capaConvResi,0.02775,,
2035,24FR,gasBoilerProLow,capaConvResi,0.02081,,
2040,24FR,gasBoilerProLow,capaConvResi,0.01387,,
2045,24FR,gasBoilerProLow,capaConvResi,0.00693,,
2020,24FR,eBoilerProLow,capaConvResi,0.00234,,
2025,24FR,eBoilerProLow,capaConvResi,0.00195,,
2030,24FR,eBoilerProLow,capaConvResi,0.00156,,
2035,24FR,eBoilerProLow,capaConvResi,0.00117,,
2040,24FR,eBoilerProLow,capaConvResi,0.00078,,
2045,24FR,eBoilerProLow,capaConvResi,0.00039,,
2020,24FR,gasEngineProLow,capaConvResi,0.02267,,
2025,24FR,gasEngineProLow,capaConvResi,0.01889,,
2030,24FR,gasEngineProLow,capaConvResi,0.01511,,
2035,24FR,gasEngineProLow,capaConvResi,0.01133,,
2040,24FR,gasEngineProLow,capaConvResi,0.00755,,
2045,24FR,gasEngineProLow,capaConvResi,0.00377,,
2020,24FR,oilBoilerProLow,capaConvResi,0.0107,,
2025,24FR,oilBoilerProLow,capaConvResi,0.00891,,
2030,24FR,oilBoilerProLow,capaConvResi,0.00713,,
2035,24FR,oilBoilerProLow,capaConvResi,0.00535,,
2040,24FR,oilBoilerProLow,capaConvResi,0.00356,,
2045,24FR,oilBoilerProLow,capaConvResi,0.00178,,
2020,24FR,hardcoalPlantProLowStock,capaConvResi,0.00652,,
2025,24FR,hardcoalPlantProLowStock,capaConvResi,0.00543,,
2030,24FR,hardcoalPlantProLowStock,capaConvResi,0.00435,,
2035,24FR,hardcoalPlantProLowStock,capaConvResi,0.00326,,
2040,24FR,hardcoalPlantProLowStock,capaConvResi,0.00217,,
2045,24FR,hardcoalPlantProLowStock,capaConvResi,0.00108,,
2020,24FR,oilPlantProLowStock,capaConvResi,0.00315,,
2025,24FR,oilPlantProLowStock,capaConvResi,0.00263,,
2030,24FR,oilPlantProLowStock,capaConvResi,0.0021,,
2035,24FR,oilPlantProLowStock,capaConvResi,0.00157,,
2040,24FR,oilPlantProLowStock,capaConvResi,0.00105,,
2045,24FR,oilPlantProLowStock,capaConvResi,0.00052,,
2020,24FR,bioBoilerProMed,capaConvResi,0.01446,,
2025,24FR,bioBoilerProMed,capaConvResi,0.01205,,
2030,24FR,bioBoilerProMed,capaConvResi,0.00964,,
2035,24FR,bioBoilerProMed,capaConvResi,0.00723,,
2040,24FR,bioBoilerProMed,capaConvResi,0.00482,,
2045,24FR,bioBoilerProMed,capaConvResi,0.00241,,
2020,24FR,bioGasEngineProMed,capaConvResi,0.02145,,
2025,24FR,bioGasEngineProMed,capaConvResi,0.01788,,
2030,24FR,bioGasEngineProMed,capaConvResi,0.0143,,
2035,24FR,bioGasEngineProMed,capaConvResi,0.01072,,
2040,24FR,bioGasEngineProMed,capaConvResi,0.00715,,
2045,24FR,bioGasEngineProMed,capaConvResi,0.00357,,
2020,24FR,ccgtGasBackProMed,capaConvResi,0.05642,,
2025,24FR,ccgtGasBackProMed,capaConvResi,0.04702,,
2030,24FR,ccgtGasBackProMed,capaConvResi,0.03761,,
2035,24FR,ccgtGasBackProMed,capaConvResi,0.02821,,
2040,24FR,ccgtGasBackProMed,capaConvResi,0.0188,,
2045,24FR,ccgtGasBackProMed,capaConvResi,0.0094,,
2020,24FR,coalBoilerProMed,capaConvResi,0.01232,,
2025,24FR,coalBoilerProMed,capaConvResi,0.01027,,
2030,24FR,coalBoilerProMed,capaConvResi,0.00821,,
2035,24FR,coalBoilerProMed,capaConvResi,0.00616,,
2040,24FR,coalBoilerProMed,capaConvResi,0.0041,,
2045,24FR,coalBoilerProMed,capaConvResi,0.00205,,
2020,24FR,eBoilerProMed,capaConvResi,0.00483,,
2025,24FR,eBoilerProMed,capaConvResi,0.00403,,
2030,24FR,eBoilerProMed,capaConvResi,0.00322,,
2035,24FR,eBoilerProMed,capaConvResi,0.00241,,
2040,24FR,eBoilerProMed,capaConvResi,0.00161,,
2045,24FR,eBoilerProMed,capaConvResi,0.0008,,
2020,24FR,gasBoilerProMed,capaConvResi,0.03974,,
2025,24FR,gasBoilerProMed,capaConvResi,0.03311,,
2030,24FR,gasBoilerProMed,capaConvResi,0.02649,,
2035,24FR,gasBoilerProMed,capaConvResi,0.01987,,
2040,24FR,gasBoilerProMed,capaConvResi,0.01324,,
2045,24FR,gasBoilerProMed,capaConvResi,0.00662,,
2020,24FR,gasEngineProMed,capaConvResi,0.01971,,
2025,24FR,gasEngineProMed,capaConvResi,0.01642,,
2030,24FR,gasEngineProMed,capaConvResi,0.01314,,
2035,24FR,gasEngineProMed,capaConvResi,0.00985,,
2040,24FR,gasEngineProMed,capaConvResi,0.00657,,
2045,24FR,gasEngineProMed,capaConvResi,0.00328,,
2020,24FR,oilBoilerProMed,capaConvResi,0.02584,,
2025,24FR,oilBoilerProMed,capaConvResi,0.02154,,
2030,24FR,oilBoilerProMed,capaConvResi,0.01723,,
2035,24FR,oilBoilerProMed,capaConvResi,0.01292,,
2040,24FR,oilBoilerProMed,capaConvResi,0.00861,,
2045,24FR,oilBoilerProMed,capaConvResi,0.0043,,
2020,24FR,hardcoalPlantProMedStock,capaConvResi,0.01757,,
2025,24FR,hardcoalPlantProMedStock,capaConvResi,0.01464,,
2030,24FR,hardcoalPlantProMedStock,capaConvResi,0.01171,,
2035,24FR,hardcoalPlantProMedStock,capaConvResi,0.00878,,
2040,24FR,hardcoalPlantProMedStock,capaConvResi,0.00585,,
2045,24FR,hardcoalPlantProMedStock,capaConvResi,0.00292,,
2020,24FR,oilPlantProMedStock,capaConvResi,0.00529,,
2025,24FR,oilPlantProMedStock,capaConvResi,0.00441,,
2030,24FR,oilPlantProMedStock,capaConvResi,0.00352,,
2035,24FR,oilPlantProMedStock,capaConvResi,0.00264,,
2040,24FR,oilPlantProMedStock,capaConvResi,0.00176,,
2045,24FR,oilPlantProMedStock,capaConvResi,0.00088,,
2020,24FR,districtHeatSpace,capaConvResi,0.3483,,
2025,24FR,districtHeatSpace,capaConvResi,0.25094,,
2030,24FR,districtHeatSpace,capaConvResi,0.16634,,
2035,24FR,districtHeatSpace,capaConvResi,0.10075,,
2040,24FR,districtHeatSpace,capaConvResi,0.0453,,
2020,24FR,bioBoilerSpaceStock,capaConvResi,1.23559,,
2025,24FR,bioBoilerSpaceStock,capaConvResi,0.89021,,
2030,24FR,bioBoilerSpaceStock,capaConvResi,0.59009,,
2035,24FR,bioBoilerSpaceStock,capaConvResi,0.3574,,
2040,24FR,bioBoilerSpaceStock,capaConvResi,0.1607,,
2020,24FR,gasBoilerSpaceStock,capaConvResi,3.27634,,
2025,24FR,gasBoilerSpaceStock,capaConvResi,2.36052,,
2030,24FR,gasBoilerSpaceStock,capaConvResi,1.5647,,
2035,24FR,gasBoilerSpaceStock,capaConvResi,0.94769,,
2040,24FR,gasBoilerSpaceStock,capaConvResi,0.42613,,
2020,24FR,oilLiquidBoilerSpaceStock,capaConvResi,1.42002,,
2025,24FR,oilLiquidBoilerSpaceStock,capaConvResi,1.02309,,
2030,24FR,oilLiquidBoilerSpaceStock,capaConvResi,0.67816,,
2035,24FR,oilLiquidBoilerSpaceStock,capaConvResi,0.41074,,
2040,24FR,oilLiquidBoilerSpaceStock,capaConvResi,0.18469,,
2020,24FR,resistiveHeatSpaceStock,capaConvResi,1.16406,,
2025,24FR,resistiveHeatSpaceStock,capaConvResi,0.83868,,
2030,24FR,resistiveHeatSpaceStock,capaConvResi,0.55593,,
2035,24FR,resistiveHeatSpaceStock,capaConvResi,0.33671,,
2040,24FR,resistiveHeatSpaceStock,capaConvResi,0.1514,,
2020,24FR,coalBoilerSpaceStock,capaConvResi,0.02771,,
2025,24FR,coalBoilerSpaceStock,capaConvResi,0.01996,,
2030,24FR,coalBoilerSpaceStock,capaConvResi,0.01323,,
2035,24FR,coalBoilerSpaceStock,capaConvResi,0.00801,,
2040,24FR,coalBoilerSpaceStock,capaConvResi,0.0036,,
2020,24FR,heatpumpAirSpace,capaConvResi,0.09739,,
2025,24FR,heatpumpAirSpace,capaConvResi,0.07017,,
2030,24FR,heatpumpAirSpace,capaConvResi,0.04651,,
2035,24FR,heatpumpAirSpace,capaConvResi,0.02817,,
2040,24FR,heatpumpAirSpace,capaConvResi,0.01266,,
2020,25FR,coalBoilerProHigh,capaConvResi,0.16102,,
2025,25FR,coalBoilerProHigh,capaConvResi,0.13419,,
2030,25FR,coalBoilerProHigh,capaConvResi,0.10735,,
2035,25FR,coalBoilerProHigh,capaConvResi,0.08051,,
2040,25FR,coalBoilerProHigh,capaConvResi,0.05367,,
2045,25FR,coalBoilerProHigh,capaConvResi,0.02683,,
2020,25FR,eBoilerProHigh,capaConvResi,0.01748,,
2025,25FR,eBoilerProHigh,capaConvResi,0.01457,,
2030,25FR,eBoilerProHigh,capaConvResi,0.01165,,
2035,25FR,eBoilerProHigh,capaConvResi,0.00874,,
2040,25FR,eBoilerProHigh,capaConvResi,0.00582,,
2045,25FR,eBoilerProHigh,capaConvResi,0.00291,,
2020,25FR,gasBoilerProHigh,capaConvResi,0.15522,,
2025,25FR,gasBoilerProHigh,capaConvResi,0.12935,,
2030,25FR,gasBoilerProHigh,capaConvResi,0.10348,,
2035,25FR,gasBoilerProHigh,capaConvResi,0.07761,,
2040,25FR,gasBoilerProHigh,capaConvResi,0.05174,,
2045,25FR,gasBoilerProHigh,capaConvResi,0.02587,,
2020,25FR,oilBoilerProHigh,capaConvResi,0.09872,,
2025,25FR,oilBoilerProHigh,capaConvResi,0.08227,,
2030,25FR,oilBoilerProHigh,capaConvResi,0.06581,,
2035,25FR,oilBoilerProHigh,capaConvResi,0.04936,,
2040,25FR,oilBoilerProHigh,capaConvResi,0.0329,,
2045,25FR,oilBoilerProHigh,capaConvResi,0.01645,,
2020,25FR,bioBoilerProLow,capaConvResi,0.01697,,
2025,25FR,bioBoilerProLow,capaConvResi,0.01414,,
2030,25FR,bioBoilerProLow,capaConvResi,0.01131,,
2035,25FR,bioBoilerProLow,capaConvResi,0.00848,,
2040,25FR,bioBoilerProLow,capaConvResi,0.00565,,
2045,25FR,bioBoilerProLow,capaConvResi,0.00282,,
2020,25FR,ccgtGasBackProLow,capaConvResi,0.19579,,
2025,25FR,ccgtGasBackProLow,capaConvResi,0.16316,,
2030,25FR,ccgtGasBackProLow,capaConvResi,0.13052,,
2035,25FR,ccgtGasBackProLow,capaConvResi,0.09789,,
2040,25FR,ccgtGasBackProLow,capaConvResi,0.06526,,
2045,25FR,ccgtGasBackProLow,capaConvResi,0.03263,,
2020,25FR,coalBoilerProLow,capaConvResi,0.0138,,
2025,25FR,coalBoilerProLow,capaConvResi,0.0115,,
2030,25FR,coalBoilerProLow,capaConvResi,0.0092,,
2035,25FR,coalBoilerProLow,capaConvResi,0.0069,,
2040,25FR,coalBoilerProLow,capaConvResi,0.0046,,
2045,25FR,coalBoilerProLow,capaConvResi,0.0023,,
2020,25FR,districtHeatPro,capaConvResi,0.0216,,
2025,25FR,districtHeatPro,capaConvResi,0.018,,
2030,25FR,districtHeatPro,capaConvResi,0.0144,,
2035,25FR,districtHeatPro,capaConvResi,0.0108,,
2040,25FR,districtHeatPro,capaConvResi,0.0072,,
2045,25FR,districtHeatPro,capaConvResi,0.0036,,
2020,25FR,gasBoilerProLow,capaConvResi,0.12562,,
2025,25FR,gasBoilerProLow,capaConvResi,0.10469,,
2030,25FR,gasBoilerProLow,capaConvResi,0.08375,,
2035,25FR,gasBoilerProLow,capaConvResi,0.06281,,
2040,25FR,gasBoilerProLow,capaConvResi,0.04187,,
2045,25FR,gasBoilerProLow,capaConvResi,0.02093,,
2020,25FR,eBoilerProLow,capaConvResi,0.00707,,
2025,25FR,eBoilerProLow,capaConvResi,0.00589,,
2030,25FR,eBoilerProLow,capaConvResi,0.00471,,
2035,25FR,eBoilerProLow,capaConvResi,0.00353,,
