timestep_2,region_4,technology_3,parameter,value,source,see heatInputs
2020,01ES,gasEngineProLow,capaConvResi,0.17428,,
2025,01ES,gasEngineProLow,capaConvResi,0.14523,,
2030,01ES,gasEngineProLow,capaConvResi,0.11618,,
2035,01ES,gasEngineProLow,capaConvResi,0.08714,,
2040,01ES,gasEngineProLow,capaConvResi,0.05809,,
2045,01ES,gasEngineProLow,capaConvResi,0.02904,,
2020,01ES,oilBoilerProLow,capaConvResi,0.01622,,
2025,01ES,oilBoilerProLow,capaConvResi,0.01352,,
2030,01ES,oilBoilerProLow,capaConvResi,0.01081,,
2035,01ES,oilBoilerProLow,capaConvResi,0.00811,,
2040,01ES,oilBoilerProLow,capaConvResi,0.0054,,
2045,01ES,oilBoilerProLow,capaConvResi,0.0027,,
2020,01ES,oilPlantProLowStock,capaConvResi,0.01197,,
2025,01ES,oilPlantProLowStock,capaConvResi,0.00998,,
2030,01ES,oilPlantProLowStock,capaConvResi,0.00798,,
2035,01ES,oilPlantProLowStock,capaConvResi,0.00598,,
2040,01ES,oilPlantProLowStock,capaConvResi,0.00399,,
2045,01ES,oilPlantProLowStock,capaConvResi,0.00199,,
2020,01ES,bioBoilerProMed,capaConvResi,0.0193,,
2025,01ES,bioBoilerProMed,capaConvResi,0.01608,,
2030,01ES,bioBoilerProMed,capaConvResi,0.01286,,
2035,01ES,bioBoilerProMed,capaConvResi,0.00965,,
2040,01ES,bioBoilerProMed,capaConvResi,0.00643,,
2045,01ES,bioBoilerProMed,capaConvResi,0.00321,,
2020,01ES,bioGasEngineProMed,capaConvResi,0.08506,,
2025,01ES,bioGasEngineProMed,capaConvResi,0.07088,,
2030,01ES,bioGasEngineProMed,capaConvResi,0.0567,,
2035,01ES,bioGasEngineProMed,capaConvResi,0.04253,,
2040,01ES,bioGasEngineProMed,capaConvResi,0.02835,,
2045,01ES,bioGasEngineProMed,capaConvResi,0.01417,,
2020,01ES,ccgtGasBackProMed,capaConvResi,0.00814,,
2025,01ES,ccgtGasBackProMed,capaConvResi,0.00679,,
2030,01ES,ccgtGasBackProMed,capaConvResi,0.00543,,
2035,01ES,ccgtGasBackProMed,capaConvResi,0.00407,,
2040,01ES,ccgtGasBackProMed,capaConvResi,0.00271,,
2045,01ES,ccgtGasBackProMed,capaConvResi,0.00135,,
2020,01ES,coalBoilerProMed,capaConvResi,0.00681,,
2025,01ES,coalBoilerProMed,capaConvResi,0.00568,,
2030,01ES,coalBoilerProMed,capaConvResi,0.00454,,
2035,01ES,coalBoilerProMed,capaConvResi,0.0034,,
2040,01ES,coalBoilerProMed,capaConvResi,0.00227,,
2045,01ES,coalBoilerProMed,capaConvResi,0.00113,,
2020,01ES,eBoilerProMed,capaConvResi,0.01026,,
2025,01ES,eBoilerProMed,capaConvResi,0.00855,,
2030,01ES,eBoilerProMed,capaConvResi,0.00684,,
2035,01ES,eBoilerProMed,capaConvResi,0.00513,,
2040,01ES,eBoilerProMed,capaConvResi,0.00342,,
2045,01ES,eBoilerProMed,capaConvResi,0.00171,,
2020,01ES,gasBoilerProMed,capaConvResi,0.05291,,
2025,01ES,gasBoilerProMed,capaConvResi,0.04409,,
2030,01ES,gasBoilerProMed,capaConvResi,0.03527,,
2035,01ES,gasBoilerProMed,capaConvResi,0.02645,,
2040,01ES,gasBoilerProMed,capaConvResi,0.01763,,
2045,01ES,gasBoilerProMed,capaConvResi,0.00881,,
2020,01ES,gasEngineProMed,capaConvResi,0.27013,,
2025,01ES,gasEngineProMed,capaConvResi,0.22511,,
2030,01ES,gasEngineProMed,capaConvResi,0.18009,,
2035,01ES,gasEngineProMed,capaConvResi,0.13506,,
2040,01ES,gasEngineProMed,capaConvResi,0.09004,,
2045,01ES,gasEngineProMed,capaConvResi,0.04502,,
2020,01ES,oilBoilerProMed,capaConvResi,0.0492,,
2025,01ES,oilBoilerProMed,capaConvResi,0.041,,
2030,01ES,oilBoilerProMed,capaConvResi,0.0328,,
2035,01ES,oilBoilerProMed,capaConvResi,0.0246,,
2040,01ES,oilBoilerProMed,capaConvResi,0.0164,,
2045,01ES,oilBoilerProMed,capaConvResi,0.0082,,
2020,01ES,hardcoalPlantProMedStock,capaConvResi,0.02061,,
2025,01ES,hardcoalPlantProMedStock,capaConvResi,0.01717,,
2030,01ES,hardcoalPlantProMedStock,capaConvResi,0.01374,,
2035,01ES,hardcoalPlantProMedStock,capaConvResi,0.0103,,
2040,01ES,hardcoalPlantProMedStock,capaConvResi,0.00687,,
2045,01ES,hardcoalPlantProMedStock,capaConvResi,0.00343,,
2020,01ES,oilPlantProMedStock,capaConvResi,0.02181,,
2025,01ES,oilPlantProMedStock,capaConvResi,0.01817,,
2030,01ES,oilPlantProMedStock,capaConvResi,0.01454,,
2035,01ES,oilPlantProMedStock,capaConvResi,0.0109,,
2040,01ES,oilPlantProMedStock,capaConvResi,0.00727,,
2045,01ES,oilPlantProMedStock,capaConvResi,0.00363,,
2020,01ES,districtHeatSpace,capaConvResi,0.02395,,
2025,01ES,districtHeatSpace,capaConvResi,0.01386,,
2030,01ES,districtHeatSpace,capaConvResi,0.00918,,
2035,01ES,districtHeatSpace,capaConvResi,0.00556,,
2040,01ES,districtHeatSpace,capaConvResi,0.0025,,
2020,01ES,bioBoilerSpaceStock,capaConvResi,1.1168,,
2025,01ES,bioBoilerSpaceStock,capaConvResi,0.64631,,
2030,01ES,bioBoilerSpaceStock,capaConvResi,0.42841,,
2035,01ES,bioBoilerSpaceStock,capaConvResi,0.25948,,
2040,01ES,bioBoilerSpaceStock,capaConvResi,0.11667,,
2020,01ES,gasBoilerSpaceStock,capaConvResi,2.44973,,
2025,01ES,gasBoilerSpaceStock,capaConvResi,1.4177,,
2030,01ES,gasBoilerSpaceStock,capaConvResi,0.93974,,
2035,01ES,gasBoilerSpaceStock,capaConvResi,0.56917,,
2040,01ES,gasBoilerSpaceStock,capaConvResi,0.25592,,
2020,01ES,oilLiquidBoilerSpaceStock,capaConvResi,1.63292,,
2025,01ES,oilLiquidBoilerSpaceStock,capaConvResi,0.945,,
2030,01ES,oilLiquidBoilerSpaceStock,capaConvResi,0.6264,,
2035,01ES,oilLiquidBoilerSpaceStock,capaConvResi,0.37939,,
2040,01ES,oilLiquidBoilerSpaceStock,capaConvResi,0.17059,,
2020,01ES,resistiveHeatSpaceStock,capaConvResi,0.66355,,
2025,01ES,resistiveHeatSpaceStock,capaConvResi,0.38401,,
2030,01ES,resistiveHeatSpaceStock,capaConvResi,0.25454,,
2035,01ES,resistiveHeatSpaceStock,capaConvResi,0.15417,,
2040,01ES,resistiveHeatSpaceStock,capaConvResi,0.06932,,
2020,01ES,coalBoilerSpaceStock,capaConvResi,0.03586,,
2025,01ES,coalBoilerSpaceStock,capaConvResi,0.02075,,
2030,01ES,coalBoilerSpaceStock,capaConvResi,0.01375,,
2035,01ES,coalBoilerSpaceStock,capaConvResi,0.00833,,
2040,01ES,coalBoilerSpaceStock,capaConvResi,0.00374,,
2020,01ES,heatpumpAirSpace,capaConvResi,0.01979,,
2025,01ES,heatpumpAirSpace,capaConvResi,0.01145,,
2030,01ES,heatpumpAirSpace,capaConvResi,0.00759,,
2035,01ES,heatpumpAirSpace,capaConvResi,0.00459,,
2040,01ES,heatpumpAirSpace,capaConvResi,0.00206,,
2020,02ES,coalBoilerProHigh,capaConvResi,0.05415,,
2025,02ES,coalBoilerProHigh,capaConvResi,0.04512,,
2030,02ES,coalBoilerProHigh,capaConvResi,0.0361,,
2035,02ES,coalBoilerProHigh,capaConvResi,0.02707,,
2040,02ES,coalBoilerProHigh,capaConvResi,0.01805,,
2045,02ES,coalBoilerProHigh,capaConvResi,0.00902,,
2020,02ES,eBoilerProHigh,capaConvResi,0.03056,,
2025,02ES,eBoilerProHigh,capaConvResi,0.02546,,
2030,02ES,eBoilerProHigh,capaConvResi,0.02037,,
2035,02ES,eBoilerProHigh,capaConvResi,0.01528,,
2040,02ES,eBoilerProHigh,capaConvResi,0.01018,,
2045,02ES,eBoilerProHigh,capaConvResi,0.00509,,
2020,02ES,gasBoilerProHigh,capaConvResi,0.22773,,
2025,02ES,gasBoilerProHigh,capaConvResi,0.18977,,
2030,02ES,gasBoilerProHigh,capaConvResi,0.15182,,
2035,02ES,gasBoilerProHigh,capaConvResi,0.11386,,
2040,02ES,gasBoilerProHigh,capaConvResi,0.07591,,
2045,02ES,gasBoilerProHigh,capaConvResi,0.03795,,
2020,02ES,oilBoilerProHigh,capaConvResi,0.13304,,
2025,02ES,oilBoilerProHigh,capaConvResi,0.11087,,
2030,02ES,oilBoilerProHigh,capaConvResi,0.08869,,
2035,02ES,oilBoilerProHigh,capaConvResi,0.06652,,
2040,02ES,oilBoilerProHigh,capaConvResi,0.04434,,
2045,02ES,oilBoilerProHigh,capaConvResi,0.02217,,
2020,02ES,bioBoilerProLow,capaConvResi,0.01272,,
2025,02ES,bioBoilerProLow,capaConvResi,0.0106,,
2030,02ES,bioBoilerProLow,capaConvResi,0.00848,,
2035,02ES,bioBoilerProLow,capaConvResi,0.00636,,
2040,02ES,bioBoilerProLow,capaConvResi,0.00424,,
2045,02ES,bioBoilerProLow,capaConvResi,0.00212,,
2020,02ES,ccgtGasBackProLow,capaConvResi,0.0055,,
2025,02ES,ccgtGasBackProLow,capaConvResi,0.00458,,
2030,02ES,ccgtGasBackProLow,capaConvResi,0.00366,,
2035,02ES,ccgtGasBackProLow,capaConvResi,0.00275,,
2040,02ES,ccgtGasBackProLow,capaConvResi,0.00183,,
2045,02ES,ccgtGasBackProLow,capaConvResi,0.00091,,
2020,02ES,districtHeatPro,capaConvResi,0.00164,,
2025,02ES,districtHeatPro,capaConvResi,0.00136,,
2030,02ES,districtHeatPro,capaConvResi,0.00109,,
2035,02ES,districtHeatPro,capaConvResi,0.00082,,
2040,02ES,districtHeatPro,capaConvResi,0.00054,,
2045,02ES,districtHeatPro,capaConvResi,0.00027,,
2020,02ES,gasBoilerProLow,capaConvResi,0.03278,,
2025,02ES,gasBoilerProLow,capaConvResi,0.02732,,
2030,02ES,gasBoilerProLow,capaConvResi,0.02185,,
2035,02ES,gasBoilerProLow,capaConvResi,0.01639,,
2040,02ES,gasBoilerProLow,capaConvResi,0.01092,,
2045,02ES,gasBoilerProLow,capaConvResi,0.00546,,
2020,02ES,eBoilerProLow,capaConvResi,0.00422,,
2025,02ES,eBoilerProLow,capaConvResi,0.00351,,
2030,02ES,eBoilerProLow,capaConvResi,0.00281,,
2035,02ES,eBoilerProLow,capaConvResi,0.00211,,
2040,02ES,eBoilerProLow,capaConvResi,0.0014,,
2045,02ES,eBoilerProLow,capaConvResi,0.0007,,
2020,02ES,gasEngineProLow,capaConvResi,0.17873,,
2025,02ES,gasEngineProLow,capaConvResi,0.14894,,
2030,02ES,gasEngineProLow,capaConvResi,0.11915,,
2035,02ES,gasEngineProLow,capaConvResi,0.08936,,
2040,02ES,gasEngineProLow,capaConvResi,0.05957,,
2045,02ES,gasEngineProLow,capaConvResi,0.02978,,
2020,02ES,oilBoilerProLow,capaConvResi,0.01664,,
2025,02ES,oilBoilerProLow,capaConvResi,0.01386,,
2030,02ES,oilBoilerProLow,capaConvResi,0.01109,,
2035,02ES,oilBoilerProLow,capaConvResi,0.00832,,
2040,02ES,oilBoilerProLow,capaConvResi,0.00554,,
2045,02ES,oilBoilerProLow,capaConvResi,0.00277,,
2020,02ES,oilPlantProLowStock,capaConvResi,0.01228,,
2025,02ES,oilPlantProLowStock,capaConvResi,0.01023,,
2030,02ES,oilPlantProLowStock,capaConvResi,0.00819,,
2035,02ES,oilPlantProLowStock,capaConvResi,0.00614,,
2040,02ES,oilPlantProLowStock,capaConvResi,0.00409,,
2045,02ES,oilPlantProLowStock,capaConvResi,0.00204,,
2020,02ES,bioBoilerProMed,capaConvResi,0.02111,,
2025,02ES,bioBoilerProMed,capaConvResi,0.01759,,
2030,02ES,bioBoilerProMed,capaConvResi,0.01407,,
2035,02ES,bioBoilerProMed,capaConvResi,0.01055,,
2040,02ES,bioBoilerProMed,capaConvResi,0.00703,,
2045,02ES,bioBoilerProMed,capaConvResi,0.00351,,
2020,02ES,bioGasEngineProMed,capaConvResi,0.09305,,
2025,02ES,bioGasEngineProMed,capaConvResi,0.07754,,
2030,02ES,bioGasEngineProMed,capaConvResi,0.06203,,
2035,02ES,bioGasEngineProMed,capaConvResi,0.04652,,
2040,02ES,bioGasEngineProMed,capaConvResi,0.03101,,
2045,02ES,bioGasEngineProMed,capaConvResi,0.0155,,
2020,02ES,ccgtGasBackProMed,capaConvResi,0.00891,,
2025,02ES,ccgtGasBackProMed,capaConvResi,0.00742,,
2030,02ES,ccgtGasBackProMed,capaConvResi,0.00594,,
2035,02ES,ccgtGasBackProMed,capaConvResi,0.00445,,
2040,02ES,ccgtGasBackProMed,capaConvResi,0.00297,,
2045,02ES,ccgtGasBackProMed,capaConvResi,0.00148,,
2020,02ES,coalBoilerProMed,capaConvResi,0.00746,,
2025,02ES,coalBoilerProMed,capaConvResi,0.00621,,
2030,02ES,coalBoilerProMed,capaConvResi,0.00497,,
2035,02ES,coalBoilerProMed,capaConvResi,0.00373,,
2040,02ES,coalBoilerProMed,capaConvResi,0.00248,,
2045,02ES,coalBoilerProMed,capaConvResi,0.00124,,
2020,02ES,eBoilerProMed,capaConvResi,0.01122,,
2025,02ES,eBoilerProMed,capaConvResi,0.00935,,
2030,02ES,eBoilerProMed,capaConvResi,0.00748,,
2035,02ES,eBoilerProMed,capaConvResi,0.00561,,
2040,02ES,eBoilerProMed,capaConvResi,0.00374,,
2045,02ES,eBoilerProMed,capaConvResi,0.00187,,
2020,02ES,gasBoilerProMed,capaConvResi,0.05788,,
2025,02ES,gasBoilerProMed,capaConvResi,0.04823,,
2030,02ES,gasBoilerProMed,capaConvResi,0.03858,,
2035,02ES,gasBoilerProMed,capaConvResi,0.02894,,
2040,02ES,gasBoilerProMed,capaConvResi,0.01929,,
2045,02ES,gasBoilerProMed,capaConvResi,0.00964,,
2020,02ES,gasEngineProMed,capaConvResi,0.29552,,
2025,02ES,gasEngineProMed,capaConvResi,0.24627,,
2030,02ES,gasEngineProMed,capaConvResi,0.19701,,
2035,02ES,gasEngineProMed,capaConvResi,0.14776,,
2040,02ES,gasEngineProMed,capaConvResi,0.0985,,
2045,02ES,gasEngineProMed,capaConvResi,0.04925,,
2020,02ES,oilBoilerProMed,capaConvResi,0.05383,,
2025,02ES,oilBoilerProMed,capaConvResi,0.04486,,
2030,02ES,oilBoilerProMed,capaConvResi,0.03588,,
2035,02ES,oilBoilerProMed,capaConvResi,0.02691,,
2040,02ES,oilBoilerProMed,capaConvResi,0.01794,,
2045,02ES,oilBoilerProMed,capaConvResi,0.00897,,
2020,02ES,hardcoalPlantProMedStock,capaConvResi,0.02254,,
2025,02ES,hardcoalPlantProMedStock,capaConvResi,0.01879,,
2030,02ES,hardcoalPlantProMedStock,capaConvResi,0.01503,,
2035,02ES,hardcoalPlantProMedStock,capaConvResi,0.01127,,
2040,02ES,hardcoalPlantProMedStock,capaConvResi,0.00751,,
2045,02ES,hardcoalPlantProMedStock,capaConvResi,0.00375,,
2020,02ES,oilPlantProMedStock,capaConvResi,0.02386,,
2025,02ES,oilPlantProMedStock,capaConvResi,0.01988,,
2030,02ES,oilPlantProMedStock,capaConvResi,0.0159,,
2035,02ES,oilPlantProMedStock,capaConvResi,0.01193,,
2040,02ES,oilPlantProMedStock,capaConvResi,0.00795,,
2045,02ES,oilPlantProMedStock,capaConvResi,0.00397,,
2020,02ES,districtHeatSpace,capaConvResi,0.02427,,
2025,02ES,districtHeatSpace,capaConvResi,0.01405,,
2030,02ES,districtHeatSpace,capaConvResi,0.00931,,
2035,02ES,districtHeatSpace,capaConvResi,0.00564,,
2040,02ES,districtHeatSpace,capaConvResi,0.00253,,
2020,02ES,bioBoilerSpaceStock,capaConvResi,1.13186,,
2025,02ES,bioBoilerSpaceStock,capaConvResi,0.65502,,
2030,02ES,bioBoilerSpaceStock,capaConvResi,0.43419,,
2035,02ES,bioBoilerSpaceStock,capaConvResi,0.26297,,
2040,02ES,bioBoilerSpaceStock,capaConvResi,0.11824,,
2020,02ES,gasBoilerSpaceStock,capaConvResi,2.48275,,
2025,02ES,gasBoilerSpaceStock,capaConvResi,1.43681,,
2030,02ES,gasBoilerSpaceStock,capaConvResi,0.95241,,
2035,02ES,gasBoilerSpaceStock,capaConvResi,0.57684,,
2040,02ES,gasBoilerSpaceStock,capaConvResi,0.25937,,
