technology_3,parameter,value
bioBoilerProLowStock,avaConv,0.912307692
bioBoilerProMedStock,avaConv,0.912307692
bioEngineProMedStock,avaConv,0.950769231
ccgtGasBackProLowStock,avaConv,0.930302198
ccgtGasBackProMedStock,avaConv,0.930302198
coalBoilerProHighStock,avaConv,0.930192308
coalBoilerProLowStock,avaConv,0.970692308
coalBoilerProMedStock,avaConv,0.970692308
gasBoilerProHighStock,avaConv,0.987884615
gasBoilerProLowStock,avaConv,0.982307692
gasBoilerProMedStock,avaConv,0.982307692
gasEngineProLowStock,avaConv,0.954615385
gasEngineProMedStock,avaConv,0.954615385
oilBoilerProHighStock,avaConv,0.930192308
oilBoilerProLowStock,avaConv,0.977461538
oilBoilerProMedStock,avaConv,0.977461538
hardcoalPlantProLowStock,avaConv,0.9
hardcoalPlantProMedStock,avaConv,0.9
oilPlantProLowStock,avaConv,0.9
oilPlantProMedStock,avaConv,0.9
bioBoilerSpaceStock,avaConv,1
gasBoilerSpaceStock,avaConv,1
oilLiquidBoilerSpaceStock,avaConv,1
resistiveHeatSpaceStock,avaConv,1
coalBoilerSpaceStock,avaConv,1
ligniteBoilerProMedStock,avaConv,0.970692308
lignitePlantProMedStock,avaConv,0.9
