timestep_2,region_4,technology_1,technology_2,technology_3,parameter,value
all,46SK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0623
all,47CH,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.02108
all,48CH,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.00219
all,49AT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.02011
all,50AT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0333
all,51AT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.01897
all,52IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.6905
all,53IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.12882
all,54IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.24141
all,55IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.09242
all,56IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.06476
all,57SI,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.04532
all,58HU,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.01018
all,59RO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.04504
all,60RO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.06051
all,61RO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.02898
all,62HR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0
all,63BA,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0
all,64ME,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0
all,65RS,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0
all,66BG,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.05166
all,67MK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0
all,68GR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0344
all,69GR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.06493
all,70AL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0
all,72DK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0
all,73EE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0
all,74FI,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.00849
all,75FI,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.06226
all,77LT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0
all,78LV,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0587
all,79NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.00324
all,80NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.00752
all,81NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.01532
all,82NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.029
all,83NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.00767
all,84NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.00641
all,85NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0
all,86SE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.00303
all,87SE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.01442
all,88SE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.06922
all,89SE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.01863
all,90UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.04162
all,91UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.01161
all,92UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0822
all,93UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.02121
all,94UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.00563
all,95UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.00549
all,96IE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0
all,98IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.03309
all,99FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0
all,01ES,ccgt,ccgtProMed,,capaConvUp,0.009
all,02ES,ccgt,ccgtProMed,,capaConvUp,0.0099
all,03ES,ccgt,ccgtProMed,,capaConvUp,0.008
all,04ES,ccgt,ccgtProMed,,capaConvUp,0.019
all,05ES,ccgt,ccgtProMed,,capaConvUp,0.0078
all,06ES,ccgt,ccgtProMed,,capaConvUp,0.0567
all,07ES,ccgt,ccgtProMed,,capaConvUp,0.0229
all,08ES,ccgt,ccgtProMed,,capaConvUp,0.007
all,09ES,ccgt,ccgtProMed,,capaConvUp,0.0111
